emoji,english,translation,phonetic,category
1f476,baby,bǎobao,BAO-BAO,people
1f466,boy,nánhái,NAHN-HYE,people
1f467,girl,nǚhái,NOO-HYE,people
1f468,man,nánrén,NAHN-REHN,people
1f469,woman,nǚrén,NOO-REHN,people
1f9d1,person,rén,REHN,people
1f9d2,child,háizi,HYE-ZUH,people
1f46a,family,jiātíng,JEE-AH-TING,people
270b,hand,shǒu,SHOH,body
1f4aa,arm,shǒubì,SHOH-BEE,body
1f9b5,leg,tuǐ,TWAY,body
1f9b6,foot,jiǎo,JEE-OW,body
1f442,ear,ěrduo,ARE-DWOH,body
1f443,nose,bízi,BEE-ZUH,body
1f440,eye,yǎnjing,YENN-JING,body
1f444,mouth,zuǐba,ZWAY-BAH,body
1f445,tongue,shétou,SHUH-TOH,body
1f9b7,tooth,yáchǐ,YAH-CHUH,body
2764,heart,xīn,SHEEN,emotions
1f4a7,water,shuǐ,SHWAY,nature
1f525,fire,huǒ,HWOH,nature
2b50,star,xīngxing,SHING-SHING,nature
2600,sun,tàiyáng,TYE-YAHNG,nature
1f319,moon,yuèliang,YWEH-LYAHNG,nature
1f30d,earth,dìqiú,DEE-CHYOH,nature
1f327,rain,yǔ,YOO,nature
2744,snow,xuě,SHWEH,nature
1f436,dog,gǒu,GOH,animals
1f431,cat,māo,MAO,animals
1f42d,mouse,lǎoshǔ,LAO-SHOO,animals
1f430,rabbit,tùzi,TOO-ZUH,animals
1f43b,bear,xióng,SHYOHNG,animals
1f437,pig,zhū,JOO,animals
1f42e,cow,niú,NYOH,animals
1f434,horse,mǎ,MAH,animals
1f411,sheep,yáng,YAHNG,animals
1f412,monkey,hóuzi,HOH-ZUH,animals
1f418,elephant,dàxiàng,DAH-SHYAHNG,animals
1f981,lion,shīzi,SHUH-ZUH,animals
1f426,bird,niǎo,NYAO,animals
1f414,chicken,jī,JEE,animals
1f420,fish,yú,YOO,animals
1f40d,snake,shé,SHUH,animals
1f438,frog,qīngwā,CHING-WAH,animals
1f41d,bee,mìfēng,MEE-FUHNG,animals
1f41c,ant,mǎyǐ,MAH-YEE,animals
1f332,tree,shù,SHOO,plants
1f33a,flower,huā,HWAH,plants
1f33f,plant,zhíwù,JUH-WOO,plants
1f340,leaf,yèzi,YEH-ZUH,plants
1f339,rose,méigui,MAY-GWAY,plants
1f34e,apple,píngguǒ,PING-GWOH,fruit
1f34c,banana,xiāngjiāo,SHYAHNG-JYAO,fruit
1f34a,orange,chéngzi,CHUHNG-ZUH,fruit
1f34b,lemon,níngméng,NING-MUHNG,fruit
1f347,grape,pútao,POO-TAO,fruit
1f353,strawberry,cǎoméi,TSAO-MAY,fruit
1f345,tomato,fānqié,FAHN-CHYEH,vegetables
1f954,potato,tǔdòu,TOO-DOH,vegetables
1f955,carrot,húluóbo,HOO-LWOH-BOH,vegetables
1f33d,corn,yùmǐ,YOO-MEE,vegetables
1f35e,bread,miànbāo,MYEN-BAO,food
1f9c0,cheese,nǎilào,NYE-LWOH,food
1f95a,egg,jīdàn,JEE-DAHN,food
1f95b,milk,niúnǎi,NYOH-NYE,drink
1f33e,rice,mǐfàn,MEE-FAHN,food
1f375,tea,chá,CHAH,drink
2615,coffee,kāfēi,KAH-FAY,drink
1f3e0,house,fángzi,FAHNG-ZUH,places
1f6aa,door,mén,MUHN,home
1f6cf,bed,chuáng,CHWAHNG,home
1f4a1,light,dēng,DUHNG,home
1f4d6,book,shū,SHOO,objects
1f511,key,yàoshi,YAO-SHUH,objects
26bd,ball,qiú,CHYOH,objects
