emoji,english,translation,phonetic,category
1f410,goat,shānyáng,SHAHN-YAHNG,animals
1f427,penguin,qǐ'é,CHEE-UH,animals
1f988,shark,shāyú,SHAH-YOO,animals
1f992,giraffe,chángjǐnglù,CHAHNG-JING-LOO,animals
1f993,zebra,bānmǎ,BAHN-MAH,animals
1f998,kangaroo,dàishǔ,DYE-SHOO,animals
1f40c,snail,wōniú,WOH-NYOH,animals
1f419,octopus,zhāngyú,JAHNG-YOO,animals
1f980,crab,pángxiè,PAHNG-SHYEH,animals
1f40a,crocodile,èyú,UH-YOO,animals
1f98d,gorilla,dàxīngxīng,DAH-SHING-SHING,animals
1f984,unicorn,dújiǎoshòu,DOO-JYAO-SHOH,animals
1f577,spider,zhīzhū,JUH-JOO,animals
1f46e,police,jǐngchá,JING-CHAH,people
1f934,prince,wángzǐ,WAHNG-ZUH,people
1f478,princess,gōngzhǔ,GOHNG-JOO,people
1f3c0,basketball,lánqiú,LAHN-CHYOH,entertainment
1f3be,tennis,wǎngqiú,WAHNG-CHYOH,entertainment
26be,baseball,bàngqiú,BAHNG-CHYOH,entertainment
1f94a,boxing,quánjī,CHWEN-JEE,entertainment
1f354,hamburger,hànbǎo,HAHN-BAO,food
1f368,ice cream,bīngqílín,BING-CHEE-LEEN,food
1f36a,cookie,bǐnggān,BING-GAHN,food
1f373,cooking,pēngrèn,PUHNG-RUHN,food
1f969,steak,niúpái,NYOH-PYE,food
1f9c4,garlic,dàsuàn,DAH-SWAHN,vegetables
1f965,coconut,yēzi,YEH-ZUH,fruit
1f336,pepper,làjiāo,LAH-JYAO,vegetables
1f964,straw,xīguǎn,SHEE-GWAHN,drink
1f35a,bowl,wǎn,WAHN,food
1fa9e,mirror,jìngzi,JING-ZUH,objects
1f451,crown,huángguān,HWAHNG-GWAHN,clothing
1f6d2,cart,gòuwùchē,GOH-WOO-CHUH,transport
26a1,lightning,shǎndiàn,SHAHN-DYEN,nature
1f9e3,scarf,wéijīn,WAY-JEEN,clothing
1f9e4,gloves,shǒutào,SHOH-TAO,clothing
1f9b4,bone,gǔtou,GOO-TOH,body
1f388,balloon,qìqiú,CHEE-CHYOH,objects
1f386,fireworks,yānhuā,YENN-HWAH,tools
1f50b,battery,diànchí,DYEN-CHUH,objects
1f9f9,broom,sàozhou,SAO-JOH,objects
1f54a,dove,gēzi,GUH-ZUH,animals
1f3a4,microphone,màikèfēng,MYE-KUH-FUHNG,objects
23f0,alarm,nàozhōng,NAO-JOHNG,objects
1f333,forest,sēnlín,SUHN-LEEN,places
1f3dc,desert,shāmò,SHAH-MOH,places
1f309,bridge,qiáo,CHYAO,places
1f338,blossom,huāduǒ,HWAH-DWOH,nature
1f33b,sunflower,xiàngrìkuí,SHYAHNG-RUH-KWAY,nature
1f343,autumn,qiūtiān,CHYOH-TYEN,nature
1f335,cactus,xiānrénzhǎng,SHYEN-REHN-JAHNG,nature
26d3,chain,liàntiáo,LYEN-TYAO,tools
1fa93,axe,fǔtóu,FOO-TOH,tools
1f9fa,basket,lánzi,LAHN-ZUH,objects
1f6de,wheel,lúnzi,LWUHN-ZUH,objects
1fab6,feather,yǔmáo,YOO-MAO,nature
1faa1,needle,zhēn,JUHN,objects
1f9f5,thread,xiàn,SHYEN,objects
1f9f2,magnet,cítiě,TSUH-TYEH,objects
1f387,sparkler,yānhuǒbàng,YENN-HWOH-BAHNG,tools
1f3aa,circus,mǎxìtuán,MAH-SHEE-TWAHN,entertainment
1f3f9,arrow,jiàn,JYEN,tools
1f550,hour,xiǎoshí,SHYAO-SHUH,time
1f7e5,red,hóngsè,HOHNG-SUH,colors
1f7e6,blue,lánsè,LAHN-SUH,colors
1f7e9,green,lǜsè,LOO-SUH,colors
1f7e8,yellow,huángsè,HWAHNG-SUH,colors
1f7ea,purple,zǐsè,ZUH-SUH,colors
2b1b,black,hēisè,HAY-SUH,colors
2b1c,white,báisè,BYE-SUH,colors
1f9f1,wall,qiáng,CHYAHNG,home
1f4de,telephone,diànhuà,DYEN-HWAH,objects
1f4b3,card,kǎpiàn,KAH-PYEN,objects
1f4d3,notebook,bǐjìběn,BEE-JEE-BUHN,objects
1f3c6,trophy,jiǎngbēi,JYAHNG-BAY,objects
