emoji,english,translation,phonetic,category
1f9e0,brain,大脑,DAH-NAO,body
1f48b,kiss,吻,WUHN,body
1fa78,blood,血,SHWEH,body
2601,cloud,云,YOON,nature
1f30a,sea,海,HYE,nature
1f32a,wind,风,FUHNG,nature
1f308,rainbow,彩虹,TSYE-HOHNG,nature
1faa8,rock,石头,SHUH-TOH,nature
1f9ca,ice,冰,BING,nature
1f42f,tiger,老虎,LAO-HOO,animals
1f43a,wolf,狼,LAHNG,animals
1f98a,fox,狐狸,HOO-LEE,animals
1f98c,deer,鹿,LOO,animals
1f986,duck,鸭子,YAH-ZUH,animals
1f985,eagle,鹰,YING,animals
1f989,owl,猫头鹰,MAO-TOH-YING,animals
1f422,turtle,乌龟,WOO-GWAY,animals
1f42c,dolphin,海豚,HYE-TUHN,animals
1f433,whale,鲸鱼,JING-YOO,animals
1f98b,butterfly,蝴蝶,HOO-DYEH,animals
1f344,mushroom,蘑菇,MOH-GOO,plants
1f331,seed,种子,JOHNG-ZUH,nature
1fab5,wood,木头,MOO-TOH,nature
1f350,pear,梨,LEE,fruit
1f351,peach,桃子,TAO-ZUH,fruit
1f352,cherry,樱桃,YING-TAO,fruit
1f349,watermelon,西瓜,SHEE-GWAH,fruit
1f9c5,onion,洋葱,YAHNG-TSOHNG,vegetables
1f356,meat,肉,ROH,food
1f355,pizza,披萨,PEE-SAH,food
1f35c,soup,汤,TAHNG,food
1f370,cake,蛋糕,DAHN-GAO,food
1f36b,chocolate,巧克力,CHYAO-KUH-LEE,food
1f36c,candy,糖果,TAHNG-GWOH,food
1f36f,honey,蜂蜜,FUHNG-MEE,food
1f9c2,salt,盐,YENN,food
1f37a,beer,啤酒,PEE-JYOH,drink
1f377,wine,葡萄酒,POO-TAO-JYOH,drink
1f37c,bottle,瓶子,PING-ZUH,drink
1f378,glass,杯子,BAY-ZUH,drink
1f9c3,juice,果汁,GWOH-JUH,drink
1f3e2,building,大楼,DAH-LOH,places
1f3eb,school,学校,SHWEH-SHYAO,places
1f3e5,hospital,医院,YEE-YWENN,places
1f3ea,store,商店,SHAHNG-DYEN,places
26ea,church,教堂,JYAO-TAHNG,places
1f697,car,汽车,CHEE-CHUH,transport
1f68c,bus,公共汽车,GOHNG-GOHNG-CHEE-CHUH,transport
1f682,train,火车,HWOH-CHUH,transport
2708,airplane,飞机,FAY-JEE,transport
26f5,boat,船,CHWAHN,transport
1f6b2,bicycle,自行车,ZUH-SHING-CHUH,transport
1f69a,truck,卡车,KAH-CHUH,transport
1fa9f,window,窗户,CHWAHNG-HOO,home
1fa91,chair,椅子,YEE-ZUH,home
1f4fa,television,电视,DYEN-SHUH,objects
1f4bb,computer,电脑,DYEN-NAO,objects
1f4f1,phone,手机,SHOH-JEE,objects
1f4f7,camera,相机,SHYAHNG-JEE,objects
1f56f,candle,蜡烛,LAH-JOO,objects
2709,letter,信,SHEEN,objects
1f4b0,money,钱,CHYEN,objects
1f4c4,paper,纸,JUH,objects
1f5bc,picture,画,HWAH,objects
1f453,glasses,眼镜,YENN-JING,clothing
1f455,shirt,衬衫,CHUHN-SHAHN,clothing
1f456,pants,裤子,KOO-ZUH,clothing
1f457,dress,裙子,CHOON-ZUH,clothing
1f45e,shoe,鞋子,SHYEH-ZUH,clothing
1f3a9,hat,帽子,MAO-ZUH,clothing
1f9e5,coat,外套,WYE-TAO,clothing
2602,umbrella,雨伞,YOO-SAHN,clothing
1f392,bag,包,BAO,clothing
1f48d,ring,戒指,JYEH-JUH,clothing
1f454,tie,领带,LING-DYE,clothing
