emoji,english,translation,phonetic,category
2b50,zero,líng,LING,numbers
1f522,one,yī,YEE,numbers
1f4dd,two,èr,ARE,numbers
270f,three,sān,SAHN,numbers
1f3af,four,sì,SUH,numbers
1f4ca,five,wǔ,WOO,numbers
1f4c8,six,liù,LYOH,numbers
2b50,seven,qī,CHEE,numbers
1f522,eight,bā,BAH,numbers
1f4dd,nine,jiǔ,JYOH,numbers
270f,ten,shí,SHUH,numbers
2b50,eleven,shíyī,SHUH-YEE,numbers
1f319,twelve,shí'èr,SHUH-ARE,numbers
1f33a,thirteen,shísān,SHUH-SAHN,numbers
1f340,fourteen,shísì,SHUH-SUH,numbers
1f34e,fifteen,shíwǔ,SHUH-WOO,numbers
1f34c,sixteen,shíliù,SHUH-LYOH,numbers
1f420,seventeen,shíqī,SHUH-CHEE,numbers
1f41d,eighteen,shíbā,SHUH-BAH,numbers
1f525,nineteen,shíjiǔ,SHUH-JYOH,numbers
1f4a7,twenty,èrshí,ARE-SHUH,numbers
1f332,thirty,sānshí,SAHN-SHUH,numbers
1f436,forty,sìshí,SUH-SHUH,numbers
1f431,fifty,wǔshí,WOO-SHUH,numbers
1f42d,sixty,liùshí,LYOH-SHUH,numbers
1f430,seventy,qīshí,CHEE-SHUH,numbers
1f437,eighty,bāshí,BAH-SHUH,numbers
1f42e,ninety,jiǔshí,JYOH-SHUH,numbers
1f4af,hundred,bǎi,BYE,numbers
1f4b0,two hundred,èrbǎi,ARE-BYE,numbers
1f4b5,five hundred,wǔbǎi,WOO-BYE,numbers
1f3c6,thousand,qiān,CHYEN,numbers
1f947,first,dìyī,DEE-YEE,numbers
1f948,second,dì'èr,DEE-ARE,numbers
1f949,third,dìsān,DEE-SAHN,numbers
1f34a,fourth,dìsì,DEE-SUH,numbers
1f34b,fifth,dìwǔ,DEE-WOO,numbers
1f347,sixth,dìliù,DEE-LYOH,numbers
1f353,seventh,dìqī,DEE-CHEE,numbers
1f345,eighth,dìbā,DEE-BAH,numbers
1f955,ninth,dìjiǔ,DEE-JYOH,numbers
1f954,tenth,dìshí,DEE-SHUH,numbers
1f46b,pair,duì,DWAY,numbers
1f95a,dozen,yī dá,YEE-DAH,numbers
1f52a,half,bàn,BAHN,numbers
1f370,quarter,sì fēn zhī yī,SUH-FUHN-JUH-YEE,numbers
270f,double,shuāng,SHWAHNG,numbers
1f3f9,triple,sān bèi,SAHN-BAY,numbers
2b1c,nil,kōng,KOHNG,numbers
1f30d,million,bǎi wàn,BYE-WAHN,numbers
1f680,billion,shí yì,SHUH-YEE,numbers
2795,plus,jiā,JYAH,numbers
2796,minus,jiǎn,JYEN,numbers
1f4ca,equals,děngyú,DUHNG-YOO,numbers
1f4ca,percent,bǎi fēn bǐ,BYE-FUHN-BEE,numbers
1f4b0,price,jiàgé,JYAH-GUH,numbers
1f9ee,total,zǒngjì,ZOHNG-JEE,numbers
1f4dd,count,shǔ,SHOO,numbers
1f4dd,number,hàomǎ,HAO-MAH,numbers
1f4e6,amount,shùliàng,SHOO-LYAHNG,numbers
231a,hour,xiǎoshí,SHYAO-SHUH,numbers
23f0,minute,fēnzhōng,FUHN-JOHNG,numbers
1f4c5,second (time),miǎo,MYAO,numbers
1f550,once,yīcì,YEE-TSUH,numbers
1f551,twice,liǎngcì,LYAHNG-TSUH,numbers
1f4c5,time,shíjiān,SHUH-JYEN,numbers
1f3c6,score,défēn,DUH-FUHN,numbers
1f9ee,sum,zǒnghé,ZOHNG-HUH,numbers
1f4b3,value,jiàzhí,JYAH-JUH,numbers
1fa99,coin,yìngbì,YING-BEE,numbers
1f4b5,bill,chāopiào,CHAO-PYAO,numbers
1f4b0,cost,chéngběn,CHUHNG-BUHN,numbers
1f4b3,fee,fèiyòng,FAY-YOHNG,numbers
1f9c0,piece,kuài,KWAI,numbers
1f9fa,bundle,kǔn,KOON,numbers
