emoji,english,translation,phonetic,category
1f476,baby,baby,BAY-bee,people
1f466,boy,jongen,YONG-uhn,people
1f467,girl,meisje,MAY-shuh,people
1f468,man,man,mahn,people
1f469,woman,vrouw,frow,people
1f9d1,person,persoon,pehr-SOHN,people
1f9d2,child,kind,kint,people
1f46a,family,familie,fah-MEE-lee,people
270b,hand,hand,hahnt,body
1f4aa,arm,arm,ahrm,body
1f9b5,leg,been,bayn,body
1f9b6,foot,voet,foot,body
1f442,ear,oor,ohr,body
1f443,nose,neus,nuhs,body
1f440,eye,oog,ohkh,body
1f444,mouth,mond,mohnt,body
1f445,tongue,tong,tohng,body
1f9b7,tooth,tand,tahnt,body
2764,heart,hart,hahrt,emotions
1f4a7,water,water,WAH-tuhr,nature
1f525,fire,vuur,fyoor,nature
2b50,star,ster,stehr,nature
2600,sun,zon,zohn,nature
1f319,moon,maan,mahn,nature
1f30d,earth,aarde,AHR-duh,nature
1f327,rain,regen,RAY-khuhn,nature
2744,snow,sneeuw,snayw,nature
1f436,dog,hond,hohnt,animals
1f431,cat,kat,kaht,animals
1f42d,mouse,muis,mows,animals
1f430,rabbit,konijn,koh-NAYN,animals
1f43b,bear,beer,bayr,animals
1f437,pig,varken,FAHR-kuhn,animals
1f42e,cow,koe,koo,animals
1f434,horse,paard,pahrt,animals
1f411,sheep,schaap,skhahp,animals
1f412,monkey,aap,ahp,animals
1f418,elephant,olifant,OH-lee-fahnt,animals
1f981,lion,leeuw,layw,animals
1f426,bird,vogel,FOH-khuhl,animals
1f414,chicken,kip,kip,animals
1f420,fish,vis,fis,animals
1f40d,snake,slang,slahng,animals
1f438,frog,kikker,KIK-uhr,animals
1f41d,bee,bij,bay,animals
1f41c,ant,mier,meer,animals
1f332,tree,boom,bohm,plants
1f33a,flower,bloem,bloom,plants
1f33f,plant,plant,plahnt,plants
1f340,leaf,blad,blaht,plants
1f339,rose,roos,rohs,plants
1f34e,apple,appel,AH-puhl,fruit
1f34c,banana,banaan,bah-NAHN,fruit
1f34a,orange,sinaasappel,SEE-nahs-ah-puhl,fruit
1f34b,lemon,citroen,see-TROON,fruit
1f347,grape,druif,drowf,fruit
1f353,strawberry,aardbei,AHRT-bay,fruit
1f345,tomato,tomaat,toh-MAHT,vegetables
1f954,potato,aardappel,AHRT-ah-puhl,vegetables
1f955,carrot,wortel,WOR-tuhl,vegetables
1f33d,corn,mais,mah-EES,vegetables
1f35e,bread,brood,broht,food
1f9c0,cheese,kaas,kahs,food
1f95a,egg,ei,ay,food
1f95b,milk,melk,mehlk,drink
1f33e,rice,rijst,rayst,food
1f375,tea,thee,tay,drink
2615,coffee,koffie,KOF-fee,drink
1f3e0,house,huis,hows,places
1f6aa,door,deur,duhr,home
1f6cf,bed,bed,beht,home
1f4a1,light,licht,likht,home
1f4d6,book,boek,book,objects
1f511,key,sleutel,SLUH-tuhl,objects
26bd,ball,bal,bahl,objects
