emoji,english,translation,phonetic,category
1f9e0,brain,hersenen,HEHR-suh-nuhn,body
1f48b,kiss,kus,kuhs,body
1fa78,blood,bloed,bloot,body
2601,cloud,wolk,wohlk,nature
1f30a,sea,zee,zay,nature
1f32a,wind,wind,wint,nature
1f308,rainbow,regenboog,RAY-khuhn-bohkh,nature
1faa8,rock,rots,rohts,nature
1f9ca,ice,ijs,ays,nature
1f42f,tiger,tijger,TAY-khuhr,animals
1f43a,wolf,wolf,wohlf,animals
1f98a,fox,vos,fohs,animals
1f98c,deer,hert,hehrt,animals
1f986,duck,eend,aynt,animals
1f985,eagle,arend,AH-rehnt,animals
1f989,owl,uil,owl,animals
1f422,turtle,schildpad,SKHILT-paht,animals
1f42c,dolphin,dolfijn,dohl-FAYN,animals
1f433,whale,walvis,WAHL-fis,animals
1f98b,butterfly,vlinder,FLIN-duhr,animals
1f344,mushroom,paddenstoel,PAH-duhn-stool,plants
1f331,seed,zaad,zaht,nature
1fab5,wood,hout,howt,nature
1f350,pear,peer,payr,fruit
1f351,peach,perzik,PEHR-zik,fruit
1f352,cherry,kers,kehrs,fruit
1f349,watermelon,watermeloen,WAH-tuhr-muh-loon,fruit
1f9c5,onion,ui,ow,vegetables
1f356,meat,vlees,flays,food
1f355,pizza,pizza,PEET-sah,food
1f35c,soup,soep,soop,food
1f370,cake,taart,tahrt,food
1f36b,chocolate,chocolade,shoh-koh-LAH-duh,food
1f36c,candy,snoep,snoop,food
1f36f,honey,honing,HOH-ning,food
1f9c2,salt,zout,zowt,food
1f37a,beer,bier,beer,drink
1f377,wine,wijn,wayn,drink
1f37c,bottle,fles,flehs,drink
1f378,glass,glas,khlahs,drink
1f9c3,juice,sap,sahp,drink
1f3e2,building,gebouw,khuh-BOW,places
1f3eb,school,school,skhohl,places
1f3e5,hospital,ziekenhuis,ZEE-kuhn-hows,places
1f3ea,store,winkel,WIN-kuhl,places
26ea,church,kerk,kehrk,places
1f697,car,auto,OW-toh,transport
1f68c,bus,bus,buhs,transport
1f682,train,trein,trayn,transport
2708,airplane,vliegtuig,FLEEKH-towkh,transport
26f5,boat,boot,boht,transport
1f6b2,bicycle,fiets,feets,transport
1f69a,truck,vrachtwagen,FRAHKHT-wah-khuhn,transport
1fa9f,window,raam,rahm,home
1fa91,chair,stoel,stool,home
1f4fa,television,televisie,tay-luh-FEE-zee,objects
1f4bb,computer,computer,kohm-PYOO-tuhr,objects
1f4f1,phone,telefoon,tay-luh-FOHN,objects
1f4f7,camera,camera,KAH-muh-rah,objects
1f56f,candle,kaars,kahrs,objects
2709,letter,brief,breef,objects
1f4b0,money,geld,khehlt,objects
1f4c4,paper,papier,pah-PEER,objects
1f5bc,picture,schilderij,skhil-duh-RAY,objects
1f453,glasses,bril,bril,clothing
1f455,shirt,overhemd,OH-fuhr-hehmt,clothing
1f456,pants,broek,brook,clothing
1f457,dress,jurk,yuhrk,clothing
1f45e,shoe,schoen,skhoon,clothing
1f3a9,hat,hoed,hoot,clothing
1f9e5,coat,jas,yahs,clothing
2602,umbrella,paraplu,pah-rah-PLOO,clothing
1f392,bag,tas,tahs,clothing
1f48d,ring,ring,ring,clothing
1f454,tie,stropdas,STROHP-dahs,clothing
