emoji,english,translation,phonetic,category
2b50,zero,nul,NUHL,numbers
1f522,one,een,AYN,numbers
1f4dd,two,twee,TVAY,numbers
270f,three,drie,DREE,numbers
1f3af,four,vier,FEER,numbers
1f4ca,five,vijf,FAYF,numbers
1f4c8,six,zes,ZEHS,numbers
2b50,seven,zeven,ZAY-vuhn,numbers
1f522,eight,acht,AHKHT,numbers
1f4dd,nine,negen,NAY-guhn,numbers
270f,ten,tien,TEEN,numbers
1f3af,eleven,elf,EHLF,numbers
1f4ca,twelve,twaalf,TVAHHLF,numbers
1f4c8,thirteen,dertien,DEHR-teen,numbers
2b50,fourteen,veertien,FAYR-teen,numbers
1f522,fifteen,vijftien,FAYF-teen,numbers
1f4dd,sixteen,zestien,ZEHS-teen,numbers
270f,seventeen,zeventien,ZAY-vuhn-teen,numbers
1f3af,eighteen,achttien,AHKHT-teen,numbers
1f4ca,nineteen,negentien,NAY-guhn-teen,numbers
1f4c8,twenty,twintig,TVIN-tuhkh,numbers
2b50,thirty,dertig,DEHR-tuhkh,numbers
1f522,forty,veertig,FAYR-tuhkh,numbers
1f4dd,fifty,vijftig,FAYF-tuhkh,numbers
270f,sixty,zestig,ZEHS-tuhkh,numbers
1f3af,seventy,zeventig,ZAY-vuhn-tuhkh,numbers
1f4ca,eighty,tachtig,TAHKH-tuhkh,numbers
1f4c8,ninety,negentig,NAY-guhn-tuhkh,numbers
1f4af,hundred,honderd,HOHN-duhrt,numbers
2b50,two hundred,tweehonderd,TVAY-hohn-duhrt,numbers
1f522,five hundred,vijfhonderd,FAYF-hohn-duhrt,numbers
1f4dd,thousand,duizend,DOW-zuhnt,numbers
1f947,first,eerste,AYR-stuh,numbers
1f948,second,tweede,TVAY-duh,numbers
1f949,third,derde,DEHR-duh,numbers
1f3c6,fourth,vierde,FEER-duh,numbers
2b50,fifth,vijfde,FAYF-duh,numbers
1f522,sixth,zesde,ZEHS-duh,numbers
1f4dd,seventh,zevende,ZAY-vuhn-duh,numbers
270f,eighth,achtste,AHKHT-stuh,numbers
1f3af,ninth,negende,NAY-guhn-duh,numbers
1f4ca,tenth,tiende,TEEN-duh,numbers
1f4c8,pair,paar,PAHR,numbers
2b50,dozen,dozijn,doh-ZAYN,numbers
1f522,half,helft,HEHLFT,numbers
1f4dd,quarter,kwart,KVAHRT,numbers
270f,double,dubbel,DUH-buhl,numbers
1f3af,triple,drievoudig,DREE-fow-duhkh,numbers
1f4ca,million,miljoen,mil-YOON,numbers
1f4c8,billion,miljard,mil-YAHRT,numbers
270f,plus,plus,PLUHS,numbers
1f3af,minus,min,MIHN,numbers
1f4ca,equals,gelijk,khuh-LAYK,numbers
1f4c8,percent,procent,proh-SEHNT,numbers
1f4b5,price,prijs,PRAYS,numbers
1f4b0,total,totaal,toh-TAHL,numbers
1f522,count,telling,TEH-ling,numbers
1f4dd,number,nummer,NUH-muhr,numbers
270f,amount,bedrag,buh-DRAHKH,numbers
231a,hour,uur,OOR,numbers
23f0,minute,minuut,mee-NOOT,numbers
1f4c5,second of time,seconde,seh-KOHN-duh,numbers
2b50,once,eenmaal,AYN-mahl,numbers
1f522,twice,tweemaal,TVAY-mahl,numbers
1f4dd,many,veel,FAYL,numbers
270f,few,weinig,VAY-nuhkh,numbers
1f3af,all,alles,AH-luhs,numbers
1f4ca,none,geen,KHAYN,numbers
1f4c8,some,sommige,SOH-muh-khuh,numbers
2b50,every,elke,EHL-kuh,numbers
1f522,both,beide,BAY-duh,numbers
1f4dd,last,laatste,LAHT-stuh,numbers
1f3af,next,volgende,FOHL-khuhn-duh,numbers
1f4ca,only,alleen,ah-LAYN,numbers
1f4c8,enough,genoeg,khuh-NOOKH,numbers
