emoji,english,translation,phonetic,category
1f4a7,water,eau,oh,nature
1f3e0,house,maison,meh-ZOHN,home
1f468,man,homme,ohm,people
1f469,woman,femme,fahm,people
1f466,boy,garçon,gar-SOHN,people
270b,hand,main,mahn,body
1f441,eye,oeil,uh-yuh,body
2600,sun,soleil,soh-LAY,weather
1f415,dog,chien,shee-EHN,animals
1f408,cat,chat,shah,animals
1f4d6,book,livre,LEE-vruh,objects
1f30d,earth,terre,tehr,nature
1f525,fire,feu,fuh,nature
2764,heart,coeur,kuhr,body
1f338,flower,fleur,fluhr,nature
1f467,girl,fille,fee-yuh,people
1f319,moon,lune,loon,weather
2b50,star,étoile,eh-TWAHL,weather
1f35e,bread,pain,pahn,food
1f95b,milk,lait,leh,food
