emoji,english,translation,phonetic,category
1f410,goat,chèvre,SHEH-vruh,animals
1f427,penguin,pingouin,pahn-GWAHN,animals
1f988,shark,requin,ruh-KAHN,animals
1f992,giraffe,girafe,zhee-RAHF,animals
1f993,zebra,zèbre,ZEH-bruh,animals
1f998,kangaroo,kangourou,kahn-goo-ROO,animals
1f40c,snail,escargot,ehs-kar-GOH,animals
1f419,octopus,pieuvre,pee-UH-vruh,animals
1f980,crab,crabe,KRAHB,animals
1f40a,crocodile,crocodile,kroh-koh-DEEL,animals
1f98d,gorilla,gorille,goh-REE-yuh,animals
1f984,unicorn,licorne,lee-KOHRN,animals
1f577,spider,araignée,ah-reh-NYEH,animals
1f46e,police,policier,poh-lee-see-EH,people
1f934,prince,prince,PRAHNSS,people
1f478,princess,princesse,prahn-SESS,people
1f3c0,basketball,basketball,bahs-keht-BOHL,entertainment
1f3be,tennis,tennis,teh-NEES,entertainment
26be,baseball,baseball,behz-BOHL,entertainment
1f94a,boxing,boxe,BUHKS,entertainment
1f354,hamburger,hamburger,ahm-boor-GEHR,food
1f368,ice cream,glace,GLAHS,food
1f36a,cookie,biscuit,bees-KWEE,food
1f373,cooking,cuisine,kwee-ZEEN,food
1f969,steak,steak,STEHK,food
1f9c4,garlic,ail,AH-yuh,vegetables
1f965,coconut,noix de coco,nwah-duh-KOH-koh,fruit
1f336,pepper,piment,pee-MAHN,vegetables
1f964,straw,paille,PAH-yuh,drink
1f35a,bowl,bol,BUHL,food
1fa9e,mirror,miroir,mee-RWAHR,objects
1f451,crown,couronne,koo-RUHN,clothing
1f6d2,cart,chariot,shah-ree-OH,transport
26a1,lightning,éclair,eh-KLEHR,nature
1f9e3,scarf,écharpe,eh-SHARP,clothing
1f9e4,gloves,gants,GAHN,clothing
1f9b4,bone,os,OHSS,body
1f388,balloon,ballon,bah-LOHN,objects
1f386,fireworks,feux d'artifice,fuh-dar-tee-FEES,tools
1f50b,battery,batterie,bah-tree,objects
1f9f9,broom,balai,bah-LEH,objects
1f54a,dove,colombe,koh-LOHNB,animals
1f3a4,microphone,microphone,mee-kroh-FUHN,objects
23f0,alarm,alarme,ah-LARM,objects
1f333,forest,forêt,foh-REH,places
1f3dc,desert,désert,deh-ZEHR,places
1f309,bridge,pont,POHN,places
1f338,blossom,fleur,FLUHR,nature
1f33b,sunflower,tournesol,toorn-SUHL,nature
1f343,autumn,automne,oh-TUHN,nature
1f335,cactus,cactus,kahk-TOOS,nature
26d3,chain,chaîne,SHEHN,tools
1fa93,axe,hache,AHSH,tools
1f9fa,basket,panier,pah-nee-EH,objects
1f6de,wheel,roue,ROO,objects
1fab6,feather,plume,PLOOM,nature
1faa1,needle,aiguille,eh-GWEE-yuh,objects
1f9f5,thread,fil,FEEL,objects
1f9f2,magnet,aimant,eh-MAHN,objects
1f387,sparkler,cierge magique,see-EHRZH-mah-ZHEEK,tools
1f3aa,circus,cirque,SEERK,entertainment
1f3f9,arrow,flèche,FLEHSH,tools
1f550,hour,heure,UHR,time
1f7e5,red,rouge,ROOZH,colors
1f7e6,blue,bleu,BLUH,colors
1f7e9,green,vert,VEHR,colors
1f7e8,yellow,jaune,ZHOHN,colors
1f7ea,purple,violet,vee-oh-LEH,colors
2b1b,black,noir,NWAHR,colors
2b1c,white,blanc,BLAHN,colors
1f9f1,wall,mur,MOOR,home
1f4de,telephone,téléphone,teh-leh-FUHN,objects
1f4b3,card,carte,KART,objects
1f4d3,notebook,cahier,kah-YEH,objects
1f3c6,trophy,trophée,troh-FEH,objects
