emoji,english,translation,phonetic,category
1f9e0,brain,cerveau,sehr-VOH,body
1f48b,kiss,baiser,beh-ZEH,body
1fa78,blood,sang,SAHN,body
2601,cloud,nuage,noo-AHZH,nature
1f30a,sea,mer,MEHR,nature
1f32a,wind,vent,VAHN,nature
1f308,rainbow,arc-en-ciel,ark-ahn-see-EHL,nature
1faa8,rock,rocher,roh-SHEH,nature
1f9ca,ice,glace,GLAHS,nature
1f42f,tiger,tigre,TEE-gruh,animals
1f43a,wolf,loup,LOO,animals
1f98a,fox,renard,ruh-NAR,animals
1f98c,deer,cerf,SEHR,animals
1f986,duck,canard,kah-NAR,animals
1f985,eagle,aigle,EH-gluh,animals
1f989,owl,hibou,ee-BOO,animals
1f422,turtle,tortue,tohr-TOO,animals
1f42c,dolphin,dauphin,doh-FAHN,animals
1f433,whale,baleine,bah-LEHN,animals
1f98b,butterfly,papillon,pah-pee-YOHN,animals
1f344,mushroom,champignon,shahm-pee-NYOHN,plants
1f331,seed,graine,GREHN,nature
1fab5,wood,bois,BWAH,nature
1f350,pear,poire,PWAHR,fruit
1f351,peach,pêche,PEHSH,fruit
1f352,cherry,cerise,suh-REEZ,fruit
1f349,watermelon,pastèque,pahs-TEHK,fruit
1f9c5,onion,oignon,oh-NYOHN,vegetables
1f356,meat,viande,vee-AHND,food
1f355,pizza,pizza,peed-ZAH,food
1f35c,soup,soupe,SOOP,food
1f370,cake,gâteau,gah-TOH,food
1f36b,chocolate,chocolat,shoh-koh-LAH,food
1f36c,candy,bonbon,bohn-BOHN,food
1f36f,honey,miel,mee-EHL,food
1f9c2,salt,sel,SEHL,food
1f37a,beer,bière,bee-EHR,drink
1f377,wine,vin,VAHN,drink
1f37c,bottle,bouteille,boo-TAY-yuh,drink
1f378,glass,verre,VEHR,drink
1f9c3,juice,jus,ZHOO,drink
1f3e2,building,bâtiment,bah-tee-MAHN,places
1f3eb,school,école,eh-KUHL,places
1f3e5,hospital,hôpital,oh-pee-TAHL,places
1f3ea,store,magasin,mah-gah-ZAHN,places
26ea,church,église,eh-GLEEZ,places
1f697,car,voiture,vwah-TOOR,transport
1f68c,bus,bus,BOOS,transport
1f682,train,train,TRAHN,transport
2708,airplane,avion,ah-vee-OHN,transport
26f5,boat,bateau,bah-TOH,transport
1f6b2,bicycle,vélo,veh-LOH,transport
1f69a,truck,camion,kah-mee-OHN,transport
1fa9f,window,fenêtre,fuh-NEH-truh,home
1fa91,chair,chaise,SHEHZ,home
1f4fa,television,télévision,teh-leh-vee-ZYOHN,objects
1f4bb,computer,ordinateur,or-dee-nah-TUHR,objects
1f4f1,phone,téléphone,teh-leh-FUHN,objects
1f4f7,camera,appareil photo,ah-pah-RAY-foh-TOH,objects
1f56f,candle,bougie,boo-ZHEE,objects
2709,letter,lettre,LEH-truh,objects
1f4b0,money,argent,ar-ZHAHN,objects
1f4c4,paper,papier,pah-pee-EH,objects
1f5bc,picture,image,ee-MAHZH,objects
1f453,glasses,lunettes,loo-NEHT,clothing
1f455,shirt,chemise,shuh-MEEZ,clothing
1f456,pants,pantalon,pahn-tah-LOHN,clothing
1f457,dress,robe,RUHB,clothing
1f45e,shoe,chaussure,shoh-SOOR,clothing
1f3a9,hat,chapeau,shah-POH,clothing
1f9e5,coat,manteau,mahn-TOH,clothing
2602,umbrella,parapluie,pah-rah-PLOO-ee,clothing
1f392,bag,sac,SAHK,clothing
1f48d,ring,bague,BAHG,clothing
1f454,tie,cravate,krah-VAHT,clothing
