emoji,english,translation,phonetic,category
2b50,zero,zéro,ZEH-roh,numbers
1f522,one,un,UHN,numbers
1f4dd,two,deux,DUH,numbers
270f,three,trois,TWAH,numbers
1f3af,four,quatre,KAH-truh,numbers
1f4ca,five,cinq,SAHNK,numbers
1f4c8,six,six,SEES,numbers
2b50,seven,sept,SEHT,numbers
1f522,eight,huit,WEET,numbers
1f4dd,nine,neuf,NUHF,numbers
270f,ten,dix,DEES,numbers
1f3af,eleven,onze,OHNZ,numbers
1f4ca,twelve,douze,DOOZ,numbers
1f4c8,thirteen,treize,TREHZ,numbers
2b50,fourteen,quatorze,kah-TOHRZ,numbers
1f522,fifteen,quinze,KAHNZ,numbers
1f4dd,sixteen,seize,SEHZ,numbers
270f,seventeen,dix-sept,dee-SEHT,numbers
1f3af,eighteen,dix-huit,deez-WEET,numbers
1f4ca,nineteen,dix-neuf,deez-NUHF,numbers
1f4c8,twenty,vingt,VAHN,numbers
2b50,thirty,trente,TRAHNT,numbers
1f522,forty,quarante,kah-RAHNT,numbers
1f4dd,fifty,cinquante,sahn-KAHNT,numbers
270f,sixty,soixante,swah-SAHNT,numbers
1f3af,seventy,soixante-dix,swah-SAHNT-DEES,numbers
1f4ca,eighty,quatre-vingts,KAH-truh-VAHN,numbers
1f4c8,ninety,quatre-vingt-dix,KAH-truh-VAHN-DEES,numbers
1f4af,hundred,cent,SAHN,numbers
2b50,two hundred,deux cents,DUH-SAHN,numbers
1f522,five hundred,cinq cents,SAHNK-SAHN,numbers
1f4dd,thousand,mille,MEEL,numbers
1f947,first,premier,pruh-MYEH,numbers
1f948,second,deuxième,duh-ZYEHM,numbers
1f949,third,troisième,twah-ZYEHM,numbers
1f3c6,fourth,quatrième,kah-tree-YEHM,numbers
2b50,fifth,cinquième,sahn-kee-YEHM,numbers
1f522,sixth,sixième,see-zee-YEHM,numbers
1f4dd,seventh,septième,seh-tee-YEHM,numbers
270f,eighth,huitième,wee-tee-YEHM,numbers
1f3af,ninth,neuvième,nuh-vee-YEHM,numbers
1f4ca,tenth,dixième,dee-zee-YEHM,numbers
1f4c8,pair,paire,PEHR,numbers
2b50,dozen,douzaine,doo-ZEHN,numbers
1f522,half,moitié,mwah-TYEH,numbers
1f4dd,quarter,quart,KAHR,numbers
270f,double,double,DOO-bluh,numbers
1f3af,triple,triple,TREE-pluh,numbers
1f4ca,million,million,mee-LYOHN,numbers
1f4c8,billion,milliard,mee-LYAHR,numbers
270f,plus,plus,PLOOS,numbers
1f3af,minus,moins,MWAHN,numbers
1f4ca,equals,égal,eh-GAHL,numbers
1f4c8,percent,pour cent,poor-SAHN,numbers
1f4b5,price,prix,PREE,numbers
1f4b0,total,total,toh-TAHL,numbers
1f522,count,compte,KOHNT,numbers
1f4dd,number,numéro,noo-meh-ROH,numbers
270f,amount,montant,mohn-TAHN,numbers
231a,hour,heure,UHR,numbers
23f0,minute,minute,mee-NOOT,numbers
1f4c5,second of time,seconde,suh-GOHND,numbers
2b50,once,une fois,OON-FWAH,numbers
1f522,twice,deux fois,DUH-FWAH,numbers
1f4dd,many,beaucoup,boh-KOO,numbers
270f,few,peu,PUH,numbers
1f3af,all,tout,TOO,numbers
1f4ca,none,aucun,oh-KUHN,numbers
1f4c8,some,quelques,KEHL-kuh,numbers
2b50,every,chaque,SHAHK,numbers
1f522,both,les deux,leh-DUH,numbers
1f4dd,last,dernier,dehr-NYEH,numbers
1f3af,next,prochain,proh-SHAHN,numbers
1f4ca,only,seulement,suhl-MAHN,numbers
1f4c8,enough,assez,ah-SEH,numbers
