emoji,english,translation,phonetic,category
1f476,baby,Baby,BAY-bee,people
1f466,boy,Junge,YOONG-uh,people
1f467,girl,Mädchen,MAYT-khen,people
1f468,man,Mann,mahn,people
1f469,woman,Frau,frow,people
1f9d1,person,Person,pehr-ZOHN,people
1f9d2,child,Kind,kint,people
1f46a,family,Familie,fah-MEE-lee-uh,people
270b,hand,Hand,hahnt,body
1f4aa,arm,Arm,ahrm,body
1f9b5,leg,Bein,byne,body
1f9b6,foot,Fuß,foos,body
1f442,ear,Ohr,ohr,body
1f443,nose,Nase,NAH-zuh,body
1f440,eye,Auge,OW-guh,body
1f444,mouth,Mund,moont,body
1f445,tongue,Zunge,TSOONG-uh,body
1f9b7,tooth,Zahn,tsahn,body
2764,heart,Herz,hehrts,emotions
1f4a7,water,Wasser,VAH-suhr,nature
1f525,fire,Feuer,FOY-uhr,nature
2b50,star,Stern,shtehrn,nature
2600,sun,Sonne,ZOHN-uh,nature
1f319,moon,Mond,mohnt,nature
1f30d,earth,Erde,EHR-duh,nature
1f327,rain,Regen,RAY-guhn,nature
2744,snow,Schnee,shnay,nature
1f436,dog,Hund,hoont,animals
1f431,cat,Katze,KAHT-tsuh,animals
1f42d,mouse,Maus,mows,animals
1f430,rabbit,Kaninchen,kah-NEEN-khen,animals
1f43b,bear,Bär,behr,animals
1f437,pig,Schwein,shvyne,animals
1f42e,cow,Kuh,koo,animals
1f434,horse,Pferd,pfehrt,animals
1f411,sheep,Schaf,shahf,animals
1f412,monkey,Affe,AH-fuh,animals
1f418,elephant,Elefant,eh-leh-FAHNT,animals
1f981,lion,Löwe,LUH-vuh,animals
1f426,bird,Vogel,FOH-guhl,animals
1f414,chicken,Huhn,hoon,animals
1f420,fish,Fisch,fish,animals
1f40d,snake,Schlange,SHLAHNG-uh,animals
1f438,frog,Frosch,frohsh,animals
1f41d,bee,Biene,BEE-nuh,animals
1f41c,ant,Ameise,ah-MY-zuh,animals
1f332,tree,Baum,bowm,plants
1f33a,flower,Blume,BLOO-muh,plants
1f33f,plant,Pflanze,PFLAHN-tsuh,plants
1f340,leaf,Blatt,blaht,plants
1f339,rose,Rose,ROH-zuh,plants
1f34e,apple,Apfel,AHP-fuhl,fruit
1f34c,banana,Banane,bah-NAH-nuh,fruit
1f34a,orange,Orange,oh-RAHN-zhuh,fruit
1f34b,lemon,Zitrone,tsee-TROH-nuh,fruit
1f347,grape,Traube,TROW-buh,fruit
1f353,strawberry,Erdbeere,EHRT-bay-ruh,fruit
1f345,tomato,Tomate,toh-MAH-tuh,vegetables
1f954,potato,Kartoffel,kahr-TOH-fuhl,vegetables
1f955,carrot,Karotte,kah-ROH-tuh,vegetables
1f33d,corn,Mais,mys,vegetables
1f35e,bread,Brot,broht,food
1f9c0,cheese,Käse,KAY-zuh,food
1f95a,egg,Ei,eye,food
1f95b,milk,Milch,milkh,drink
1f33e,rice,Reis,ryce,food
1f375,tea,Tee,tay,drink
2615,coffee,Kaffee,KAH-fay,drink
1f3e0,house,Haus,hows,places
1f6aa,door,Tür,toor,home
1f6cf,bed,Bett,beht,home
1f4a1,light,Licht,likht,home
1f4d6,book,Buch,bookh,objects
1f511,key,Schlüssel,SHLOO-suhl,objects
26bd,ball,Ball,bahl,objects
