emoji,english,translation,phonetic,category
1f410,goat,Ziege,TSEE-guh,animals
1f427,penguin,Pinguin,PING-goo-een,animals
1f988,shark,Hai,hye,animals
1f992,giraffe,Giraffe,zhee-RAH-fuh,animals
1f993,zebra,Zebra,TSAY-brah,animals
1f998,kangaroo,Känguru,KENG-goo-roo,animals
1f40c,snail,Schnecke,SHNEHK-uh,animals
1f419,octopus,Krake,KRAH-kuh,animals
1f980,crab,Krabbe,KRAHB-uh,animals
1f40a,crocodile,Krokodil,kroh-koh-DEEL,animals
1f98d,gorilla,Gorilla,goh-RIL-lah,animals
1f984,unicorn,Einhorn,YNE-hohrn,animals
1f577,spider,Spinne,SHPIN-uh,animals
1f46e,police,Polizei,poh-lee-TSYE,people
1f934,prince,Prinz,prints,people
1f478,princess,Prinzessin,prin-TSEH-sin,people
1f3c0,basketball,Basketball,BAHS-keht-bahl,entertainment
1f3be,tennis,Tennis,TEH-nis,entertainment
26be,baseball,Baseball,BAYS-bahl,entertainment
1f94a,boxing,Boxen,BOHK-suhn,entertainment
1f354,hamburger,Hamburger,HAHM-boor-guhr,food
1f368,ice cream,Eiscreme,ICE-krehm,food
1f36a,cookie,Keks,kayks,food
1f373,cooking,kochen,KOHKH-uhn,food
1f969,steak,Steak,stayk,food
1f9c4,garlic,Knoblauch,KNOHB-lowkh,vegetables
1f965,coconut,Kokosnuss,KOH-kohs-noos,fruit
1f336,pepper,Pfeffer,PFEHF-uhr,vegetables
1f964,straw,Strohhalm,SHTROH-hahlm,drink
1f35a,bowl,Schüssel,SHOOS-uhl,food
1fa9e,mirror,Spiegel,SHPEE-guhl,objects
1f451,crown,Krone,KROH-nuh,clothing
1f6d2,cart,Wagen,VAH-guhn,transport
26a1,lightning,Blitz,blits,nature
1f9e3,scarf,Schal,shahl,clothing
1f9e4,gloves,Handschuhe,HAHNT-shoo-uh,clothing
1f9b4,bone,Knochen,KNOHKH-uhn,body
1f388,balloon,Ballon,bah-LOHN,objects
1f386,fireworks,Feuerwerk,FOY-uhr-vehrk,tools
1f50b,battery,Batterie,bah-teh-REE,objects
1f9f9,broom,Besen,BAY-zuhn,objects
1f54a,dove,Taube,TOW-buh,animals
1f3a4,microphone,Mikrofon,mee-kroh-FOHN,objects
23f0,alarm,Wecker,VEHK-uhr,objects
1f333,forest,Wald,vahlt,places
1f3dc,desert,Wüste,VOOS-tuh,places
1f309,bridge,Brücke,BROO-kuh,places
1f338,blossom,Blüte,BLOO-tuh,nature
1f33b,sunflower,Sonnenblume,ZOHN-uhn-bloo-muh,nature
1f343,autumn,Herbst,hehrpst,nature
1f335,cactus,Kaktus,KAHK-toos,nature
26d3,chain,Kette,KEHT-uh,tools
1fa93,axe,Axt,ahkst,tools
1f9fa,basket,Korb,kohrp,objects
1f6de,wheel,Rad,raht,objects
1fab6,feather,Feder,FAY-duhr,nature
1faa1,needle,Nadel,NAH-duhl,objects
1f9f5,thread,Faden,FAH-duhn,objects
1f9f2,magnet,Magnet,mahg-NAYT,objects
1f387,sparkler,Wunderkerze,VOON-duhr-kehr-tsuh,tools
1f3aa,circus,Zirkus,TSEER-koos,entertainment
1f3f9,arrow,Pfeil,pfyle,tools
1f550,hour,Stunde,SHTOON-duh,time
1f7e5,red,rot,roht,colors
1f7e6,blue,blau,blow,colors
1f7e9,green,grün,groon,colors
1f7e8,yellow,gelb,gehlp,colors
1f7ea,purple,lila,LEE-lah,colors
2b1b,black,schwarz,shvahrts,colors
2b1c,white,weiß,vyce,colors
1f9f1,wall,Wand,vahnt,home
1f4de,telephone,Telefon,teh-leh-FOHN,objects
1f4b3,card,Karte,KAHR-tuh,objects
1f4d3,notebook,Notizbuch,noh-TEETS-bookh,objects
1f3c6,trophy,Pokal,poh-KAHL,objects
