emoji,english,translation,phonetic,category
1f9e0,brain,Gehirn,geh-HEERN,body
1f48b,kiss,Kuss,koos,body
1fa78,blood,Blut,bloot,body
2601,cloud,Wolke,VOHL-kuh,nature
1f30a,sea,Meer,mayr,nature
1f32a,wind,Wind,vint,nature
1f308,rainbow,Regenbogen,RAY-guhn-boh-guhn,nature
1faa8,rock,Stein,shtyne,nature
1f9ca,ice,Eis,ice,nature
1f42f,tiger,Tiger,TEE-guhr,animals
1f43a,wolf,Wolf,vohlf,animals
1f98a,fox,Fuchs,fooks,animals
1f98c,deer,Hirsch,hihrsh,animals
1f986,duck,Ente,EHN-tuh,animals
1f985,eagle,Adler,AHD-luhr,animals
1f989,owl,Eule,OY-luh,animals
1f422,turtle,Schildkröte,SHILT-kruh-tuh,animals
1f42c,dolphin,Delfin,dehl-FEEN,animals
1f433,whale,Wal,vahl,animals
1f98b,butterfly,Schmetterling,SHMEHT-uhr-ling,animals
1f344,mushroom,Pilz,pilts,plants
1f331,seed,Samen,ZAH-muhn,nature
1fab5,wood,Holz,hohlts,nature
1f350,pear,Birne,BEER-nuh,fruit
1f351,peach,Pfirsich,PFEER-zikh,fruit
1f352,cherry,Kirsche,KEER-shuh,fruit
1f349,watermelon,Wassermelone,VAH-suhr-meh-LOH-nuh,fruit
1f9c5,onion,Zwiebel,TSVEE-buhl,vegetables
1f356,meat,Fleisch,flysh,food
1f355,pizza,Pizza,PIT-sah,food
1f35c,soup,Suppe,ZOO-puh,food
1f370,cake,Kuchen,KOO-khuhn,food
1f36b,chocolate,Schokolade,shoh-koh-LAH-duh,food
1f36c,candy,Bonbon,bohn-BOHN,food
1f36f,honey,Honig,HOH-nikh,food
1f9c2,salt,Salz,zahlts,food
1f37a,beer,Bier,beer,drink
1f377,wine,Wein,vyne,drink
1f37c,bottle,Flasche,FLAH-shuh,drink
1f378,glass,Glas,glahs,drink
1f9c3,juice,Saft,zahft,drink
1f3e2,building,Gebäude,geh-BOY-duh,places
1f3eb,school,Schule,SHOO-luh,places
1f3e5,hospital,Krankenhaus,KRAHNK-uhn-hows,places
1f3ea,store,Geschäft,geh-SHEFT,places
26ea,church,Kirche,KEER-khuh,places
1f697,car,Auto,OW-toh,transport
1f68c,bus,Bus,boos,transport
1f682,train,Zug,tsook,transport
2708,airplane,Flugzeug,FLOOK-tsoyk,transport
26f5,boat,Boot,boht,transport
1f6b2,bicycle,Fahrrad,FAHR-raht,transport
1f69a,truck,Lastwagen,LAHST-vah-guhn,transport
1fa9f,window,Fenster,FEHN-stuhr,home
1fa91,chair,Stuhl,shtool,home
1f4fa,television,Fernseher,FEHRN-zay-uhr,objects
1f4bb,computer,Computer,kohm-PYOO-tuhr,objects
1f4f1,phone,Telefon,teh-leh-FOHN,objects
1f4f7,camera,Kamera,KAH-meh-rah,objects
1f56f,candle,Kerze,KEHR-tsuh,objects
2709,letter,Brief,breef,objects
1f4b0,money,Geld,gehlt,objects
1f4c4,paper,Papier,pah-PEER,objects
1f5bc,picture,Bild,bilt,objects
1f453,glasses,Brille,BRIL-luh,clothing
1f455,shirt,Hemd,hehmt,clothing
1f456,pants,Hose,HOH-zuh,clothing
1f457,dress,Kleid,klyte,clothing
1f45e,shoe,Schuh,shoo,clothing
1f3a9,hat,Hut,hoot,clothing
1f9e5,coat,Mantel,MAHN-tuhl,clothing
2602,umbrella,Regenschirm,RAY-guhn-sheerm,clothing
1f392,bag,Tasche,TAH-shuh,clothing
1f48d,ring,Ring,ring,clothing
1f454,tie,Krawatte,krah-VAH-tuh,clothing
