emoji,english,translation,phonetic,category
2b50,zero,null,nool,numbers
1f522,one,eins,aynts,numbers
1f4dd,two,zwei,tsvye,numbers
270f,three,drei,drye,numbers
1f3af,four,vier,feer,numbers
1f4ca,five,fünf,foonf,numbers
1f4c8,six,sechs,zehks,numbers
2b50,seven,sieben,ZEE-buhn,numbers
1f522,eight,acht,ahkht,numbers
1f4dd,nine,neun,noyn,numbers
270f,ten,zehn,tsayn,numbers
1f3af,eleven,elf,ehlf,numbers
1f4ca,twelve,zwölf,tsvuhlf,numbers
1f4c8,thirteen,dreizehn,DRYE-tsayn,numbers
2b50,fourteen,vierzehn,FEER-tsayn,numbers
1f522,fifteen,fünfzehn,FOONF-tsayn,numbers
1f4dd,sixteen,sechzehn,ZEHKH-tsayn,numbers
270f,seventeen,siebzehn,ZEEP-tsayn,numbers
1f3af,eighteen,achtzehn,AHKHT-tsayn,numbers
1f4ca,nineteen,neunzehn,NOYN-tsayn,numbers
1f4c8,twenty,zwanzig,TSVAHN-tsikh,numbers
2b50,thirty,dreißig,DRYE-sikh,numbers
1f522,forty,vierzig,FEER-tsikh,numbers
1f4dd,fifty,fünfzig,FOONF-tsikh,numbers
270f,sixty,sechzig,ZEHKH-tsikh,numbers
1f3af,seventy,siebzig,ZEEP-tsikh,numbers
1f4ca,eighty,achtzig,AHKHT-tsikh,numbers
1f4c8,ninety,neunzig,NOYN-tsikh,numbers
1f4af,hundred,hundert,HOON-duhrt,numbers
2b50,two hundred,zweihundert,TSVYE-hoon-duhrt,numbers
1f522,five hundred,fünfhundert,FOONF-hoon-duhrt,numbers
1f4dd,thousand,tausend,TOW-zuhnt,numbers
1f947,first,erste,EHR-stuh,numbers
1f948,second,zweite,TSVYE-tuh,numbers
1f949,third,dritte,DRIT-uh,numbers
1f3c6,fourth,vierte,FEER-tuh,numbers
2b50,fifth,fünfte,FOONF-tuh,numbers
1f522,sixth,sechste,ZEHKS-tuh,numbers
1f4dd,seventh,siebte,ZEEP-tuh,numbers
270f,eighth,achte,AHKH-tuh,numbers
1f3af,ninth,neunte,NOYN-tuh,numbers
1f4ca,tenth,zehnte,TSAYN-tuh,numbers
1f4c8,pair,Paar,pahr,numbers
2b50,dozen,Dutzend,DOOT-tsuhnt,numbers
1f522,half,Hälfte,HELF-tuh,numbers
1f4dd,quarter,Viertel,FEER-tuhl,numbers
270f,double,doppelt,DOHP-uhlt,numbers
1f3af,triple,dreifach,DRYE-fahkh,numbers
1f4ca,million,Million,mil-ee-OHN,numbers
1f4c8,billion,Milliarde,mil-ee-AHR-duh,numbers
270f,plus,plus,ploos,numbers
1f3af,minus,minus,MEE-noos,numbers
1f4ca,equals,gleich,glykh,numbers
1f4c8,percent,Prozent,proh-TSEHNT,numbers
1f4b5,price,Preis,pryce,numbers
1f4b0,total,Summe,ZOOM-uh,numbers
1f522,count,zählen,TSAY-luhn,numbers
1f4dd,number,Nummer,NOOM-uhr,numbers
270f,amount,Betrag,beh-TRAHK,numbers
231a,hour,Stunde,SHTOON-duh,numbers
23f0,minute,Minute,mee-NOO-tuh,numbers
1f4c5,second of time,Sekunde,zeh-KOON-duh,numbers
2b50,once,einmal,YNE-mahl,numbers
1f522,twice,zweimal,TSVYE-mahl,numbers
1f4dd,many,viele,FEE-luh,numbers
270f,few,wenige,VAY-nee-guh,numbers
1f3af,all,alle,AH-luh,numbers
1f4ca,none,keine,KYE-nuh,numbers
1f4c8,some,einige,YNE-ee-guh,numbers
2b50,every,jede,YAY-duh,numbers
1f522,both,beide,BYE-duh,numbers
1f4dd,last,letzte,LEHTS-tuh,numbers
1f3af,next,nächste,NEHKS-tuh,numbers
1f4ca,only,nur,noor,numbers
1f4c8,enough,genug,geh-NOOK,numbers
