emoji,english,translation,phonetic,category
1f476,baby,bachchaa,BAHCH-chah,people
1f466,boy,ladkaa,LAR-kah,people
1f467,girl,ladkee,LAR-kee,people
1f468,man,aadmee,AAD-mee,people
1f469,woman,aurat,AU-raht,people
1f9d1,person,vyakti,VYAHK-tee,people
1f9d2,child,bachchaa,BAHCH-chah,people
1f46a,family,parivaar,pah-ree-VAAR,people
270b,hand,haath,HAATH,body
1f4aa,arm,baajoo,BAA-joo,body
1f9b5,leg,taang,TAANG,body
1f9b6,foot,pair,PAIR,body
1f442,ear,kaan,KAAN,body
1f443,nose,naak,NAAK,body
1f440,eye,aankh,AANKH,body
1f444,mouth,munh,MOONH,body
1f445,tongue,jeebh,JEEBH,body
1f9b7,tooth,daant,DAANT,body
2764,heart,dil,DIL,emotions
1f4a7,water,paanee,PAH-nee,nature
1f525,fire,aag,AAG,nature
2b50,star,taaraa,TAA-rah,nature
2600,sun,sooraj,SOO-rahj,nature
1f319,moon,chaand,CHAAND,nature
1f30d,earth,prithvee,PRITH-vee,nature
1f327,rain,baarish,BAA-rish,nature
2744,snow,barf,BARF,nature
1f436,dog,kuttaa,KUT-tah,animals
1f431,cat,billee,BIL-lee,animals
1f42d,mouse,choohaa,CHOO-hah,animals
1f430,rabbit,khargosh,KHAR-gosh,animals
1f43b,bear,bhaaloo,BHAA-loo,animals
1f437,pig,sooar,SOO-ahr,animals
1f42e,cow,gaay,GAAY,animals
1f434,horse,ghodaa,GHO-rah,animals
1f411,sheep,bhed,BHER,animals
1f412,monkey,bandar,BAHN-dahr,animals
1f418,elephant,haathee,HAA-thee,animals
1f981,lion,sher,SHER,animals
1f426,bird,pakshee,PAHK-shee,animals
1f414,chicken,murgee,MUR-gee,animals
1f420,fish,machhalee,MAHCH-lee,animals
1f40d,snake,saanp,SAANP,animals
1f438,frog,mendhak,MENDH-ahk,animals
1f41d,bee,madhumakkhee,MAH-dhoo-MAHK-khee,animals
1f41c,ant,cheentee,CHEEN-tee,animals
1f332,tree,ped,PER,plants
1f33a,flower,phool,PHOOL,plants
1f33f,plant,paudhaa,PAU-dhah,plants
1f340,leaf,pattaa,PAHT-tah,plants
1f339,rose,gulaab,goo-LAAB,plants
1f34e,apple,seb,SEB,fruit
1f34c,banana,kelaa,KE-lah,fruit
1f34a,orange,santaraa,SAHN-tah-rah,fruit
1f34b,lemon,neemboo,NEEM-boo,fruit
1f347,grape,angoor,AHN-goor,fruit
1f353,strawberry,strawberee,STRAW-beh-ree,fruit
1f345,tomato,tamaatar,tah-MAA-tahr,vegetables
1f954,potato,aaloo,AA-loo,vegetables
1f955,carrot,gaajar,GAA-jahr,vegetables
1f33d,corn,makkaa,MAHK-kah,vegetables
1f35e,bread,rotee,RO-tee,food
1f9c0,cheese,paneer,pah-NEER,food
1f95a,egg,andaa,AHN-dah,food
1f95b,milk,doodh,DOODH,drink
1f33e,rice,chaaval,CHAA-vahl,food
1f375,tea,chaay,CHAAY,drink
2615,coffee,kaufee,KAW-fee,drink
1f3e0,house,ghar,GHAR,places
1f6aa,door,darvaazaa,dahr-VAA-zah,home
1f6cf,bed,bistar,BIS-tahr,home
1f4a1,light,roshnee,ROSH-nee,home
1f4d6,book,kitaab,ki-TAAB,objects
1f511,key,chaabee,CHAA-bee,objects
26bd,ball,gend,GEND,objects
