emoji,english,translation,phonetic,category
1f410,goat,bakree,BAHK-ree,animals
1f427,penguin,penguin,PEN-goo-in,animals
1f988,shark,shaark,SHAARK,animals
1f992,giraffe,jiraaf,jee-RAAF,animals
1f993,zebra,zebraa,ZEB-rah,animals
1f998,kangaroo,kangaaroo,kahn-GAA-roo,animals
1f40c,snail,ghonghaa,GHON-ghah,animals
1f419,octopus,aaktopas,AAK-toh-puhs,animals
1f980,crab,kekdaa,KEK-rah,animals
1f40a,crocodile,magarmachh,MAH-gahr-MAHCH-chh,animals
1f98d,gorilla,gorillaa,go-RIL-lah,animals
1f984,unicorn,yoonikorn,YOO-nee-kaarn,animals
1f577,spider,makdee,mah-KAR-ee,animals
1f46e,police,pulis,poo-LIS,people
1f934,prince,raajkumaar,RAAJ-koo-maar,people
1f478,princess,raajkumaaree,RAAJ-koo-maa-ree,people
1f3c0,basketball,baasketbaal,BAAS-ket-baal,entertainment
1f3be,tennis,tenis,TEN-is,entertainment
26be,baseball,besbaal,BES-baal,entertainment
1f94a,boxing,mukkebaazee,MUK-ke-baa-zee,entertainment
1f354,hamburger,bargar,BAHR-gahr,food
1f368,ice cream,aaiskreem,AA-is-KREEM,food
1f36a,cookie,biskut,BIS-kut,food
1f373,cooking,khaanaa banaanaa,KHAA-nah bah-NAA-nah,food
1f969,steak,stek,STEK,food
1f9c4,garlic,lahsun,LAH-soon,vegetables
1f965,coconut,naariyaL,NAA-ree-yahl,fruit
1f336,pepper,mirch,MIRCH,vegetables
1f964,straw,strau,STRAW,drink
1f35a,bowl,katoraa,kah-TO-rah,food
1fa9e,mirror,sheeshaa,SHEE-shah,objects
1f451,crown,mukut,moo-KUT,clothing
1f6d2,cart,gaadee,GAA-ree,transport
26a1,lightning,bijlee,BIJ-lee,nature
1f9e3,scarf,dupattaa,doo-PAHT-tah,clothing
1f9e4,gloves,dastaane,DAHS-taa-ne,clothing
1f9b4,bone,haddee,HAHD-dee,body
1f388,balloon,gubbaaraa,goob-BAA-rah,objects
1f386,fireworks,aatishbaazee,AA-tish-baa-zee,tools
1f50b,battery,baitaree,BAI-tah-ree,objects
1f9f9,broom,jhaadoo,JHAA-roo,objects
1f54a,dove,kabootar,kah-BOO-tahr,animals
1f3a4,microphone,maaikrofon,MAA-ee-kro-fon,objects
23f0,alarm,alaarm,ah-LAARM,objects
1f333,forest,jangal,JAHN-gahl,places
1f3dc,desert,registaan,RE-gis-taan,places
1f309,bridge,pul,PUL,places
1f338,blossom,khilnaa,KHIL-nah,nature
1f33b,sunflower,soorajmukhee,SOO-rahj-moo-khee,nature
1f343,autumn,patjhad,PAHT-jhahr,nature
1f335,cactus,naagfanee,NAAG-fah-nee,nature
26d3,chain,zanjeer,ZAHN-jeer,tools
1fa93,axe,kulhaadee,kul-HAA-ree,tools
1f9fa,basket,tokaree,TO-kah-ree,objects
1f6de,wheel,pahiyaa,pah-HEE-yah,objects
1fab6,feather,pankh,PAHNKH,nature
1faa1,needle,suee,SOO-ee,objects
1f9f5,thread,dhaagaa,DHAA-gah,objects
1f9f2,magnet,chumbak,CHUM-bahk,objects
1f387,sparkler,phuljhadee,phool-JHAH-ree,tools
1f3aa,circus,sarkas,SAHR-kahs,entertainment
1f3f9,arrow,teer,TEER,tools
1f550,hour,ghantaa,GHAHN-tah,time
1f7e5,red,laal,LAAL,colors
1f7e6,blue,neelaa,NEE-lah,colors
1f7e9,green,haraa,HAH-rah,colors
1f7e8,yellow,peelaa,PEE-lah,colors
1f7ea,purple,bainganee,BAIN-gah-nee,colors
2b1b,black,kaalaa,KAA-lah,colors
2b1c,white,safed,sah-FED,colors
1f9f1,wall,deevaar,DEE-vaar,home
1f4de,telephone,teleefon,TEL-ee-fon,objects
1f4b3,card,kaard,KAARD,objects
1f4d3,notebook,kaupee,KAW-pee,objects
1f3c6,trophy,traufee,TRAW-fee,objects
