emoji,english,translation,phonetic,category
1f9e0,brain,dimaag,dee-MAAG,body
1f48b,kiss,chumban,CHUM-bahn,body
1fa78,blood,khoon,KHOON,body
2601,cloud,baadal,BAA-dahl,nature
1f30a,sea,samudra,sah-MU-drah,nature
1f32a,wind,havaa,hah-VAA,nature
1f308,rainbow,indradhanush,IN-drah-dhah-NUSH,nature
1faa8,rock,chattaan,CHAHT-taan,nature
1f9ca,ice,barf,BARF,nature
1f42f,tiger,baagh,BAAGH,animals
1f43a,wolf,bhediyaa,BHER-ee-yah,animals
1f98a,fox,lomadee,LO-mah-ree,animals
1f98c,deer,hiran,HIR-ahn,animals
1f986,duck,batakh,BAH-tahkh,animals
1f985,eagle,cheel,CHEEL,animals
1f989,owl,ulloo,UL-loo,animals
1f422,turtle,kachhuaa,KAHCH-oo-ah,animals
1f42c,dolphin,daulfin,DAAL-fin,animals
1f433,whale,vhel,VHEL,animals
1f98b,butterfly,titlee,TIT-lee,animals
1f344,mushroom,masharoom,MAHSH-room,plants
1f331,seed,beej,BEEJ,nature
1fab5,wood,lakdee,lah-KAR-ee,nature
1f350,pear,naashpaatee,NAASH-paa-tee,fruit
1f351,peach,aadoo,AA-roo,fruit
1f352,cherry,cheree,CHER-ee,fruit
1f349,watermelon,tarbooz,tahr-BOOZ,fruit
1f9c5,onion,pyaaz,PYAAZ,vegetables
1f356,meat,maans,MAANS,food
1f355,pizza,pizzaa,PIZ-zah,food
1f35c,soup,soop,SOOP,food
1f370,cake,kek,KEK,food
1f36b,chocolate,chauklet,CHAAK-let,food
1f36c,candy,taufee,TAW-fee,food
1f36f,honey,shahad,SHAH-hahd,food
1f9c2,salt,namak,NAH-mahk,food
1f37a,beer,beeyar,BEER,drink
1f377,wine,sharaab,shah-RAAB,drink
1f37c,bottle,botal,BO-tahl,drink
1f378,glass,gilaas,gee-LAAS,drink
1f9c3,juice,joos,JOOS,drink
1f3e2,building,imaarat,ee-MAA-raht,places
1f3eb,school,skool,SKOOL,places
1f3e5,hospital,aspataal,AHS-pah-taal,places
1f3ea,store,dukaan,doo-KAAN,places
26ea,church,girjaaghar,gir-JAA-ghar,places
1f697,car,gaadee,GAA-ree,transport
1f68c,bus,bas,BAHS,transport
1f682,train,relgaadee,REL-gaa-ree,transport
2708,airplane,havaee jahaaz,hah-VAA-ee jah-HAAZ,transport
26f5,boat,naav,NAAV,transport
1f6b2,bicycle,saaikiL,SAA-ee-kil,transport
1f69a,truck,trak,TRAHK,transport
1fa9f,window,khidkee,khir-KEE,home
1fa91,chair,kursee,KUR-see,home
1f4fa,television,teleevizhan,TEL-ee-vizh-ahn,objects
1f4bb,computer,kampyootar,kahm-PYOO-tahr,objects
1f4f1,phone,fon,FONE,objects
1f4f7,camera,kaimaraa,KAI-mah-rah,objects
1f56f,candle,mombattee,MOM-baht-tee,objects
2709,letter,patra,PAH-trah,objects
1f4b0,money,paisaa,PAI-sah,objects
1f4c4,paper,kaagaz,KAA-gahz,objects
1f5bc,picture,tasveer,tahs-VEER,objects
1f453,glasses,chashmaa,CHAHSH-mah,clothing
1f455,shirt,kameez,kah-MEEZ,clothing
1f456,pants,pataloon,paht-LOON,clothing
1f457,dress,poshaak,PO-shaak,clothing
1f45e,shoe,jootaa,JOO-tah,clothing
1f3a9,hat,topee,TO-pee,clothing
1f9e5,coat,kot,KOT,clothing
2602,umbrella,chhaataa,CHHAA-tah,clothing
1f392,bag,bastaa,BAHS-tah,clothing
1f48d,ring,angoothee,ahn-GOO-thee,clothing
1f454,tie,taaee,TAA-ee,clothing
