emoji,english,translation,phonetic,category
2b50,zero,शू,SHOON-yah,numbers
1f522,one,एक,EK,numbers
1f4dd,two,दो,DOH,numbers
270f,three,तीन,TEEN,numbers
1f3af,four,चार,CHAAR,numbers
1f4ca,five,पाँच,PAANCH,numbers
1f4c8,six,छह,CHHEH,numbers
2b50,seven,सात,SAAT,numbers
1f522,eight,आठ,AATH,numbers
1f4dd,nine,नौ,NAU,numbers
270f,ten,दस,DUS,numbers
2b50,eleven,रह,GYAA-rah,numbers
1f319,twelve,बारह,BAA-rah,numbers
1f33a,thirteen,तेरह,TEH-rah,numbers
1f340,fourteen,चौदह,CHAU-dah,numbers
1f34e,fifteen,पंह,PAN-drah,numbers
1f34c,sixteen,सोलह,SOH-lah,numbers
1f420,seventeen,सह,SAT-rah,numbers
1f41d,eighteen,अठारह,ATH-aa-rah,numbers
1f525,nineteen,उस,UN-nees,numbers
1f4a7,twenty,बीस,BEES,numbers
1f332,thirty,तीस,TEES,numbers
1f436,forty,चालीस,CHAA-lees,numbers
1f431,fifty,पचास,pah-CHAAS,numbers
1f42d,sixty,साठ,SAATH,numbers
1f430,seventy,सर,SAT-tar,numbers
1f437,eighty,अ,AS-see,numbers
1f42e,ninety,न,NAB-bay,numbers
1f4af,hundred,सौ,SAU,numbers
1f4b0,two hundred,दो सौ,DOH-SAU,numbers
1f4b5,five hundred,पाँच सौ,PAANCH-SAU,numbers
1f3c6,thousand,हज़ार,hah-ZAAR,numbers
1f947,first,पहला,PEH-lah,numbers
1f948,second,दूसरा,DOO-sah-rah,numbers
1f949,third,तीसरा,TEE-sah-rah,numbers
1f34a,fourth,चौथा,CHAU-thah,numbers
1f34b,fifth,पाँचवाँ,PAANCH-vaan,numbers
1f347,sixth,छठा,CHHA-thah,numbers
1f353,seventh,सातवाँ,SAAT-vaan,numbers
1f345,eighth,आठवाँ,AATH-vaan,numbers
1f955,ninth,नौवाँ,NAU-vaan,numbers
1f954,tenth,दसवाँ,DUS-vaan,numbers
1f46b,pair,जोड़ा,JOH-rah,numbers
1f95a,dozen,दन,DAR-jun,numbers
1f52a,half,आधा,AA-dhah,numbers
1f370,quarter,चौथाई,CHAU-thaa-ee,numbers
270f,double,दोगुना,DOH-goo-nah,numbers
1f3f9,triple,तिगुना,TI-goo-nah,numbers
2b1c,nil,शू,SHOON-yah,numbers
1f30d,million,दस लाख,DUS-LAAKH,numbers
1f680,billion,अरब,AH-rub,numbers
2795,plus,जमा,JAH-mah,numbers
2796,minus,घटा,GHAH-tah,numbers
1f4ca,equals,बराबर,bah-RAA-bar,numbers
1f4ca,percent,तिशत,PRAH-ti-shat,numbers
1f4b0,price,कीमत,KEE-mat,numbers
1f9ee,total,कुल,KOOL,numbers
1f4dd,count,गिनती,GIN-tee,numbers
1f4dd,number,नंबर,NUM-bar,numbers
1f4e6,amount,राशि,RAA-shee,numbers
231a,hour,घंटा,GHUN-tah,numbers
23f0,minute,मिनट,MI-nut,numbers
1f4c5,second (time),सेकंड,SEH-kund,numbers
1f550,once,एक बार,EK-BAAR,numbers
1f551,twice,दो बार,DOH-BAAR,numbers
1f4c5,time,समय,SAH-may,numbers
1f3c6,score,अंक,AHNK,numbers
1f9ee,sum,योग,YOHG,numbers
1f4b3,value,मू,MOOL-yah,numbers
1fa99,coin,सि,SIK-kah,numbers
1f4b5,bill,नोट,NOHT,numbers
1f4b0,cost,लागत,LAA-gut,numbers
1f4b3,fee,शु,SHULK,numbers
1f9c0,piece,टुकड़ा,TUK-rah,numbers
1f9fa,bundle,गर,GATH-thar,numbers
