pua_codepoint,cluster_text,cluster_codes
U+E000,च्चा,U+091A U+094D U+091A U+093E
U+E001,व्य,U+0935 U+094D U+092F
U+E002,क्ति,U+0915 U+094D U+0924 U+093F
U+E003,थ्वी,U+0925 U+094D U+0935 U+0940
U+E004,र्फ,U+0930 U+094D U+092B
U+E005,त्ता,U+0924 U+094D U+0924 U+093E
U+E006,ल्ली,U+0932 U+094D U+0932 U+0940
U+E007,क्षी,U+0915 U+094D U+0937 U+0940
U+E008,र्गी,U+0930 U+094D U+0917 U+0940
U+E009,क्खी,U+0915 U+094D U+0916 U+0940
U+E00A,स्ट्रॉ,U+0938 U+094D U+091F U+094D U+0930 U+0949
U+E00B,क्का,U+0915 U+094D U+0915 U+093E
U+E00C,स्त,U+0938 U+094D U+0924
U+E00D,द्र,U+0926 U+094D U+0930
U+E00E,ट्टा,U+091F U+094D U+091F U+093E
U+E00F,र्फ़,U+0930 U+094D U+092B U+093C
U+E010,ल्लू,U+0932 U+094D U+0932 U+0942
U+E011,ल्फ़ि,U+0932 U+094D U+092B U+093C U+093F
U+E012,व्हे,U+0935 U+094D U+0939 U+0947
U+E013,प्या,U+092A U+094D U+092F U+093E
U+E014,ज़्ज़ा,U+091C U+093C U+094D U+091C U+093C U+093E
U+E015,स्कू,U+0938 U+094D U+0915 U+0942
U+E016,स्प,U+0938 U+094D U+092A
U+E017,ट्र,U+091F U+094D U+0930
U+E018,र्सी,U+0930 U+094D U+0938 U+0940
U+E019,प्यू,U+092A U+094D U+092F U+0942
U+E01A,त्ती,U+0924 U+094D U+0924 U+0940
U+E01B,त्र,U+0924 U+094D U+0930
U+E01C,स्वी,U+0938 U+094D U+0935 U+0940
U+E01D,श्मा,U+0936 U+094D U+092E U+093E
U+E01E,स्ता,U+0938 U+094D U+0924 U+093E
U+E01F,स्सा,U+0938 U+094D U+0938 U+093E
U+E020,स्की,U+0938 U+094D U+0915 U+0940
U+E021,र्फ़िं,U+0930 U+094D U+092B U+093C U+093F U+0902
U+E022,न्म,U+0928 U+094D U+092E
U+E023,र्टी,U+0930 U+094D U+091F U+0940
U+E024,ल्म,U+0932 U+094D U+092E
U+E025,द्वी,U+0926 U+094D U+0935 U+0940
U+E026,क्सी,U+0915 U+094D U+0938 U+0940
U+E027,प्ट,U+092A U+094D U+091F
U+E028,म्बु,U+092E U+094D U+092C U+0941
U+E029,म्म,U+092E U+094D U+092E
U+E02A,क़्शा,U+0915 U+093C U+094D U+0936 U+093E
U+E02B,ब्बा,U+092C U+094D U+092C U+093E
U+E02C,स्ना,U+0938 U+094D U+0928 U+093E
U+E02D,र्क,U+0930 U+094D U+0915
U+E02E,क्टो,U+0915 U+094D U+091F U+094B
U+E02F,च्छ,U+091A U+094D U+091B
U+E030,ल्ला,U+0932 U+094D U+0932 U+093E
U+E031,र्न,U+0930 U+094D U+0928
U+E032,स्के,U+0938 U+094D U+0915 U+0947
U+E033,क्के,U+0915 U+094D U+0915 U+0947
U+E034,र्ग,U+0930 U+094D U+0917
U+E035,क्री,U+0915 U+094D U+0930 U+0940
U+E036,स्कु,U+0938 U+094D U+0915 U+0941
U+E037,स्टे,U+0938 U+094D U+091F U+0947
U+E038,र्च,U+0930 U+094D U+091A
U+E039,ड्डी,U+0921 U+094D U+0921 U+0940
U+E03A,क्रो,U+0915 U+094D U+0930 U+094B
U+E03B,र्म,U+0930 U+094D U+092E
U+E03C,ल्हा,U+0932 U+094D U+0939 U+093E
U+E03D,र्ड,U+0930 U+094D U+0921
U+E03E,ट्रॉ,U+091F U+094D U+0930 U+0949
