emoji,english,translation,phonetic,category
1f476,baby,赤ちゃん,AH-kah-chan,people
1f466,boy,男の子,oh-toh-koh-NOH-koh,people
1f467,girl,女の子,on-nah-NOH-koh,people
1f468,man,男,oh-TOH-koh,people
1f469,woman,女,on-NAH,people
1f9d1,person,人,hee-TOH,people
1f9d2,child,子供,koh-DOH-moh,people
1f46a,family,家族,kah-ZOH-koo,people
270b,hand,手,teh,body
1f4aa,arm,腕,oo-DEH,body
1f9b5,leg,脚,ah-SHEE,body
1f9b6,foot,足,ah-SHEE,body
1f442,ear,耳,mee-MEE,body
1f443,nose,鼻,hah-NAH,body
1f440,eye,目,meh,body
1f444,mouth,口,koo-CHEE,body
1f445,tongue,舌,shee-TAH,body
1f9b7,tooth,歯,hah,body
2764,heart,心,koh-KOH-roh,emotions
1f4a7,water,水,mee-ZOO,nature
1f525,fire,火,hee,nature
2b50,star,星,hoh-SHEE,nature
2600,sun,太陽,tah-ee-YOH,nature
1f319,moon,月,tsoo-KEE,nature
1f30d,earth,地球,chee-KYOO,nature
1f327,rain,雨,ah-MEH,nature
2744,snow,雪,yoo-KEE,nature
1f436,dog,犬,ee-NOO,animals
1f431,cat,猫,neh-KOH,animals
1f42d,mouse,ネズミ,neh-ZOO-mee,animals
1f430,rabbit,うさぎ,oo-SAH-gee,animals
1f43b,bear,熊,koo-MAH,animals
1f437,pig,豚,boo-TAH,animals
1f42e,cow,牛,oo-SHEE,animals
1f434,horse,馬,oo-MAH,animals
1f411,sheep,羊,hee-TSOO-jee,animals
1f412,monkey,猿,sah-ROO,animals
1f418,elephant,象,zoh,animals
1f981,lion,ライオン,rah-ee-ON,animals
1f426,bird,鳥,toh-REE,animals
1f414,chicken,鶏,nee-WAH-toh-ree,animals
1f420,fish,魚,sah-KAH-nah,animals
1f40d,snake,蛇,heh-BEE,animals
1f438,frog,カエル,kah-EH-roo,animals
1f41d,bee,蜂,hah-CHEE,animals
1f41c,ant,蟻,ah-REE,animals
1f332,tree,木,kee,plants
1f33a,flower,花,hah-NAH,plants
1f33f,plant,植物,shoh-KOO-boo-tsoo,plants
1f340,leaf,葉,hah,plants
1f339,rose,バラ,bah-RAH,plants
1f34e,apple,りんご,REEN-goh,fruit
1f34c,banana,バナナ,bah-NAH-nah,fruit
1f34a,orange,オレンジ,oh-REN-jee,fruit
1f34b,lemon,レモン,reh-MON,fruit
1f347,grape,ぶどう,boo-DOH,fruit
1f353,strawberry,いちご,ee-CHEE-goh,fruit
1f345,tomato,トマト,toh-MAH-toh,vegetables
1f954,potato,じゃがいも,jah-GAH-ee-moh,vegetables
1f955,carrot,にんじん,NEEN-jeen,vegetables
1f33d,corn,とうもろこし,toh-moh-ROH-koh-shee,vegetables
1f35e,bread,パン,pahn,food
1f9c0,cheese,チーズ,CHEE-zoo,food
1f95a,egg,卵,tah-MAH-goh,food
1f95b,milk,牛乳,gyoo-NYOO,drink
1f33e,rice,米,koh-MEH,food
1f375,tea,お茶,oh-CHAH,drink
2615,coffee,コーヒー,KOH-hee,drink
1f3e0,house,家,ee-EH,places
1f6aa,door,ドア,doh-AH,home
1f6cf,bed,ベッド,BEH-doh,home
1f4a1,light,光,hee-KAH-ree,home
1f4d6,book,本,hohn,objects
1f511,key,鍵,kah-GEE,objects
26bd,ball,ボール,BOH-roo,objects
