emoji,english,translation,phonetic,category
1f410,goat,ヤギ,yah-GEE,animals
1f427,penguin,ペンギン,pen-GEEN,animals
1f988,shark,サメ,sah-MEH,animals
1f992,giraffe,キリン,kee-REEN,animals
1f993,zebra,シマウマ,shee-mah-OO-mah,animals
1f998,kangaroo,カンガルー,kahn-gah-ROO,animals
1f40c,snail,カタツムリ,kah-tah-TSOO-moo-ree,animals
1f419,octopus,タコ,tah-KOH,animals
1f980,crab,カニ,kah-NEE,animals
1f40a,crocodile,ワニ,wah-NEE,animals
1f98d,gorilla,ゴリラ,goh-REE-rah,animals
1f984,unicorn,ユニコーン,yoo-nee-KOHN,animals
1f577,spider,クモ,koo-MOH,animals
1f46e,police,警察,keh-SAH-tsoo,people
1f934,prince,王子,oh-JEE,people
1f478,princess,お姫様,oh-hee-meh-SAH-mah,people
1f3c0,basketball,バスケ,bah-SOO-keh,entertainment
1f3be,tennis,テニス,teh-NEE-soo,entertainment
26be,baseball,野球,yah-KYOO,entertainment
1f94a,boxing,ボクシング,boh-koo-SHEEN-goo,entertainment
1f354,hamburger,ハンバーガー,hahn-BAH-gah,food
1f368,ice cream,アイスクリーム,ah-ee-soo-koo-REE-moo,food
1f36a,cookie,クッキー,kook-KEE,food
1f373,cooking,料理,ryoh-REE,food
1f969,steak,ステーキ,soo-TEH-kee,food
1f9c4,garlic,にんにく,NEEN-nee-koo,vegetables
1f965,coconut,ココナッツ,koh-koh-NAHT-tsoo,fruit
1f336,pepper,唐辛子,toh-GAH-rah-shee,vegetables
1f964,straw,ストロー,soo-toh-ROH,drink
1f35a,bowl,丼,dohn-BOO-ree,food
1fa9e,mirror,鏡,kah-GAH-mee,objects
1f451,crown,王冠,oh-KAHN,clothing
1f6d2,cart,カート,KAH-toh,transport
26a1,lightning,雷,kah-mee-NAH-ree,nature
1f9e3,scarf,マフラー,mah-foo-RAH,clothing
1f9e4,gloves,手袋,teh-BOO-koo-roh,clothing
1f9b4,bone,骨,hoh-NEH,body
1f388,balloon,風船,foo-SEN,objects
1f386,fireworks,花火,hah-NAH-bee,tools
1f50b,battery,電池,den-CHEE,objects
1f9f9,broom,ほうき,HOH-kee,objects
1f54a,dove,鳩,hah-TOH,animals
1f3a4,microphone,マイク,mah-EE-koo,objects
23f0,alarm,目覚まし,meh-ZAH-mah-shee,objects
1f333,forest,森,moh-REE,places
1f3dc,desert,砂漠,sah-BAH-koo,places
1f309,bridge,橋,hah-SHEE,places
1f338,blossom,桜,sah-KOO-rah,nature
1f33b,sunflower,ひまわり,hee-mah-WAH-ree,nature
1f343,autumn,秋,ah-KEE,nature
1f335,cactus,サボテン,sah-BOH-ten,nature
26d3,chain,鎖,koo-SAH-ree,tools
1fa93,axe,斧,oh-NOH,tools
1f9fa,basket,かご,kah-GOH,objects
1f6de,wheel,車輪,shah-REEN,objects
1fab6,feather,羽,hah-NEH,nature
1faa1,needle,針,hah-REE,objects
1f9f5,thread,糸,ee-TOH,objects
1f9f2,magnet,磁石,jee-SHAH-koo,objects
1f387,sparkler,線香花火,sen-koh-HAH-nah-bee,tools
1f3aa,circus,サーカス,SAH-kah-soo,entertainment
1f3f9,arrow,矢,yah,tools
1f550,hour,時間,jee-KAHN,time
1f7e5,red,赤,ah-KAH,colors
1f7e6,blue,青,ah-OH,colors
1f7e9,green,緑,mee-DOH-ree,colors
1f7e8,yellow,黄色,kee-EE-roh,colors
1f7ea,purple,紫,moo-RAH-sah-kee,colors
2b1b,black,黒,koo-ROH,colors
2b1c,white,白,shee-ROH,colors
1f9f1,wall,壁,kah-BEH,home
1f4de,telephone,電話,den-WAH,objects
1f4b3,card,カード,KAH-doh,objects
1f4d3,notebook,ノート,NOH-toh,objects
1f3c6,trophy,トロフィー,toh-ROH-fee,objects
