emoji,english,translation,phonetic,category
1f9e0,brain,脳,noh,body
1f48b,kiss,キス,kee-SOO,body
1fa78,blood,血,chee,body
2601,cloud,雲,koo-MOH,nature
1f30a,sea,海,oo-MEE,nature
1f32a,wind,風,kah-ZEH,nature
1f308,rainbow,虹,nee-JEE,nature
1faa8,rock,岩,ee-WAH,nature
1f9ca,ice,氷,koh-OH-ree,nature
1f42f,tiger,虎,toh-RAH,animals
1f43a,wolf,オオカミ,oh-oh-KAH-mee,animals
1f98a,fox,キツネ,kee-TSOO-neh,animals
1f98c,deer,鹿,shee-KAH,animals
1f986,duck,アヒル,ah-HEE-roo,animals
1f985,eagle,鷲,wah-SHEE,animals
1f989,owl,フクロウ,foo-KOO-roh,animals
1f422,turtle,亀,kah-MEH,animals
1f42c,dolphin,イルカ,ee-ROO-kah,animals
1f433,whale,クジラ,koo-JEE-rah,animals
1f98b,butterfly,蝶,choh,animals
1f344,mushroom,きのこ,kee-NOH-koh,plants
1f331,seed,種,tah-NEH,nature
1fab5,wood,木材,moh-KOO-zah-ee,nature
1f350,pear,梨,nah-SHEE,fruit
1f351,peach,桃,moh-MOH,fruit
1f352,cherry,さくらんぼ,sah-koo-RAHN-boh,fruit
1f349,watermelon,スイカ,SOO-ee-kah,fruit
1f9c5,onion,玉ねぎ,tah-mah-NEH-gee,vegetables
1f356,meat,肉,nee-KOO,food
1f355,pizza,ピザ,PEE-zah,food
1f35c,soup,スープ,SOO-poo,food
1f370,cake,ケーキ,KEH-kee,food
1f36b,chocolate,チョコレート,choh-koh-REH-toh,food
1f36c,candy,飴,ah-MEH,food
1f36f,honey,はちみつ,hah-chee-MEE-tsoo,food
1f9c2,salt,塩,shee-OH,food
1f37a,beer,ビール,BEE-roo,drink
1f377,wine,ワイン,WAH-een,drink
1f37c,bottle,瓶,been,drink
1f378,glass,グラス,goo-RAH-soo,drink
1f9c3,juice,ジュース,JOO-soo,drink
1f3e2,building,ビル,bee-ROO,places
1f3eb,school,学校,gahk-KOH,places
1f3e5,hospital,病院,byoh-EEN,places
1f3ea,store,店,mee-SEH,places
26ea,church,教会,kyoh-KAH-ee,places
1f697,car,車,koo-ROO-mah,transport
1f68c,bus,バス,bah-SOO,transport
1f682,train,電車,den-SHAH,transport
2708,airplane,飛行機,hee-KOH-kee,transport
26f5,boat,船,foo-NEH,transport
1f6b2,bicycle,自転車,jee-TEN-shah,transport
1f69a,truck,トラック,toh-RAHK-koo,transport
1fa9f,window,窓,mah-DOH,home
1fa91,chair,椅子,ee-SOO,home
1f4fa,television,テレビ,teh-REH-bee,objects
1f4bb,computer,パソコン,pah-SOH-kohn,objects
1f4f1,phone,電話,den-WAH,objects
1f4f7,camera,カメラ,kah-MEH-rah,objects
1f56f,candle,ろうそく,roh-SOH-koo,objects
2709,letter,手紙,teh-GAH-mee,objects
1f4b0,money,お金,oh-KAH-neh,objects
1f4c4,paper,紙,kah-MEE,objects
1f5bc,picture,絵,eh,objects
1f453,glasses,眼鏡,meh-GAH-neh,clothing
1f455,shirt,シャツ,SHAH-tsoo,clothing
1f456,pants,ズボン,zoo-BOHN,clothing
1f457,dress,ドレス,doh-REH-soo,clothing
1f45e,shoe,靴,koo-TSOO,clothing
1f3a9,hat,帽子,boh-SHEE,clothing
1f9e5,coat,コート,KOH-toh,clothing
2602,umbrella,傘,kah-SAH,clothing
1f392,bag,カバン,kah-BAHN,clothing
1f48d,ring,指輪,yoo-BEE-wah,clothing
1f454,tie,ネクタイ,neh-koo-TAH-ee,clothing
