emoji,english,translation,phonetic,category
2b50,zero,零,REH,numbers
1f522,one,一,ee-CHEE,numbers
1f4dd,two,二,nee,numbers
270f,three,三,sahn,numbers
1f3af,four,四,shee,numbers
1f4ca,five,五,goh,numbers
1f4c8,six,六,ROH-koo,numbers
2b50,seven,七,nah-NAH,numbers
1f522,eight,八,hah-CHEE,numbers
1f4dd,nine,九,kyoo,numbers
270f,ten,十,joo,numbers
2b50,eleven,十一,joo-ee-CHEE,numbers
1f319,twelve,十二,joo-nee,numbers
1f33a,thirteen,十三,joo-sahn,numbers
1f340,fourteen,十四,joo-shee,numbers
1f34e,fifteen,十五,joo-goh,numbers
1f34c,sixteen,十六,joo-ROH-koo,numbers
1f420,seventeen,十七,joo-nah-NAH,numbers
1f41d,eighteen,十八,joo-hah-CHEE,numbers
1f525,nineteen,十九,joo-kyoo,numbers
1f4a7,twenty,二十,nee-joo,numbers
1f332,thirty,三十,sahn-joo,numbers
1f436,forty,四十,yohn-joo,numbers
1f431,fifty,五十,goh-joo,numbers
1f42d,sixty,六十,ROH-koo-joo,numbers
1f430,seventy,七十,nah-NAH-joo,numbers
1f437,eighty,八十,hah-CHEE-joo,numbers
1f42e,ninety,九十,kyoo-joo,numbers
1f4af,hundred,百,hyah-KOO,numbers
1f4b0,two hundred,二百,nee-hyah-KOO,numbers
1f4b5,five hundred,五百,goh-hyah-KOO,numbers
1f3c6,thousand,千,sehn,numbers
1f947,first,一番目,ee-CHEE-bahn-meh,numbers
1f948,second,二番目,nee-bahn-meh,numbers
1f949,third,三番目,sahn-bahn-meh,numbers
1f34a,fourth,四番目,yohn-bahn-meh,numbers
1f34b,fifth,五番目,goh-bahn-meh,numbers
1f347,sixth,六番目,ROH-koo-bahn-meh,numbers
1f353,seventh,七番目,nah-NAH-bahn-meh,numbers
1f345,eighth,八番目,hah-CHEE-bahn-meh,numbers
1f955,ninth,九番目,kyoo-bahn-meh,numbers
1f954,tenth,十番目,joo-bahn-meh,numbers
1f46b,pair,一対,IT-tsoo-ee,numbers
1f95a,dozen,一ダース,ee-CHEE-DAA-soo,numbers
1f52a,half,半分,HAHN-boon,numbers
1f370,quarter,四分の一,SHEE-boon-noh-ee-CHEE,numbers
270f,double,二倍,nee-BYE,numbers
1f3f9,triple,三倍,sahn-BYE,numbers
2b1c,nil,無,moo,numbers
1f30d,million,百万,hyah-KOO-mahn,numbers
1f680,billion,十億,joo-OH-koo,numbers
2795,plus,足す,TAH-soo,numbers
2796,minus,引く,HEE-koo,numbers
1f4ca,equals,等しい,hee-TOH-shee,numbers
1f4ca,percent,パーセント,PAA-sehn-toh,numbers
1f4b0,price,値段,neh-DAHN,numbers
1f9ee,total,合計,GOH-kay,numbers
1f4dd,count,数える,kah-ZOH-eh-roo,numbers
1f4dd,number,番号,BAHN-goh,numbers
1f4e6,amount,量,ryoh,numbers
231a,hour,時間,jee-KAHN,numbers
23f0,minute,分,foon,numbers
1f4c5,second (time),秒,byoh,numbers
1f550,once,一度,ee-CHEE-doh,numbers
1f551,twice,二度,nee-doh,numbers
1f4c5,time,時刻,jee-KOH-koo,numbers
1f3c6,score,得点,toh-KOO-tehn,numbers
1f9ee,sum,合計,GOH-kay,numbers
1f4b3,value,価値,KAH-chee,numbers
1fa99,coin,硬貨,KOH-kah,numbers
1f4b5,bill,紙幣,SHEE-hay,numbers
1f4b0,cost,費用,HEE-yoh,numbers
1f4b3,fee,料金,RYOH-keen,numbers
1f9c0,piece,一個,IK-koh,numbers
1f9fa,bundle,束,TAH-bah,numbers
