emoji,english,translation,phonetic,category
1f476,baby,아기,AH-GEE,people
1f466,boy,소년,SOH-NYUHN,people
1f467,girl,소녀,SOH-NYUH,people
1f468,man,남자,NAHM-JAH,people
1f469,woman,여자,YUH-JAH,people
1f9d1,person,사람,SAH-RAHM,people
1f9d2,child,아이,AH-EE,people
1f46a,family,가족,GAH-JOHK,people
270b,hand,손,SOHN,body
1f4aa,arm,팔,PAHL,body
1f9b5,leg,다리,DAH-REE,body
1f9b6,foot,발,BAHL,body
1f442,ear,귀,GWEE,body
1f443,nose,코,KOH,body
1f440,eye,눈,NOON,body
1f444,mouth,입,EEP,body
1f445,tongue,혀,HYUH,body
1f9b7,tooth,이,EE,body
2764,heart,심장,SHEEM-JAHNG,emotions
1f4a7,water,물,MOOL,nature
1f525,fire,불,BOOL,nature
2b50,star,별,BYUHL,nature
2600,sun,해,HEH,nature
1f319,moon,달,DAHL,nature
1f30d,earth,지구,JEE-GOO,nature
1f327,rain,비,BEE,nature
2744,snow,눈,NOON,nature
1f436,dog,개,GEH,animals
1f431,cat,고양이,GOH-YAHNG-EE,animals
1f42d,mouse,쥐,JWEE,animals
1f430,rabbit,토끼,TOH-KKEE,animals
1f43b,bear,곰,GOHM,animals
1f437,pig,돼지,DWEH-JEE,animals
1f42e,cow,소,SOH,animals
1f434,horse,말,MAHL,animals
1f411,sheep,양,YAHNG,animals
1f412,monkey,원숭이,WUHN-SOONG-EE,animals
1f418,elephant,코끼리,KOH-KKEE-REE,animals
1f981,lion,사자,SAH-JAH,animals
1f426,bird,새,SEH,animals
1f414,chicken,닭,DAHK,animals
1f420,fish,물고기,MOOL-GOH-GEE,animals
1f40d,snake,뱀,BEHM,animals
1f438,frog,개구리,GEH-GOO-REE,animals
1f41d,bee,벌,BUHL,animals
1f41c,ant,개미,GEH-MEE,animals
1f332,tree,나무,NAH-MOO,plants
1f33a,flower,꽃,KKOH,plants
1f33f,plant,식물,SHEEK-MOOL,plants
1f340,leaf,잎,EEP,plants
1f339,rose,장미,JAHNG-MEE,plants
1f34e,apple,사과,SAH-GWAH,fruit
1f34c,banana,바나나,BAH-NAH-NAH,fruit
1f34a,orange,오렌지,OH-REHN-JEE,fruit
1f34b,lemon,레몬,REH-MOHN,fruit
1f347,grape,포도,POH-DOH,fruit
1f353,strawberry,딸기,TTAHL-GEE,fruit
1f345,tomato,토마토,TOH-MAH-TOH,vegetables
1f954,potato,감자,GAHM-JAH,vegetables
1f955,carrot,당근,DAHNG-GEUN,vegetables
1f33d,corn,옥수수,OHK-SOO-SOO,vegetables
1f35e,bread,빵,PPAHNG,food
1f9c0,cheese,치즈,CHEE-JEU,food
1f95a,egg,달걀,DAHL-GYAHL,food
1f95b,milk,우유,OO-YOO,drink
1f33e,rice,쌀,SSAHL,food
1f375,tea,차,CHAH,drink
2615,coffee,커피,KUH-PEE,drink
1f3e0,house,집,JEEP,places
1f6aa,door,문,MOON,home
1f6cf,bed,침대,CHEEM-DEH,home
1f4a1,light,빛,BEET,home
1f4d6,book,책,CHEHK,objects
1f511,key,열쇠,YUHL-SHWEH,objects
26bd,ball,공,GOHNG,objects
