emoji,english,translation,phonetic,category
1f410,goat,염소,YUHM-SOH,animals
1f427,penguin,펭귄,PEHNG-GWEEN,animals
1f988,shark,상어,SAHNG-UH,animals
1f992,giraffe,기린,GEE-REEN,animals
1f993,zebra,얼룩말,UHL-ROOK-MAHL,animals
1f998,kangaroo,캥거루,KEHNG-GUH-ROO,animals
1f40c,snail,달팽이,DAHL-PEHNG-EE,animals
1f419,octopus,문어,MOON-UH,animals
1f980,crab,게,GEH,animals
1f40a,crocodile,악어,AH-GUH,animals
1f98d,gorilla,고릴라,GOH-REEL-LAH,animals
1f984,unicorn,유니콘,YOO-NEE-KOHN,animals
1f577,spider,거미,GUH-MEE,animals
1f46e,police,경찰,GYUHNG-CHAHL,people
1f934,prince,왕자,WAHNG-JAH,people
1f478,princess,공주,GOHNG-JOO,people
1f3c0,basketball,농구,NOHNG-GOO,entertainment
1f3be,tennis,테니스,TEH-NEE-SEU,entertainment
26be,baseball,야구,YAH-GOO,entertainment
1f94a,boxing,권투,GWUHN-TOO,entertainment
1f354,hamburger,햄버거,HEHM-BUH-GUH,food
1f368,ice cream,아이스크림,AH-EE-SEU-KEU-REEM,food
1f36a,cookie,쿠키,KOO-KEE,food
1f373,cooking,요리,YOH-REE,food
1f969,steak,스테이크,SEU-TEH-EE-KEU,food
1f9c4,garlic,마늘,MAH-NEUL,vegetables
1f965,coconut,코코넛,KOH-KOH-NUHT,fruit
1f336,pepper,고추,GOH-CHOO,vegetables
1f964,straw,빨대,PPAHL-DEH,drink
1f35a,bowl,그릇,GEU-REUT,food
1fa9e,mirror,거울,GUH-OOL,objects
1f451,crown,왕관,WAHNG-GWAHN,clothing
1f6d2,cart,카트,KAH-TEU,transport
26a1,lightning,번개,BUHN-GEH,nature
1f9e3,scarf,목도리,MOHK-DOH-REE,clothing
1f9e4,gloves,장갑,JAHNG-GAHP,clothing
1f9b4,bone,뼈,PPYUH,body
1f388,balloon,풍선,POONG-SUHN,objects
1f386,fireworks,불꽃놀이,BOOL-KKOH-NOHL-EE,tools
1f50b,battery,배터리,BEH-TUH-REE,objects
1f9f9,broom,빗자루,BEET-JAH-ROO,objects
1f54a,dove,비둘기,BEE-DOOL-GEE,animals
1f3a4,microphone,마이크,MAH-EE-KEU,objects
23f0,alarm,알람,AHL-LAHM,objects
1f333,forest,숲,SOOP,places
1f3dc,desert,사막,SAH-MAHK,places
1f309,bridge,다리,DAH-REE,places
1f338,blossom,꽃봉오리,KKOH-BOHNG-OH-REE,nature
1f33b,sunflower,해바라기,HEH-BAH-RAH-GEE,nature
1f343,autumn,가을,GAH-EUL,nature
1f335,cactus,선인장,SUH-NEEN-JAHNG,nature
26d3,chain,사슬,SAH-SEUL,tools
1fa93,axe,도끼,DOH-KKEE,tools
1f9fa,basket,바구니,BAH-GOO-NEE,objects
1f6de,wheel,바퀴,BAH-KWEE,objects
1fab6,feather,깃털,GEET-TUHL,nature
1faa1,needle,바늘,BAH-NEUL,objects
1f9f5,thread,실,SHEEL,objects
1f9f2,magnet,자석,JAH-SUHK,objects
1f387,sparkler,폭죽,POHK-JOOK,tools
1f3aa,circus,서커스,SUH-KUH-SEU,entertainment
1f3f9,arrow,화살,HWAH-SAHL,tools
1f550,hour,시간,SHEE-GAHN,time
1f7e5,red,빨간색,PPAHL-GAHN-SEHK,colors
1f7e6,blue,파란색,PAH-RAHN-SEHK,colors
1f7e9,green,초록색,CHOH-ROHK-SEHK,colors
1f7e8,yellow,노란색,NOH-RAHN-SEHK,colors
1f7ea,purple,보라색,BOH-RAH-SEHK,colors
2b1b,black,검은색,GUH-MEUN-SEHK,colors
2b1c,white,흰색,HWEEN-SEHK,colors
1f9f1,wall,벽,BYUHK,home
1f4de,telephone,전화,JUHN-HWAH,objects
1f4b3,card,카드,KAH-DEU,objects
1f4d3,notebook,공책,GOHNG-CHEHK,objects
1f3c6,trophy,트로피,TEU-ROH-PEE,objects
