emoji,english,translation,phonetic,category
1f9e0,brain,뇌,NWEH,body
1f48b,kiss,키스,KEE-SEU,body
1fa78,blood,피,PEE,body
2601,cloud,구름,GOO-REUM,nature
1f30a,sea,바다,BAH-DAH,nature
1f32a,wind,바람,BAH-RAHM,nature
1f308,rainbow,무지개,MOO-JEE-GEH,nature
1faa8,rock,바위,BAH-WEE,nature
1f9ca,ice,얼음,UHL-EUM,nature
1f42f,tiger,호랑이,HOH-RAHNG-EE,animals
1f43a,wolf,늑대,NEUK-DEH,animals
1f98a,fox,여우,YUH-OO,animals
1f98c,deer,사슴,SAH-SEUM,animals
1f986,duck,오리,OH-REE,animals
1f985,eagle,독수리,DOHK-SOO-REE,animals
1f989,owl,올빼미,OHL-PPEH-MEE,animals
1f422,turtle,거북이,GUH-BOO-GEE,animals
1f42c,dolphin,돌고래,DOHL-GOH-REH,animals
1f433,whale,고래,GOH-REH,animals
1f98b,butterfly,나비,NAH-BEE,animals
1f344,mushroom,버섯,BUH-SUHT,plants
1f331,seed,씨앗,SSEE-AHT,nature
1fab5,wood,나무,NAH-MOO,nature
1f350,pear,배,BEH,fruit
1f351,peach,복숭아,BOHK-SOONG-AH,fruit
1f352,cherry,체리,CHEH-REE,fruit
1f349,watermelon,수박,SOO-BAHK,fruit
1f9c5,onion,양파,YAHNG-PAH,vegetables
1f356,meat,고기,GOH-GEE,food
1f355,pizza,피자,PEE-JAH,food
1f35c,soup,국,GOOK,food
1f370,cake,케이크,KEH-EE-KEU,food
1f36b,chocolate,초콜릿,CHOH-KOHL-LEET,food
1f36c,candy,사탕,SAH-TAHNG,food
1f36f,honey,꿀,KKOOL,food
1f9c2,salt,소금,SOH-GEUM,food
1f37a,beer,맥주,MEHK-JOO,drink
1f377,wine,와인,WAH-EEN,drink
1f37c,bottle,병,BYUHNG,drink
1f378,glass,잔,JAHN,drink
1f9c3,juice,주스,JOO-SEU,drink
1f3e2,building,건물,GUHN-MOOL,places
1f3eb,school,학교,HAHK-GYOH,places
1f3e5,hospital,병원,BYUHNG-WUHN,places
1f3ea,store,가게,GAH-GEH,places
26ea,church,교회,GYOH-HWEH,places
1f697,car,자동차,JAH-DOHNG-CHAH,transport
1f68c,bus,버스,BUH-SEU,transport
1f682,train,기차,GEE-CHAH,transport
2708,airplane,비행기,BEE-HEHNG-GEE,transport
26f5,boat,배,BEH,transport
1f6b2,bicycle,자전거,JAH-JUHN-GUH,transport
1f69a,truck,트럭,TEU-RUHK,transport
1fa9f,window,창문,CHAHNG-MOON,home
1fa91,chair,의자,EUI-JAH,home
1f4fa,television,텔레비전,TEHL-LEH-BEE-JUHN,objects
1f4bb,computer,컴퓨터,KUHM-PYOO-TUH,objects
1f4f1,phone,전화기,JUHN-HWAH-GEE,objects
1f4f7,camera,카메라,KAH-MEH-RAH,objects
1f56f,candle,촛불,CHOHT-BOOL,objects
2709,letter,편지,PYUHN-JEE,objects
1f4b0,money,돈,DOHN,objects
1f4c4,paper,종이,JOHNG-EE,objects
1f5bc,picture,그림,GEU-REEM,objects
1f453,glasses,안경,AHN-GYUHNG,clothing
1f455,shirt,셔츠,SHYUH-CHEU,clothing
1f456,pants,바지,BAH-JEE,clothing
1f457,dress,드레스,DEU-REH-SEU,clothing
1f45e,shoe,신발,SHEEN-BAHL,clothing
1f3a9,hat,모자,MOH-JAH,clothing
1f9e5,coat,코트,KOH-TEU,clothing
2602,umbrella,우산,OO-SAHN,clothing
1f392,bag,가방,GAH-BAHNG,clothing
1f48d,ring,반지,BAHN-JEE,clothing
1f454,tie,넥타이,NEHK-TAH-EE,clothing
