emoji,english,translation,phonetic,category
1f600,face,turofv,too-ROH-fuh,emotions
1f60a,happy,afvcketv,ah-FUHCH-kee-tuh,emotions
1f622,sad,feknokke,fik-NOHK-kee,emotions
1f620,angry,cvpvkke,chuh-PUHK-kee,emotions
1f628,afraid,penkvle,pin-KUH-lee,emotions
1f634,tired,hotose,hoh-TOH-see,emotions
1f632,surprised,estomahe,is-toh-MAH-hee,emotions
1f912,sick,enokke,in-OHK-kee,emotions
1f602,laugh,vpelke,uh-PIL-kee,emotions
1f62d,cry,hvkihke,huh-KEEH-kee,emotions
1f60d,love,vnokecke,uh-noh-KICH-kee,emotions
1f5e3,speak,opunvyetv,oh-poo-nuh-YEE-tuh,actions
1f4ad,think,vkerricetv,uh-kihr-REE-chee-tuh,actions
1f3c3,running,letketv,LIT-kee-tuh,actions
1f3ca,swimming,akwvyecetv,ahk-wuh-yee-CHEE-tuh,actions
1f6b6,walking,yvhiketv,yuh-hee-KEE-tuh,actions
1f483,dancing,opvnketv,oh-PUHN-kee-tuh,actions
270d,writing,coyvketv,choh-yuh-KEE-tuh,actions
1f3a3,fishing,akhoyvnetv,ahk-hoh-yuh-NEE-tuh,entertainment
26f7,skiing,hetote oh pvlatketv,hee-TOH-tee oh puh-LAHT-kee-tuh,entertainment
1f3c4,surfing,uehvtkv oh pvlatketv,oo-ee-HUHT-kuh oh puh-LAHT-kee-tuh,entertainment
1f305,morning,hvyvtke,huh-YUHT-kee,time
1f307,evening,yafke,YAHF-kee,time
1f303,night,nere,NEE-ree,time
1f382,birthday,honvpsecv nettv,hoh-nuhp-SEE-chuh NIT-tuh,entertainment
1f389,party,eshakv,is-HAH-kuh,entertainment
1f381,gift,emekv,ee-MEE-kuh,entertainment
1f3b5,music,yvhiketv,yuh-hee-KEE-tuh,entertainment
1f3b6,song,yvhiketv em punvkv,yuh-hee-KEE-tuh im-poo-NUH-kuh,entertainment
1f3b9,piano,ecvnwv esketv,ee-CHUHN-wuh is-KEE-tuh,entertainment
1f3b8,guitar,ecvnwv esketv cate,ee-CHUHN-wuh is-KEE-tuh CHAH-tee,entertainment
1f941,drum,tavhake,tah-uh-HAH-kee,entertainment
1f3ac,movie,vheckv nakcokv,uh-HICH-kuh nahk-CHOH-kuh,entertainment
1f3a8,art,esvhakv,is-uh-HAH-kuh,entertainment
1f3b2,game,eshaketv,is-hah-KEE-tuh,entertainment
1f514,bell,cvneckv,chuh-NICH-kuh,objects
1f3e8,hotel,fekhonnv coko,fik-HOHN-nuh CHOH-koh,places
1f3d9,city,tvlofv rakko,tuh-LOH-fuh RAHK-koh,places
1f3d4,mountain,ekvnhvlwe,ee-kuhn-HUHL-wee,places
1f3d6,beach,oktahv,ohk-TAH-huh,places
1f6e3,road,nene,NEE-nee,places
1f3e6,bank,cvtokunawv coko,chuh-toh-koo-NAH-wuh CHOH-koh,places
1f3f0,castle,mekko em coko,MIK-koh im-CHOH-koh,places
1f3dd,island,okvte,oh-KUH-tee,places
1f3de,park,pvhe tvlofv,PUH-hee tuh-LOH-fuh,places
1f695,taxi,vpeyetv awtomopel,uh-pee-YEE-tuh aw-toh-MOH-pil,transport
1f681,helicopter,tvhopvyetv cvcvke,tuh-hoh-puh-YEE-tuh chuh-CHUH-kee,transport
1f680,rocket,kvlvphe tvhopvyetv,kuh-LUH-pee tuh-hoh-puh-YEE-tuh,transport
1f691,ambulance,cvfeckv awtomopel,chuh-FICH-kuh aw-toh-MOH-pil,transport
1f3cd,motorcycle,kvlesketv cvcvke,kuh-LIS-kee-tuh chuh-CHUH-kee,transport
1f6a2,ship,perro rakko,PIH-roh RAHK-koh,transport
1f4fb,radio,estemerv es pohicetv,is-tee-MEE-ruh is-poh-HEE-chee-tuh,objects
1f4f0,newspaper,nakcokv nettv,nahk-CHOH-kuh NIT-tuh,objects
1f4dd,note,nakcokv cvcvke,nahk-CHOH-kuh chuh-CHUH-kee,objects
1f58a,pen,escoyvketv,is-choh-yuh-KEE-tuh,objects
270f,pencil,escoyvketv eto,is-choh-yuh-KEE-tuh EE-toh,objects
2702,scissors,eswackv,is-WAHCH-kuh,objects
1f4c5,calendar,nettv vhonkvtkv,NIT-tuh uh-HOHN-kuht-kuh,objects
1f512,lock,eshvlvtketv,is-hluh-LUHT-kee-tuh,objects
1f528,hammer,esvnvfketv,is-uh-NUHF-kee-tuh,tools
1f52a,knife,eslafkv,is-LAHF-kuh,tools
1f374,fork,escvkwv,is-CHUHK-wuh,tools
1f944,spoon,eshvckucketv,is-huhch-KOOCH-kee-tuh,tools
1f37d,plate,pvlvknv,puh-LUHK-nuh,tools
1f5fa,map,ekvnv nakcokv,ee-KUH-nuh nahk-CHOH-kuh,objects
1f4e6,box,tohahwv,toh-HAH-wuh,objects
1f4e8,mail,nakcokv vpeyetv,nahk-CHOH-kuh uh-pee-YEE-tuh,objects
1f6c1,bath,okkvsetv,ohk-kuh-SEE-tuh,home
1f9fc,soap,oksete,ohk-SEE-tee,objects
1fa99,coin,cvtokunawv cvcvke,chuh-toh-koo-NAH-wuh chuh-CHUH-kee,objects
1f570,clock,hvse-vkerrickv,huh-see-uh-KIHR-ees-kuh,objects
231a,watch,enke hvse-vkerrickv,IN-kee huh-see-uh-KIHR-ees-kuh,objects
1f3f3,flag,tvlen,tuh-LIN,objects
2694,sword,eslafkv cvpko,is-LAHF-kuh CHUHP-koh,tools
1f52b,gun,tvccekv,tuhch-CHEE-kuh,tools
