emoji,english,translation,phonetic,category
1f476,baby,hopuetake,hoh-poo-eh-TAH-kee,people
1f466,boy,cepane,cheh-PAH-nee,people
1f467,girl,hokte mvnettat,HOHK-tee muh-NIT-taht,people
1f468,man,este hunvnwv,IS-tee huh-NUN-wuh,people
1f469,woman,hokte,HOHK-tee,people
1f9d1,person,este,IS-tee,people
1f9d2,child,hopuewv,hoh-poo-EE-wuh,people
1f46a,family,en hute vtehkvlke,in-HUH-tee uh-TIHK-uhl-kee,people
270b,hand,enke,IN-kee,body
1f4aa,arm,sakpv,SAHK-puh,body
1f9b5,leg,hvcce,HUHCH-chee,body
1f9b6,foot,elle,IL-lee,body
1f442,ear,hvckuce,huhch-KOO-chee,body
1f443,nose,yopo,YOH-poh,body
1f440,eye,turwv,TUHR-wuh,body
1f444,mouth,cokv,CHOH-kuh,body
1f445,tongue,tolaswv,toh-LAHS-wuh,body
1f9b7,tooth,enute,in-OO-tee,body
2764,heart,feke,FEE-kee,emotions
1f4a7,water,owe,OH-wee,nature
1f525,fire,totkvn,TOHT-kuhn,nature
2b50,star,kococumpv,koh-choh-CHUHM-puh,nature
2600,sun,hvse,huh-SEE,nature
1f319,moon,hvresse,huh-RIS-see,nature
1f30d,earth,ekvnv,ee-KUH-nuh,nature
1f327,rain,oske,OHS-kee,nature
2744,snow,hetote,hee-TOH-tee,nature
1f436,dog,efv,EE-fuh,animals
1f431,cat,pose,POH-see,animals
1f42d,mouse,cesse,CHIS-see,animals
1f430,rabbit,cufe,CHOO-fee,animals
1f43b,bear,nokose,noh-KOH-see,animals
1f437,pig,sokha,SOHK-hah,animals
1f42e,cow,wakv,WAH-kuh,animals
1f434,horse,corakko,choh-RAHK-koh,animals
1f411,sheep,yvhv,yuh-HUH,animals
1f412,monkey,este lekce,IS-tee LIK-chee,animals
1f418,elephant,yaha rakko,YAH-hah RAHK-koh,animals
1f981,lion,catv rakko,CHAH-tuh RAHK-koh,animals
1f426,bird,fuswv,FUHS-wuh,animals
1f414,chicken,totlosv,toht-LOH-suh,animals
1f420,fish,rvro,ruh-ROH,animals
1f40d,snake,cetto,CHIT-toh,animals
1f438,frog,sopaktvlv,soh-PAHK-tuh-luh,animals
1f41d,bee,fo,FOH,animals
1f41c,ant,taskuce,tahs-KOO-chee,animals
1f332,tree,eto,EE-toh,plants
1f33a,flower,pvkpvke,puhk-PUH-kee,plants
1f33f,plant,lowocke,loh-WOHCH-kee,plants
1f340,leaf,esse,IS-see,plants
1f339,rose,pvkpvke lane,puhk-PUH-kee LAH-nee,plants
1f34e,apple,svtolkv,suh-TOHL-kuh,fruit
1f34c,banana,en holwvke,in-HOHL-wuh-kee,fruit
1f34a,orange,yalahe,yah-LAH-hee,fruit
1f34b,lemon,yalahe kvsvppe,yah-LAH-hee kuh-SUHP-pee,fruit
1f347,grape,pvrko,PUHR-koh,fruit
1f353,strawberry,pvrko lane,PUHR-koh LAH-nee,fruit
1f345,tomato,tomate,toh-MAH-tee,vegetables
1f954,potato,aha,AH-hah,vegetables
1f955,carrot,aha lane,AH-hah LAH-nee,vegetables
1f33d,corn,vcen,uh-CHIN,vegetables
1f35e,bread,tvkleke,tuhk-LEE-kee,food
1f9c0,cheese,waka neha hvlatte,WAH-kah NEE-hah hluh-LAH-tee,food
1f95a,egg,hose,HOH-see,food
1f95b,milk,waka neha,WAH-kah NEE-hah,drink
1f33e,rice,olvse,oh-LUH-see,food
1f375,tea,heles,hee-LIS,drink
2615,coffee,kvfe,kuh-FEE,drink
1f3e0,house,coko,CHOH-koh,places
1f6aa,door,coko vhake,CHOH-koh uh-HAH-kee,home
1f6cf,bed,topv,TOH-puh,home
1f4a1,light,kvnhvtke,kuhn-HUHT-kee,home
1f4d6,book,nakcokv,nahk-CHOH-kuh,objects
1f511,key,tvfvlvpecickv,tuh-fuh-luh-pee-CHIS-kuh,objects
26bd,ball,pokko,POHK-koh,objects
