emoji,english,translation,phonetic,category
1f410,goat,cowatv,CHOH-wah-tuh,animals
1f427,penguin,fuswv hatke,FUHS-wuh HAHT-kee,animals
1f988,shark,rvro nokose,ruh-ROH noh-KOH-see,animals
1f992,giraffe,eco enokwv cvpko,EE-choh in-OHK-wuh CHUHP-koh,animals
1f993,zebra,corakko konhe,choh-RAHK-koh KOHN-hee,animals
1f998,kangaroo,sokca hvtke,SOHK-chah HUHT-kee,animals
1f40c,snail,eco secvlkv,EE-choh see-CHUHL-kuh,animals
1f419,octopus,rvro enke,ruh-ROH IN-kee,animals
1f980,crab,svkvkvnv,suh-kuh-KUH-nuh,animals
1f40a,crocodile,hvlpvtv,huhl-PUH-tuh,animals
1f98d,gorilla,este lekce rakko,IS-tee LIK-chee RAHK-koh,animals
1f984,unicorn,corakko yvpe,choh-RAHK-koh YUH-pee,animals
1f577,spider,aksokrenv,ahk-soh-KREE-nuh,animals
1f46e,police,tvlwv vfastvlke,tuhl-WUH uh-FAHS-tuhl-kee,people
1f934,prince,mekko eppuce,MIK-koh ip-POO-chee,people
1f478,princess,mekko echuswv,MIK-koh ee-CHUHS-wuh,people
1f3c0,basketball,pokko esceyvketv,POHK-koh is-chee-yuh-KEE-tuh,entertainment
1f3be,tennis,pokko espvlvtketv,POHK-koh is-puh-LUHT-kee-tuh,entertainment
26be,baseball,pokko esvnvfketv,POHK-koh is-uh-NUHF-kee-tuh,entertainment
1f94a,boxing,ennvfketv,in-NUHF-kee-tuh,entertainment
1f354,hamburger,waka vpeswa tvkleke,WAH-kah uh-PIS-wah tuhk-LEE-kee,food
1f368,ice cream,neha hetote,NEE-hah hee-TOH-tee,food
1f36a,cookie,tvkleke cvmpv cvcvke,tuhk-LEE-kee CHUHM-puh chuh-CHUH-kee,food
1f373,cooking,hompetv haketv,hohm-PEE-tuh hah-KEE-tuh,food
1f969,steak,waka vpeswa,WAH-kah uh-PIS-wah,food
1f9c4,garlic,tahvme kvsvppe,tah-HUH-mee kuh-SUHP-pee,vegetables
1f965,coconut,eto em pvkne,EE-toh im-PUHK-nee,fruit
1f336,pepper,homv,HOH-muh,vegetables
1f964,straw,essesketv,is-sis-KEE-tuh,drink
1f35a,bowl,pvlvknv lowvcke,puh-LUHK-nuh loh-WUHCH-kee,food
1fa9e,mirror,esvheckv,is-uh-HICH-kuh,objects
1f451,crown,kvpotokv mekko,kuh-POH-toh-kuh MIK-koh,clothing
1f6d2,cart,esyvpecickv,is-yuh-pee-CHIS-kuh,transport
26a1,lightning,vtotkv,uh-TOHT-kuh,nature
1f9e3,scarf,enokwv esfvnvyeckv,in-OHK-wuh is-fuh-nuh-YICH-kuh,clothing
1f9e4,gloves,enke vtvpeckv,IN-kee uh-tuh-PICH-kuh,clothing
1f9b4,bone,fvne,FUH-nee,body
1f388,balloon,pofketv,POHF-kee-tuh,objects
1f386,fireworks,kvlvphe hvse,kuh-LUH-pee huh-SEE,tools
1f50b,battery,em mvhakv,im-muh-HAH-kuh,objects
1f9f9,broom,espvskv,is-PUHS-kuh,objects
1f54a,dove,pvce hatke,PUH-chee HAHT-kee,animals
1f3a4,microphone,em punvyeckv,im-poo-nuh-YICH-kuh,objects
23f0,alarm,asvhoneckv,ah-suh-hoh-NICH-kuh,objects
1f333,forest,eto em fullv,EE-toh im-FUHL-luh,places
1f3dc,desert,ekvnv kvlhe,ee-KUH-nuh KUH-lee,places
1f309,bridge,tihvlkv,tee-HUHL-kuh,places
1f338,blossom,pvkpvke enhakvte,puhk-PUH-kee in-hah-KUH-tee,nature
1f33b,sunflower,pvkpvke hvse,puhk-PUH-kee huh-SEE,nature
1f343,autumn,rvfo,ruh-FOH,nature
1f335,cactus,ekvnv kvlhe lowocke,ee-KUH-nuh KUH-lee loh-WOHCH-kee,nature
26d3,chain,cvto teyvkse,CHUH-toh tee-YUHK-see,tools
1fa93,axe,eswackv eto,is-WAHCH-kuh EE-toh,tools
1f9fa,basket,svmpv,SUHM-puh,objects
1f6de,wheel,kvlesketv em pvlvknv,kuh-LIS-kee-tuh im-puh-LUHK-nuh,objects
1fab6,feather,tafv,TAH-fuh,nature
1faa1,needle,escoyvnv,is-choh-YUH-nuh,objects
1f9f5,thread,fvske,FUHS-kee,objects
1f9f2,magnet,cvto yekcetv,CHUH-toh yik-CHEE-tuh,objects
1f387,sparkler,kvlvphe cvcvke,kuh-LUH-pee chuh-CHUH-kee,tools
1f3aa,circus,eshaketv rakko,is-hah-KEE-tuh RAHK-koh,entertainment
1f3f9,arrow,rvne,ruh-NEE,tools
1f550,hour,hvse-vkerrickv,huh-see-uh-KIHR-ees-kuh,time
1f7e5,red,cate,CHAH-tee,colors
1f7e6,blue,holatte,hoh-LAHT-tee,colors
1f7e9,green,lane,LAH-nee,colors
1f7e8,yellow,lanuse,lah-NOO-see,colors
1f7ea,purple,svlekce,suh-LIK-chee,colors
2b1b,black,lvste,LUHS-tee,colors
2b1c,white,hatke,HAHT-kee,colors
1f9f1,wall,tohopke,toh-HOHP-kee,home
1f4de,telephone,estemerv,is-tee-MEE-ruh,objects
1f4b3,card,nakcokv pvlvknv,nahk-CHOH-kuh puh-LUHK-nuh,objects
1f4d3,notebook,nakcokv escoyv,nahk-CHOH-kuh is-CHOH-yuh,objects
1f3c6,trophy,emvnickv,ee-muh-NEECH-kuh,objects
