emoji,english,translation,phonetic,category
1f9e0,brain,ekvhake,ee-kuh-HAH-kee,body
1f48b,kiss,vfvnketv,uh-fuhn-KEE-tuh,body
1fa78,blood,catv,CHAH-tuh,body
2601,cloud,aholocv,ah-hoh-LOH-chuh,nature
1f30a,sea,uehvtkv rakko,oo-ee-HUHT-kuh RAHK-koh,nature
1f32a,wind,hotvle,hoh-TUH-lee,nature
1f308,rainbow,osknvwv,ohsk-NUH-wuh,nature
1faa8,rock,cvto,CHUH-toh,nature
1f9ca,ice,hetote,hee-TOH-tee,nature
1f42f,tiger,catv konhe,CHAH-tuh KOHN-hee,animals
1f43a,wolf,yaha,YAH-hah,animals
1f98a,fox,culv,CHOO-luh,animals
1f98c,deer,eco,EE-choh,animals
1f986,duck,fuculv,foo-CHOO-luh,animals
1f985,eagle,lvmhe,LUHM-hee,animals
1f989,owl,efvsce,ee-FUHS-chee,animals
1f422,turtle,locv,LOH-chuh,animals
1f42c,dolphin,rvro epoyetv,ruh-ROH ee-poh-YEE-tuh,animals
1f433,whale,rvro rakko,ruh-ROH RAHK-koh,animals
1f98b,butterfly,tvffolopv,tuh-FOH-loh-puh,animals
1f344,mushroom,etokvlvpe,ee-toh-kuh-LUH-pee,plants
1f331,seed,nerkv,NIHR-kuh,nature
1fab5,wood,eto,EE-toh,nature
1f350,pear,svtolkv lane,suh-TOHL-kuh LAH-nee,fruit
1f351,peach,pvkne,PUHK-nee,fruit
1f352,cherry,pvkne cate,PUHK-nee CHAH-tee,fruit
1f349,watermelon,cvstene,chuhs-TEE-nee,fruit
1f9c5,onion,tahvme,tah-HUH-mee,vegetables
1f356,meat,vpeswa,uh-PIS-wah,food
1f355,pizza,tvkleke topv,tuhk-LEE-kee TOH-puh,food
1f35c,soup,hese,HEE-see,food
1f370,cake,tvkleke cvmpv,tuhk-LEE-kee CHUHM-puh,food
1f36b,chocolate,kvfe cvmpv,kuh-FEE CHUHM-puh,food
1f36c,candy,cvmpvke,CHUHM-puh-kee,food
1f36f,honey,fo enke,FOH IN-kee,food
1f9c2,salt,okcvnwv,ohk-CHUHN-wuh,food
1f37a,beer,heles vhotvlke,hee-LIS uh-HOHT-uhl-kee,drink
1f377,wine,pvrko en heles,PUHR-koh in-HEE-lis,drink
1f37c,bottle,sesketv,sis-KEE-tuh,drink
1f378,glass,sesketv hvtke,sis-KEE-tuh HUHT-kee,drink
1f9c3,juice,en heles,in-HEE-lis,drink
1f3e2,building,coko rakko,CHOH-koh RAHK-koh,places
1f3eb,school,mvhakv coko,muh-HAH-kuh CHOH-koh,places
1f3e5,hospital,cvfeckv coko,chuh-FICH-kuh CHOH-koh,places
1f3ea,store,nese coko,NEE-see CHOH-koh,places
26ea,church,mekusvpkv coko,mee-kuh-SUHP-kuh CHOH-koh,places
1f697,car,awtomopel,aw-toh-MOH-pil,transport
1f68c,bus,awtomopel rakko,aw-toh-MOH-pil RAHK-koh,transport
1f682,train,tockenvkketv,toh-chin-uhk-KEE-tuh,transport
2708,airplane,tvhopvyetv,tuh-hoh-puh-YEE-tuh,transport
26f5,boat,perro,PIH-roh,transport
1f6b2,bicycle,kvlesketv,kuh-LIS-kee-tuh,transport
1f69a,truck,awtomopel sohkv,aw-toh-MOH-pil SOHK-uh,transport
1fa9f,window,coko tvhopetv,CHOH-koh tuh-HOH-pee-tuh,home
1fa91,chair,ohliketv,oh-LEE-kee-tuh,home
1f4fa,television,vheckv,uh-HICH-kuh,objects
1f4bb,computer,eskerretv,is-KIHR-ee-tuh,objects
1f4f1,phone,estemerv,is-tee-MEE-ruh,objects
1f4f7,camera,vheckv eskerretv,uh-HICH-kuh is-KIHR-ee-tuh,objects
1f56f,candle,kvlvphe,kuh-LUH-pee,objects
2709,letter,nakcokv coyvte,nahk-CHOH-kuh choh-YUH-tee,objects
1f4b0,money,cvtokunawv,chuh-toh-koo-NAH-wuh,objects
1f4c4,paper,nakcokv hvtke,nahk-CHOH-kuh HUHT-kee,objects
1f5bc,picture,vhakv,uh-HAH-kuh,objects
1f453,glasses,renakv turwv,ree-NAH-kuh TUHR-wuh,clothing
1f455,shirt,yokofketv,yoh-KOHF-kee-tuh,clothing
1f456,pants,haknv,HAHK-nuh,clothing
1f457,dress,kapv,KAH-puh,clothing
1f45e,shoe,estelepikv,is-tee-lee-PEE-kuh,clothing
1f3a9,hat,kvpotokv,kuh-POH-toh-kuh,clothing
1f9e5,coat,kapv tvlvfe,KAH-puh tuh-LUH-fee,clothing
2602,umbrella,oske vnockv,OHS-kee uh-NOHCH-kuh,clothing
1f392,bag,sokca,SOHK-chah,clothing
1f48d,ring,vstepoke,uhs-TEE-poh-kee,clothing
1f454,tie,enoccetv,in-OHCH-chee-tuh,clothing
