emoji,english,translation,phonetic,category
1f476,baby,bebê,beh-BEH,people
1f466,boy,menino,meh-NEE-noo,people
1f467,girl,menina,meh-NEE-nah,people
1f468,man,homem,OH-meyn,people
1f469,woman,mulher,moo-LYEHR,people
1f9d1,person,pessoa,peh-SOH-ah,people
1f9d2,child,criança,kree-AHN-sah,people
1f46a,family,família,fah-MEE-lee-ah,people
270b,hand,mão,MAHW,body
1f4aa,arm,braço,BRAH-soo,body
1f9b5,leg,perna,PEHR-nah,body
1f9b6,foot,pé,PEH,body
1f442,ear,orelha,oh-REH-lyah,body
1f443,nose,nariz,nah-REES,body
1f440,eye,olho,OH-lyoo,body
1f444,mouth,boca,BOH-kah,body
1f445,tongue,língua,LEEN-gwah,body
1f9b7,tooth,dente,DEHN-chee,body
2764,heart,coração,koh-rah-SAHW,emotions
1f4a7,water,água,AH-gwah,nature
1f525,fire,fogo,FOH-goo,nature
2b50,star,estrela,eh-STREH-lah,nature
2600,sun,sol,SOHW,nature
1f319,moon,lua,LOO-ah,nature
1f30d,earth,terra,TEH-hah,nature
1f327,rain,chuva,SHOO-vah,nature
2744,snow,neve,NEH-vee,nature
1f436,dog,cachorro,kah-SHOH-hoo,animals
1f431,cat,gato,GAH-too,animals
1f42d,mouse,rato,HAH-too,animals
1f430,rabbit,coelho,koo-EH-lyoo,animals
1f43b,bear,urso,OOR-soo,animals
1f437,pig,porco,POHR-koo,animals
1f42e,cow,vaca,VAH-kah,animals
1f434,horse,cavalo,kah-VAH-loo,animals
1f411,sheep,ovelha,oh-VEH-lyah,animals
1f412,monkey,macaco,mah-KAH-koo,animals
1f418,elephant,elefante,eh-leh-FAHN-chee,animals
1f981,lion,leão,leh-AHW,animals
1f426,bird,pássaro,PAH-sah-roo,animals
1f414,chicken,galinha,gah-LEEN-yah,animals
1f420,fish,peixe,PAY-shee,animals
1f40d,snake,cobra,KOH-brah,animals
1f438,frog,sapo,SAH-poo,animals
1f41d,bee,abelha,ah-BEH-lyah,animals
1f41c,ant,formiga,fohr-MEE-gah,animals
1f332,tree,árvore,AHR-voh-ree,plants
1f33a,flower,flor,FLOHR,plants
1f33f,plant,planta,PLAHN-tah,plants
1f340,leaf,folha,FOH-lyah,plants
1f339,rose,rosa,HOH-zah,plants
1f34e,apple,maçã,mah-SAHW,fruit
1f34c,banana,banana,bah-NAH-nah,fruit
1f34a,orange,laranja,lah-RAHN-zhah,fruit
1f34b,lemon,limão,lee-MAHW,fruit
1f347,grape,uva,OO-vah,fruit
1f353,strawberry,morango,moh-RAHN-goo,fruit
1f345,tomato,tomate,toh-MAH-chee,vegetables
1f954,potato,batata,bah-TAH-tah,vegetables
1f955,carrot,cenoura,seh-NOH-rah,vegetables
1f33d,corn,milho,MEE-lyoo,vegetables
1f35e,bread,pão,PAHW,food
1f9c0,cheese,queijo,KAY-zhoo,food
1f95a,egg,ovo,OH-voo,food
1f95b,milk,leite,LAY-chee,drink
1f33e,rice,arroz,ah-HOHS,food
1f375,tea,chá,SHAH,drink
2615,coffee,café,kah-FEH,drink
1f3e0,house,casa,KAH-zah,places
1f6aa,door,porta,POHR-tah,home
1f6cf,bed,cama,KAH-mah,home
1f4a1,light,luz,LOOS,home
1f4d6,book,livro,LEE-vroo,objects
1f511,key,chave,SHAH-vee,objects
26bd,ball,bola,BOH-lah,objects
