emoji,english,translation,phonetic,category
1f410,goat,cabra,KAH-brah,animals
1f427,penguin,pinguim,peen-GWEEM,animals
1f988,shark,tubarão,too-bah-RAHW,animals
1f992,giraffe,girafa,zhee-RAH-fah,animals
1f993,zebra,zebra,ZEH-brah,animals
1f998,kangaroo,canguru,kahn-goo-ROO,animals
1f40c,snail,caracol,kah-rah-KOHW,animals
1f419,octopus,polvo,POHW-voo,animals
1f980,crab,caranguejo,kah-rahn-GAY-zhoo,animals
1f40a,crocodile,crocodilo,kroh-koh-JEE-loo,animals
1f98d,gorilla,gorila,goh-REE-lah,animals
1f984,unicorn,unicórnio,oo-nee-KOHR-nee-oo,animals
1f577,spider,aranha,ah-RAHN-yah,animals
1f46e,police,policial,poh-lee-see-AHW,people
1f934,prince,príncipe,PREEN-see-pee,people
1f478,princess,princesa,preen-SEH-zah,people
1f3c0,basketball,basquete,bah-SKEH-chee,entertainment
1f3be,tennis,tênis,TEH-nees,entertainment
26be,baseball,beisebol,BAY-zee-bohw,entertainment
1f94a,boxing,boxe,BOH-ksee,entertainment
1f354,hamburger,hambúrguer,ahm-BOOR-gehr,food
1f368,ice cream,sorvete,sohr-VEH-chee,food
1f36a,cookie,biscoito,bee-SKOY-too,food
1f373,cooking,cozinhando,koh-zeen-YAHN-doo,food
1f969,steak,bife,BEE-fee,food
1f9c4,garlic,alho,AH-lyoo,vegetables
1f965,coconut,coco,KOH-koo,fruit
1f336,pepper,pimenta,pee-MEHN-tah,vegetables
1f964,straw,canudo,kah-NOO-doo,drink
1f35a,bowl,tigela,chee-ZHEH-lah,food
1fa9e,mirror,espelho,eh-SPEH-lyoo,objects
1f451,crown,coroa,koh-ROH-ah,clothing
1f6d2,cart,carrinho,kah-HEEN-yoo,transport
26a1,lightning,relâmpago,heh-LAHM-pah-goo,nature
1f9e3,scarf,cachecol,kah-sheh-KOHW,clothing
1f9e4,gloves,luvas,LOO-vahs,clothing
1f9b4,bone,osso,OH-soo,body
1f388,balloon,balão,bah-LAHW,objects
1f386,fireworks,fogos,FOH-goos,tools
1f50b,battery,bateria,bah-teh-REE-ah,objects
1f9f9,broom,vassoura,vah-SOH-rah,objects
1f54a,dove,pomba,POHM-bah,animals
1f3a4,microphone,microfone,mee-kroh-FOH-nee,objects
23f0,alarm,alarme,ah-LAHR-mee,objects
1f333,forest,floresta,floh-REH-stah,places
1f3dc,desert,deserto,deh-ZEHR-too,places
1f309,bridge,ponte,POHN-chee,places
1f338,blossom,flor de cerejeira,FLOHR-jee-seh-reh-ZHAY-rah,nature
1f33b,sunflower,girassol,zhee-rah-SOHW,nature
1f343,autumn,outono,oh-TOH-noo,nature
1f335,cactus,cacto,KAH-too,nature
26d3,chain,corrente,koh-HEHN-chee,tools
1fa93,axe,machado,mah-SHAH-doo,tools
1f9fa,basket,cesta,SEH-stah,objects
1f6de,wheel,roda,HOH-dah,objects
1fab6,feather,pena,PEH-nah,nature
1faa1,needle,agulha,ah-GOO-lyah,objects
1f9f5,thread,linha,LEEN-yah,objects
1f9f2,magnet,ímã,ee-MAHW,objects
1f387,sparkler,vela-sparkler,VEH-lah-eh-SPAHR-klehr,tools
1f3aa,circus,circo,SEER-koo,entertainment
1f3f9,arrow,flecha,FLEH-shah,tools
1f550,hour,hora,OH-rah,time
1f7e5,red,vermelho,vehr-MEH-lyoo,colors
1f7e6,blue,azul,ah-ZOOW,colors
1f7e9,green,verde,VEHR-jee,colors
1f7e8,yellow,amarelo,ah-mah-REH-loo,colors
1f7ea,purple,roxo,HOH-shoo,colors
2b1b,black,preto,PREH-too,colors
2b1c,white,branco,BRAHN-koo,colors
1f9f1,wall,parede,pah-REH-jee,home
1f4de,telephone,telefone,teh-leh-FOH-nee,objects
1f4b3,card,cartão,kahr-TAHW,objects
1f4d3,notebook,caderno,kah-DEHR-noo,objects
1f3c6,trophy,troféu,troh-FEH-oo,objects
