emoji,english,translation,phonetic,category
1f9e0,brain,cérebro,SEH-reh-broo,body
1f48b,kiss,beijo,BAY-zhoo,body
1fa78,blood,sangue,SAHN-gee,body
2601,cloud,nuvem,NOO-veyn,nature
1f30a,sea,mar,MAHR,nature
1f32a,wind,vento,VEHN-too,nature
1f308,rainbow,arco-íris,AHR-koo-EE-rees,nature
1faa8,rock,pedra,PEH-drah,nature
1f9ca,ice,gelo,ZHEH-loo,nature
1f42f,tiger,tigre,CHEE-gree,animals
1f43a,wolf,lobo,LOH-boo,animals
1f98a,fox,raposa,hah-POH-zah,animals
1f98c,deer,cervo,SEHR-voo,animals
1f986,duck,pato,PAH-too,animals
1f985,eagle,águia,AH-gee-ah,animals
1f989,owl,coruja,koh-ROO-zhah,animals
1f422,turtle,tartaruga,tahr-tah-ROO-gah,animals
1f42c,dolphin,golfinho,gohw-FEEN-yoo,animals
1f433,whale,baleia,bah-LAY-ah,animals
1f98b,butterfly,borboleta,bohr-boh-LEH-tah,animals
1f344,mushroom,cogumelo,koh-goo-MEH-loo,plants
1f331,seed,semente,seh-MEHN-chee,nature
1fab5,wood,madeira,mah-DAY-rah,nature
1f350,pear,pera,PEH-rah,fruit
1f351,peach,pêssego,PEH-seh-goo,fruit
1f352,cherry,cereja,seh-REH-zhah,fruit
1f349,watermelon,melancia,meh-lahn-SEE-ah,fruit
1f9c5,onion,cebola,seh-BOH-lah,vegetables
1f356,meat,carne,KAHR-nee,food
1f355,pizza,pizza,PEE-tsah,food
1f35c,soup,sopa,SOH-pah,food
1f370,cake,bolo,BOH-loo,food
1f36b,chocolate,chocolate,shoh-koh-LAH-chee,food
1f36c,candy,doce,DOH-see,food
1f36f,honey,mel,MEHW,food
1f9c2,salt,sal,SAHW,food
1f37a,beer,cerveja,sehr-VEH-zhah,drink
1f377,wine,vinho,VEEN-yoo,drink
1f37c,bottle,garrafa,gah-HAH-fah,drink
1f378,glass,copo,KOH-poo,drink
1f9c3,juice,suco,SOO-koo,drink
1f3e2,building,prédio,PREH-dee-oo,places
1f3eb,school,escola,eh-SKOH-lah,places
1f3e5,hospital,hospital,ohs-pee-TAHW,places
1f3ea,store,loja,LOH-zhah,places
26ea,church,igreja,ee-GREH-zhah,places
1f697,car,carro,KAH-hoo,transport
1f68c,bus,ônibus,OH-nee-boos,transport
1f682,train,trem,TREYN,transport
2708,airplane,avião,ah-vee-AHW,transport
26f5,boat,barco,BAHR-koo,transport
1f6b2,bicycle,bicicleta,bee-see-KLEH-tah,transport
1f69a,truck,caminhão,kah-meen-YAHW,transport
1fa9f,window,janela,zhah-NEH-lah,home
1fa91,chair,cadeira,kah-DAY-rah,home
1f4fa,television,televisão,teh-leh-vee-ZAHW,objects
1f4bb,computer,computador,kohm-poo-tah-DOHR,objects
1f4f1,phone,celular,seh-loo-LAHR,objects
1f4f7,camera,câmera,KAH-meh-rah,objects
1f56f,candle,vela,VEH-lah,objects
2709,letter,carta,KAHR-tah,objects
1f4b0,money,dinheiro,jeen-YAY-roo,objects
1f4c4,paper,papel,pah-PEHW,objects
1f5bc,picture,quadro,KWAH-droo,objects
1f453,glasses,óculos,OH-koo-loos,clothing
1f455,shirt,camisa,kah-MEE-zah,clothing
1f456,pants,calça,KAHW-sah,clothing
1f457,dress,vestido,veh-STEE-doo,clothing
1f45e,shoe,sapato,sah-PAH-too,clothing
1f3a9,hat,chapéu,shah-PEH-oo,clothing
1f9e5,coat,casaco,kah-ZAH-koo,clothing
2602,umbrella,guarda-chuva,GWAHR-dah-SHOO-vah,clothing
1f392,bag,bolsa,BOHW-sah,clothing
1f48d,ring,anel,ah-NEHW,clothing
1f454,tie,gravata,grah-VAH-tah,clothing
