emoji,english,translation,phonetic,category
2b50,zero,zero,ZEH-roo,numbers
1f522,one,um,OOH,numbers
1f4dd,two,dois,DOY-ss,numbers
270f,three,tres,TRAY-ss,numbers
1f3af,four,quatro,KWAH-troo,numbers
1f4ca,five,cinco,SEEN-koo,numbers
1f4c8,six,seis,SAY-ss,numbers
2b50,seven,sete,SEH-chee,numbers
1f522,eight,oito,OY-too,numbers
1f4dd,nine,nove,NOH-vee,numbers
270f,ten,dez,DEH-ss,numbers
1f3af,eleven,onze,OHN-zee,numbers
1f4ca,twelve,doze,DOH-zee,numbers
1f4c8,thirteen,treze,TREH-zee,numbers
2b50,fourteen,catorze,kah-TOHR-zee,numbers
1f522,fifteen,quinze,KEEN-zee,numbers
1f4dd,sixteen,dezesseis,deh-zeh-SAY-ss,numbers
270f,seventeen,dezessete,deh-zeh-SEH-chee,numbers
1f3af,eighteen,dezoito,deh-ZOY-too,numbers
1f4ca,nineteen,dezenove,deh-zeh-NOH-vee,numbers
1f4c8,twenty,vinte,VEEN-chee,numbers
2b50,thirty,trinta,TREEN-tah,numbers
1f522,forty,quarenta,kwah-REHN-tah,numbers
1f4dd,fifty,cinquenta,seen-KWEHN-tah,numbers
270f,sixty,sessenta,seh-SEHN-tah,numbers
1f3af,seventy,setenta,seh-TEHN-tah,numbers
1f4ca,eighty,oitenta,oy-TEHN-tah,numbers
1f4c8,ninety,noventa,noh-VEHN-tah,numbers
1f4af,hundred,cem,SAYN,numbers
2b50,two hundred,duzentos,doo-ZEHN-tooss,numbers
1f522,five hundred,quinhentos,keen-YEN-tooss,numbers
1f4dd,thousand,mil,MEE-oo,numbers
1f947,first,primeiro,pree-MAY-roo,numbers
1f948,second,segundo,seh-GOON-doo,numbers
1f949,third,terceiro,tehr-SAY-roo,numbers
1f3c6,fourth,quarto,KWAHR-too,numbers
2b50,fifth,quinto,KEEN-too,numbers
1f522,sixth,sexto,SAYSH-too,numbers
1f4dd,seventh,setimo,SEH-chee-moo,numbers
270f,eighth,oitavo,oy-TAH-voo,numbers
1f3af,ninth,nono,NOH-noo,numbers
1f4ca,tenth,decimo,DEH-see-moo,numbers
1f4c8,pair,par,PAH-r,numbers
2b50,dozen,duzia,DOO-zee-ah,numbers
1f522,half,metade,meh-TAH-jee,numbers
1f4dd,quarter,quarto,KWAHR-too,numbers
270f,double,dobro,DOH-broo,numbers
1f3af,triple,triplo,TREE-ploo,numbers
1f4ca,million,milhao,mee-LYAHW,numbers
1f4c8,billion,bilhao,bee-LYAHW,numbers
270f,plus,mais,MAH-eess,numbers
1f3af,minus,menos,MEH-nooss,numbers
1f4ca,equals,igual,ee-GWAH-oo,numbers
1f4c8,percent,por cento,pohr SEHN-too,numbers
1f4b5,price,preco,PREH-soo,numbers
1f4b0,total,total,toh-TAH-oo,numbers
1f522,count,conta,KOHN-tah,numbers
1f4dd,number,numero,NOO-meh-roo,numbers
270f,amount,quantidade,kwahn-chee-DAH-jee,numbers
231a,hour,hora,OH-rah,numbers
23f0,minute,minuto,mee-NOO-too,numbers
1f4c5,second of time,segundo,seh-GOON-doo,numbers
2b50,once,uma vez,OO-mah VAY-ss,numbers
1f522,twice,duas vezes,DOO-ahss VEH-zeess,numbers
1f4dd,many,muitos,MOOY-tooss,numbers
270f,few,poucos,POH-kooss,numbers
1f3af,all,todos,TOH-dooss,numbers
1f4ca,none,nenhum,neh-NYOO,numbers
1f4c8,some,alguns,ah-oo-GOON-ss,numbers
2b50,every,cada,KAH-dah,numbers
1f522,both,ambos,AHM-booss,numbers
1f4dd,last,ultimo,OOH-chee-moo,numbers
1f3af,next,proximo,PROH-see-moo,numbers
1f4ca,only,apenas,ah-PEH-nahss,numbers
1f4c8,enough,suficiente,soo-fee-see-EHN-chee,numbers
