emoji,english,translation,phonetic,category
1f476,baby,bebê,beh-BEH,people
1f466,boy,menino,muh-NEE-noo,people
1f467,girl,menina,muh-NEE-nuh,people
1f468,man,homem,OH-meyn,people
1f469,woman,mulher,moo-LYEHR,people
1f9d1,person,pessoa,puh-SOH-uh,people
1f9d2,child,criança,kree-AHN-suh,people
1f46a,family,família,fuh-MEE-lee-uh,people
270b,hand,mão,MAHW,body
1f4aa,arm,braço,BRAH-soo,body
1f9b5,leg,perna,PEHR-nuh,body
1f9b6,foot,pé,PEH,body
1f442,ear,orelha,oh-REH-lyuh,body
1f443,nose,nariz,nuh-REESH,body
1f440,eye,olho,OH-lyoo,body
1f444,mouth,boca,BOH-kuh,body
1f445,tongue,língua,LEEN-gwuh,body
1f9b7,tooth,dente,DEHN-tuh,body
2764,heart,coração,koo-ruh-SAHW,emotions
1f4a7,water,água,AH-gwuh,nature
1f525,fire,fogo,FOH-goo,nature
2b50,star,estrela,esh-TREH-luh,nature
2600,sun,sol,SOHL,nature
1f319,moon,lua,LOO-uh,nature
1f30d,earth,terra,TEH-rruh,nature
1f327,rain,chuva,SHOO-vuh,nature
2744,snow,neve,NEH-vuh,nature
1f436,dog,cachorro,kuh-SHOH-rroo,animals
1f431,cat,gato,GAH-too,animals
1f42d,mouse,rato,RRAH-too,animals
1f430,rabbit,coelho,koo-EH-lyoo,animals
1f43b,bear,urso,OOR-soo,animals
1f437,pig,porco,POHR-koo,animals
1f42e,cow,vaca,VAH-kuh,animals
1f434,horse,cavalo,kuh-VAH-loo,animals
1f411,sheep,ovelha,oh-VEH-lyuh,animals
1f412,monkey,macaco,muh-KAH-koo,animals
1f418,elephant,elefante,eh-luh-FAHN-tuh,animals
1f981,lion,leão,leh-AHW,animals
1f426,bird,pássaro,PAH-suh-roo,animals
1f414,chicken,galinha,guh-LEEN-yuh,animals
1f420,fish,peixe,PAY-shuh,animals
1f40d,snake,cobra,KOH-bruh,animals
1f438,frog,sapo,SAH-poo,animals
1f41d,bee,abelha,uh-BEH-lyuh,animals
1f41c,ant,formiga,foor-MEE-guh,animals
1f332,tree,árvore,AHR-voo-ruh,plants
1f33a,flower,flor,FLOHR,plants
1f33f,plant,planta,PLAHN-tuh,plants
1f340,leaf,folha,FOH-lyuh,plants
1f339,rose,rosa,RROH-zuh,plants
1f34e,apple,maçã,muh-SAHW,fruit
1f34c,banana,banana,buh-NAH-nuh,fruit
1f34a,orange,laranja,luh-RAHN-zhuh,fruit
1f34b,lemon,limão,lee-MAHW,fruit
1f347,grape,uva,OO-vuh,fruit
1f353,strawberry,morango,moo-RAHN-goo,fruit
1f345,tomato,tomate,too-MAH-tuh,vegetables
1f954,potato,batata,buh-TAH-tuh,vegetables
1f955,carrot,cenoura,suh-NOH-ruh,vegetables
1f33d,corn,milho,MEE-lyoo,vegetables
1f35e,bread,pão,PAHW,food
1f9c0,cheese,queijo,KAY-zhoo,food
1f95a,egg,ovo,OH-voo,food
1f95b,milk,leite,LAY-tuh,drink
1f33e,rice,arroz,uh-RROHSH,food
1f375,tea,chá,SHAH,drink
2615,coffee,café,kuh-FEH,drink
1f3e0,house,casa,KAH-zuh,places
1f6aa,door,porta,POHR-tuh,home
1f6cf,bed,cama,KAH-muh,home
1f4a1,light,luz,LOOSH,home
1f4d6,book,livro,LEE-vroo,objects
1f511,key,chave,SHAH-vuh,objects
26bd,ball,bola,BOH-luh,objects
