emoji,english,translation,phonetic,category
1f410,goat,cabra,KAH-bruh,animals
1f427,penguin,pinguim,peen-GWEEM,animals
1f988,shark,tubarão,too-buh-RAHW,animals
1f992,giraffe,girafa,zhee-RAH-fuh,animals
1f993,zebra,zebra,ZEH-bruh,animals
1f998,kangaroo,canguru,kahn-goo-ROO,animals
1f40c,snail,caracol,kuh-ruh-KOHL,animals
1f419,octopus,polvo,POHL-voo,animals
1f980,crab,caranguejo,kuh-rahn-GAY-zhoo,animals
1f40a,crocodile,crocodilo,kroo-koo-DEE-loo,animals
1f98d,gorilla,gorila,goo-REE-luh,animals
1f984,unicorn,unicórnio,oo-nee-KOHR-nee-oo,animals
1f577,spider,aranha,uh-RAHN-yuh,animals
1f46e,police,policial,poo-lee-see-AHL,people
1f934,prince,príncipe,PREEN-see-puh,people
1f478,princess,princesa,preen-SEH-zuh,people
1f3c0,basketball,basquete,bahsh-KEH-tuh,entertainment
1f3be,tennis,tênis,TEH-neesh,entertainment
26be,baseball,beisebol,BAY-zee-bohl,entertainment
1f94a,boxing,boxe,BOH-ksuh,entertainment
1f354,hamburger,hambúrguer,ahm-BOOR-gehr,food
1f368,ice cream,sorvete,soor-VEH-tuh,food
1f36a,cookie,biscoito,beesh-KOY-too,food
1f373,cooking,cozinhando,koo-zeen-YAHN-doo,food
1f969,steak,bife,BEE-fuh,food
1f9c4,garlic,alho,AH-lyoo,vegetables
1f965,coconut,coco,KOH-koo,fruit
1f336,pepper,pimenta,pee-MEHN-tuh,vegetables
1f964,straw,canudo,kuh-NOO-doo,drink
1f35a,bowl,tigela,tee-ZHEH-luh,food
1fa9e,mirror,espelho,esh-PEH-lyoo,objects
1f451,crown,coroa,koo-ROH-uh,clothing
1f6d2,cart,carrinho,kuh-RREEN-yoo,transport
26a1,lightning,relâmpago,rruh-LAHM-puh-goo,nature
1f9e3,scarf,cachecol,kuh-shuh-KOHL,clothing
1f9e4,gloves,luvas,LOO-vush,clothing
1f9b4,bone,osso,OH-soo,body
1f388,balloon,balão,buh-LAHW,objects
1f386,fireworks,fogos,FOH-goosh,tools
1f50b,battery,bateria,buh-tuh-REE-uh,objects
1f9f9,broom,vassoura,vuh-SOH-ruh,objects
1f54a,dove,pomba,POHM-buh,animals
1f3a4,microphone,microfone,mee-kroo-FOH-nuh,objects
23f0,alarm,alarme,uh-LAHR-muh,objects
1f333,forest,floresta,floo-REHSH-tuh,places
1f3dc,desert,deserto,duh-ZEHR-too,places
1f309,bridge,ponte,POHN-tuh,places
1f338,blossom,flor de cerejeira,FLOHR-duh-suh-ruh-ZHAY-ruh,nature
1f33b,sunflower,girassol,zhee-ruh-SOHL,nature
1f343,autumn,outono,oh-TOH-noo,nature
1f335,cactus,cacto,KAH-too,nature
26d3,chain,corrente,koo-RREHN-tuh,tools
1fa93,axe,machado,muh-SHAH-doo,tools
1f9fa,basket,cesta,SEHSH-tuh,objects
1f6de,wheel,roda,RROH-duh,objects
1fab6,feather,pena,PEH-nuh,nature
1faa1,needle,agulha,uh-GOO-lyuh,objects
1f9f5,thread,linha,LEEN-yuh,objects
1f9f2,magnet,ímã,ee-MAHW,objects
1f387,sparkler,vela-sparkler,VEH-luh-esh-PAHR-klehr,tools
1f3aa,circus,circo,SEER-koo,entertainment
1f3f9,arrow,flecha,FLEH-shuh,tools
1f550,hour,hora,OH-ruh,time
1f7e5,red,vermelho,vehr-MEH-lyoo,colors
1f7e6,blue,azul,uh-ZOOL,colors
1f7e9,green,verde,VEHR-duh,colors
1f7e8,yellow,amarelo,uh-muh-REH-loo,colors
1f7ea,purple,roxo,RROH-shoo,colors
2b1b,black,preto,PREH-too,colors
2b1c,white,branco,BRAHN-koo,colors
1f9f1,wall,parede,puh-REH-duh,home
1f4de,telephone,telefone,tuh-luh-FOH-nuh,objects
1f4b3,card,cartão,kahr-TAHW,objects
1f4d3,notebook,caderno,kuh-DEHR-noo,objects
1f3c6,trophy,troféu,troo-FEH-oo,objects
