emoji,english,translation,phonetic,category
1f9e0,brain,cérebro,SEH-ruh-broo,body
1f48b,kiss,beijo,BAY-zhoo,body
1fa78,blood,sangue,SAHN-guh,body
2601,cloud,nuvem,NOO-veyn,nature
1f30a,sea,mar,MAHR,nature
1f32a,wind,vento,VEHN-too,nature
1f308,rainbow,arco-íris,AHR-koo-EE-reesh,nature
1faa8,rock,pedra,PEH-druh,nature
1f9ca,ice,gelo,ZHEH-loo,nature
1f42f,tiger,tigre,TEE-gruh,animals
1f43a,wolf,lobo,LOH-boo,animals
1f98a,fox,raposa,rruh-POH-zuh,animals
1f98c,deer,cervo,SEHR-voo,animals
1f986,duck,pato,PAH-too,animals
1f985,eagle,águia,AH-gee-uh,animals
1f989,owl,coruja,koo-ROO-zhuh,animals
1f422,turtle,tartaruga,tuhr-tuh-ROO-guh,animals
1f42c,dolphin,golfinho,gohl-FEEN-yoo,animals
1f433,whale,baleia,buh-LAY-uh,animals
1f98b,butterfly,borboleta,boor-boo-LEH-tuh,animals
1f344,mushroom,cogumelo,koo-goo-MEH-loo,plants
1f331,seed,semente,suh-MEHN-tuh,nature
1fab5,wood,madeira,muh-DAY-ruh,nature
1f350,pear,pera,PEH-ruh,fruit
1f351,peach,pêssego,PEH-suh-goo,fruit
1f352,cherry,cereja,suh-REH-zhuh,fruit
1f349,watermelon,melancia,muh-lahn-SEE-uh,fruit
1f9c5,onion,cebola,suh-BOH-luh,vegetables
1f356,meat,carne,KAHR-nuh,food
1f355,pizza,pizza,PEE-tsuh,food
1f35c,soup,sopa,SOH-puh,food
1f370,cake,bolo,BOH-loo,food
1f36b,chocolate,chocolate,shoo-koo-LAH-tuh,food
1f36c,candy,doce,DOH-suh,food
1f36f,honey,mel,MEHL,food
1f9c2,salt,sal,SAHL,food
1f37a,beer,cerveja,sehr-VEH-zhuh,drink
1f377,wine,vinho,VEEN-yoo,drink
1f37c,bottle,garrafa,guh-RRAH-fuh,drink
1f378,glass,copo,KOH-poo,drink
1f9c3,juice,suco,SOO-koo,drink
1f3e2,building,prédio,PREH-dee-oo,places
1f3eb,school,escola,esh-KOH-luh,places
1f3e5,hospital,hospital,ohsh-pee-TAHL,places
1f3ea,store,loja,LOH-zhuh,places
26ea,church,igreja,ee-GREH-zhuh,places
1f697,car,carro,KAH-rroo,transport
1f68c,bus,ônibus,OH-nee-boosh,transport
1f682,train,trem,TREYN,transport
2708,airplane,avião,uh-vee-AHW,transport
26f5,boat,barco,BAHR-koo,transport
1f6b2,bicycle,bicicleta,bee-see-KLEH-tuh,transport
1f69a,truck,caminhão,kuh-meen-YAHW,transport
1fa9f,window,janela,zhuh-NEH-luh,home
1fa91,chair,cadeira,kuh-DAY-ruh,home
1f4fa,television,televisão,tuh-luh-vee-ZAHW,objects
1f4bb,computer,computador,kohm-poo-tuh-DOHR,objects
1f4f1,phone,celular,suh-loo-LAHR,objects
1f4f7,camera,câmera,KAH-muh-ruh,objects
1f56f,candle,vela,VEH-luh,objects
2709,letter,carta,KAHR-tuh,objects
1f4b0,money,dinheiro,dee-NYAY-roo,objects
1f4c4,paper,papel,puh-PEHL,objects
1f5bc,picture,quadro,KWAH-droo,objects
1f453,glasses,óculos,OH-koo-loosh,clothing
1f455,shirt,camisa,kuh-MEE-zuh,clothing
1f456,pants,calça,KAHL-suh,clothing
1f457,dress,vestido,vuhsh-TEE-doo,clothing
1f45e,shoe,sapato,suh-PAH-too,clothing
1f3a9,hat,chapéu,shuh-PEH-oo,clothing
1f9e5,coat,casaco,kuh-ZAH-koo,clothing
2602,umbrella,guarda-chuva,GWAHR-duh-SHOO-vuh,clothing
1f392,bag,bolsa,BOHL-suh,clothing
1f48d,ring,anel,uh-NEHL,clothing
1f454,tie,gravata,gruh-VAH-tuh,clothing
