emoji,english,translation,phonetic,category
2b50,zero,zero,ZEH-roo,numbers
1f522,one,um,OON,numbers
1f4dd,two,dois,DOY-sh,numbers
270f,three,tres,TRAYSH,numbers
1f3af,four,quatro,KWAH-troo,numbers
1f4ca,five,cinco,SEEN-koo,numbers
1f4c8,six,seis,SAY-sh,numbers
2b50,seven,sete,SEH-tuh,numbers
1f522,eight,oito,OY-too,numbers
1f4dd,nine,nove,NOH-vuh,numbers
270f,ten,dez,DEHSH,numbers
1f3af,eleven,onze,OHN-zuh,numbers
1f4ca,twelve,doze,DOH-zuh,numbers
1f4c8,thirteen,treze,TREH-zuh,numbers
2b50,fourteen,catorze,kah-TOHR-zuh,numbers
1f522,fifteen,quinze,KEEN-zuh,numbers
1f4dd,sixteen,dezesseis,duh-zuh-SAY-sh,numbers
270f,seventeen,dezessete,duh-zuh-SEH-tuh,numbers
1f3af,eighteen,dezoito,duh-ZOY-too,numbers
1f4ca,nineteen,dezenove,duh-zuh-NOH-vuh,numbers
1f4c8,twenty,vinte,VEEN-tuh,numbers
2b50,thirty,trinta,TREEN-tah,numbers
1f522,forty,quarenta,kwah-REHN-tah,numbers
1f4dd,fifty,cinquenta,seen-KWEHN-tah,numbers
270f,sixty,sessenta,suh-SEHN-tah,numbers
1f3af,seventy,setenta,suh-TEHN-tah,numbers
1f4ca,eighty,oitenta,oy-TEHN-tah,numbers
1f4c8,ninety,noventa,noo-VEHN-tah,numbers
1f4af,hundred,cem,SAYN,numbers
2b50,two hundred,duzentos,doo-ZEHN-toosh,numbers
1f522,five hundred,quinhentos,keen-YEN-toosh,numbers
1f4dd,thousand,mil,MEEL,numbers
1f947,first,primeiro,pree-MAY-roo,numbers
1f948,second,segundo,suh-GOON-doo,numbers
1f949,third,terceiro,tuhr-SAY-roo,numbers
1f3c6,fourth,quarto,KWAHR-too,numbers
2b50,fifth,quinto,KEEN-too,numbers
1f522,sixth,sexto,SAYSH-too,numbers
1f4dd,seventh,setimo,SEH-tee-moo,numbers
270f,eighth,oitavo,oy-TAH-voo,numbers
1f3af,ninth,nono,NOH-noo,numbers
1f4ca,tenth,decimo,DEH-see-moo,numbers
1f4c8,pair,par,PAHR,numbers
2b50,dozen,duzia,doo-ZEE-ah,numbers
1f522,half,metade,muh-TAH-duh,numbers
1f4dd,quarter,quarto,KWAHR-too,numbers
270f,double,dobro,DOH-broo,numbers
1f3af,triple,triplo,TREE-ploo,numbers
1f4ca,million,milhao,mee-LYAHW,numbers
1f4c8,billion,bilhao,bee-LYAHW,numbers
270f,plus,mais,MAH-eesh,numbers
1f3af,minus,menos,MEH-noosh,numbers
1f4ca,equals,igual,ee-GWAHL,numbers
1f4c8,percent,por cento,poor SEHN-too,numbers
1f4b5,price,preco,PREH-soo,numbers
1f4b0,total,total,too-TAHL,numbers
1f522,count,conta,KOHN-tah,numbers
1f4dd,number,numero,NOO-muh-roo,numbers
270f,amount,quantidade,kwahn-tee-DAH-duh,numbers
231a,hour,hora,OH-rah,numbers
23f0,minute,minuto,mee-NOO-too,numbers
1f4c5,second of time,segundo,suh-GOON-doo,numbers
2b50,once,uma vez,OO-mah VEHSH,numbers
1f522,twice,duas vezes,DOO-ahsh VEH-zuhsh,numbers
1f4dd,many,muitos,MOOY-toosh,numbers
270f,few,poucos,POH-koosh,numbers
1f3af,all,todos,TOH-doosh,numbers
1f4ca,none,nenhum,nuh-NYOON,numbers
1f4c8,some,alguns,ahl-GOONSH,numbers
2b50,every,cada,KAH-dah,numbers
1f522,both,ambos,AHM-boosh,numbers
1f4dd,last,ultimo,OOL-tee-moo,numbers
1f3af,next,proximo,PROH-see-moo,numbers
1f4ca,only,apenas,ah-PEH-nahsh,numbers
1f4c8,enough,suficiente,soo-fee-see-EHN-tuh,numbers
