emoji,english,translation,phonetic,category
1f600,face,upalaj,oo-PAH-lahh,emotions
1f60a,happy,sahil,SAH-heel,emotions
1f622,sad,b'is,BEES,emotions
1f620,angry,yoob'il,yoh-BEEL,emotions
1f628,afraid,xib'rib'il,shee-bree-BEEL,emotions
1f634,tired,tyoox,TYOHSH,emotions
1f632,surprised,saak',SAHK,emotions
1f912,sick,yaj,YAHH,emotions
1f602,laugh,tze',TSEH,emotions
1f62d,cry,oq'ik,oh-KEEK,emotions
1f60d,love,rahil,RAH-heel,emotions
1f5e3,speak,aatinank,ah-tee-NAHNK,actions
1f4ad,think,naab'al,NAH-bahl,actions
1f3c3,running,aanimanq,ah-nee-MAHNK,actions
1f3ca,swimming,aq'ik,ah-KEEK,actions
1f6b6,walking,xik,SHEEK,actions
1f483,dancing,xajok,shah-HOHK,actions
270d,writing,tz'iib'ank,TSEEB-ahnk,actions
1f3a3,fishing,karkiil,kahr-KEEL,entertainment
26f7,skiing,sasik chiru seb',SAH-seek CHEE-roo SEHB,entertainment
1f3c4,surfing,sasik chiru ha',SAH-seek CHEE-roo HAH,entertainment
1f305,morning,saqewaal,sah-keh-WAHL,time
1f307,evening,q'equmaal,keh-koo-MAHL,time
1f303,night,aq'e,ah-KEH,time
1f382,birthday,q'iij ru ch'aal,KEEH ROO CHAHL,entertainment
1f389,party,nimq'e,neem-KEH,entertainment
1f381,gift,siib'il,SEE-beel,entertainment
1f3b5,music,b'ix,BEESH,entertainment
1f3b6,song,b'ix,BEESH,entertainment
1f3b9,piano,pianoo,pee-AH-noh,entertainment
1f3b8,guitar,gitaaraa,gee-TAH-rah,entertainment
1f941,drum,q'ojom,KOH-hohm,entertainment
1f3ac,movie,pelikula,peh-lee-KOO-lah,entertainment
1f3a8,art,tz'iib',TSEEB,entertainment
1f3b2,game,etz'aneem,eh-TSAH-nehm,entertainment
1f514,bell,kampanaa,kahm-PAH-nah,objects
1f3e8,hotel,otelh,oh-TEHL,places
1f3d9,city,tenamit,teh-nah-MEET,places
1f3d4,mountain,tzuul,TSOOL,places
1f3d6,beach,rub'el ha',roo-BEHL HAH,places
1f6e3,road,b'e,BEH,places
1f3e6,bank,bankoo,BAHN-koh,places
1f3f0,castle,nimalaj ochoch,nee-mah-LAHH oh-CHOHCH,places
1f3dd,island,islaa,ees-LAH,places
1f3de,park,k'aleb'aal,KAH-leh-bahl,places
1f695,taxi,taksii,tahk-SEE,transport
1f681,helicopter,elikoptero,eh-lee-kohp-TEH-roh,transport
1f680,rocket,koete,koh-EH-teh,transport
1f691,ambulance,ambulansyaa,ahm-boo-LAHN-syah,transport
1f3cd,motorcycle,motoo,MOH-toh,transport
1f6a2,ship,nimalaj chemaa',nee-mah-LAHH cheh-MAH,transport
1f4fb,radio,radyoo,RAHD-yoh,objects
1f4f0,newspaper,periodiko,peh-ree-OH-dee-koh,objects
1f4dd,note,tz'iib',TSEEB,objects
1f58a,pen,lapis,LAH-pees,objects
270f,pencil,lapis,LAH-pees,objects
2702,scissors,tijeera,tee-HEH-rah,objects
1f4c5,calendar,kalendaryo,kah-lehn-DAHR-yoh,objects
1f512,lock,chaab'il,CHAHB-eel,objects
1f528,hammer,martilyo,mahr-TEEL-yoh,tools
1f52a,knife,ch'iich',CHEECH,tools
1f374,fork,tenedoor,teh-neh-DOHR,tools
1f944,spoon,luuch,LOOCH,tools
1f37d,plate,plaatoo,PLAH-toh,tools
1f5fa,map,maapaa,MAH-pah,objects
1f4e6,box,kahoon,kah-HOHN,objects
1f4e8,mail,hu,HOO,objects
1f6c1,bath,ha'al,HAH-ahl,home
1f9fc,soap,hab'oon,hah-BOHN,objects
1fa99,coin,tumin,too-MEEN,objects
1f570,clock,reloh,reh-LOHH,objects
231a,watch,reloh,reh-LOHH,objects
1f3f3,flag,banderaa,bahn-DEH-rah,objects
2694,sword,espada,ehs-PAH-dah,tools
1f52b,gun,ak',AHK,tools
