emoji,english,translation,phonetic,category
1f476,baby,yal,YAHL,people
1f466,boy,xul li kok',SHOOL lee KOHK,people
1f467,girl,xul li ix,SHOOL lee EESH,people
1f468,man,winq,WEENK,people
1f469,woman,ixq,EESHK,people
1f9d1,person,kristyaan,krees-TYAHN,people
1f9d2,child,ko'kal,KOH-kahl,people
1f46a,family,a'an,AH-ahn,people
270b,hand,uq'ab',OO-kahb,body
1f4aa,arm,uk'ab',OO-kahb,body
1f9b5,leg,roq,ROHK,body
1f9b6,foot,roq,ROHK,body
1f442,ear,uxikin,oo-SHEE-keen,body
1f443,nose,utz'aam,OO-tzahm,body
1f440,eye,ub'eej,oo-BEHH,body
1f444,mouth,uchi',oo-CHEE,body
1f445,tongue,aaq',AHHK,body
1f9b7,tooth,uhe,oo-HEH,body
2764,heart,aanim,AH-neem,emotions
1f4a7,water,ha',HAH,nature
1f525,fire,q'aq',KAHK,nature
2b50,star,ch'umil,CHOO-meel,nature
2600,sun,saq'e,SAH-keh,nature
1f319,moon,po,POH,nature
1f30d,earth,ch'och',CHOHCH,nature
1f327,rain,hab',HAHB,nature
2744,snow,seb',SEHB,nature
1f436,dog,tz'i',TZEE,animals
1f431,cat,mis,MEES,animals
1f42d,mouse,ch'o,CHOH,animals
1f430,rabbit,imul,ee-MOOL,animals
1f43b,bear,oso,OH-soh,animals
1f437,pig,chitam,chee-TAHM,animals
1f42e,cow,wakax,wah-KAHSH,animals
1f434,horse,kawaay,kah-WAHY,animals
1f411,sheep,karneel,kar-NEHL,animals
1f412,monkey,b'aatz',BAHTZ,animals
1f418,elephant,elefante,eh-leh-FAHN-teh,animals
1f981,lion,kooj,KOHH,animals
1f426,bird,ch'iich',CHEECH,animals
1f414,chicken,ak'ach,ah-KAHCH,animals
1f420,fish,kar,KAHR,animals
1f40d,snake,kaan,KAHN,animals
1f438,frog,am,AHM,animals
1f41d,bee,kaab',KAHB,animals
1f41c,ant,sanik,SAH-neek,animals
1f332,tree,che',CHEH,plants
1f33a,flower,kotzij,koh-TSEEH,plants
1f33f,plant,k'iche',KEE-cheh,plants
1f340,leaf,uxaq,oo-SHAHK,plants
1f339,rose,kotzij,koh-TSEEH,plants
1f34e,apple,mansaan,mahn-SAHN,fruit
1f34c,banana,sek,SEHK,fruit
1f34a,orange,losh,LOHSH,fruit
1f34b,lemon,losh k'an,LOHSH KAHN,fruit
1f347,grape,uwaa,oo-WAH,fruit
1f353,strawberry,mansaan tzuul,mahn-SAHN TSOOL,fruit
1f345,tomato,pe'ch,PEHCH,vegetables
1f954,potato,is,EES,vegetables
1f955,carrot,sanahoryaa,sah-nah-HOR-yah,vegetables
1f33d,corn,ixim,ee-SHEEM,vegetables
1f35e,bread,kaxlan wa,kash-LAHN WAH,food
1f9c0,cheese,keeso,KEH-soh,food
1f95a,egg,ismal,ees-MAHL,food
1f95b,milk,le',LEH,drink
1f33e,rice,aroos,ah-ROHS,food
1f375,tea,ha' keq,HAH KEHK,drink
2615,coffee,kape,KAH-peh,drink
1f3e0,house,ochoch,oh-CHOHCH,places
1f6aa,door,uchi'ochoch,oo-CHEE-oh-chohch,home
1f6cf,bed,ch'aat,CHAHT,home
1f4a1,light,tuqtuuq,took-TOOK,home
1f4d6,book,hu,HOO,objects
1f511,key,laawe,LAH-weh,objects
26bd,ball,pelotaa,peh-LOH-tah,objects
