emoji,english,translation,phonetic,category
1f410,goat,kashtilaan keh,kahsh-tee-LAHN KEHH,animals
1f427,penguin,pinguiino,peen-GWEE-noh,animals
1f988,shark,tiburaon,tee-boo-RAHN,animals
1f992,giraffe,hirafa,hee-RAH-fah,animals
1f993,zebra,sebraa,SEH-brah,animals
1f998,kangaroo,kanguroo,kahn-GOO-roh,animals
1f40c,snail,xul,SHOOL,animals
1f419,octopus,pulpo,POOL-poh,animals
1f980,crab,ruuy,ROOY,animals
1f40a,crocodile,ayin,ah-YEEN,animals
1f98d,gorilla,gorilaa,goh-REE-lah,animals
1f984,unicorn,unikornyo,oo-nee-KOHR-nyoh,animals
1f577,spider,am,AHM,animals
1f46e,police,polisiya,poh-lee-SEE-yah,people
1f934,prince,reey,REHY,people
1f478,princess,reeynal,REH-ee-nahl,people
1f3c0,basketball,baskebol,bahs-keh-BOHL,entertainment
1f3be,tennis,tenis,TEH-nees,entertainment
26be,baseball,beisbol,BAYS-bohl,entertainment
1f94a,boxing,bokseo,bohk-SEH-oh,entertainment
1f354,hamburger,hamburgesaa,ahm-boor-GEH-sah,food
1f368,ice cream,elaado,eh-LAH-doh,food
1f36a,cookie,galeetaa,gah-LEH-tah,food
1f373,cooking,tzakank,tsah-KAHNK,food
1f969,steak,tib' chi tz'aqal,TEEB CHEE TSAH-kahl,food
1f9c4,garlic,aahos,AH-hohs,vegetables
1f965,coconut,kokoo,koh-KOH,fruit
1f336,pepper,ik,EEK,vegetables
1f964,straw,popote,poh-POH-teh,drink
1f35a,bowl,laak,LAHK,food
1fa9e,mirror,leem,LEHM,objects
1f451,crown,koronaa,koh-ROH-nah,clothing
1f6d2,cart,karretaa,kah-RREH-tah,transport
26a1,lightning,kaq iq',KAHK EEK,nature
1f9e3,scarf,bufandaa,boo-FAHN-dah,clothing
1f9e4,gloves,guantee,GWAHN-teh,clothing
1f9b4,bone,b'aq,BAHK,body
1f388,balloon,globoo,GLOH-boh,objects
1f386,fireworks,koetee,koh-EH-teh,tools
1f50b,battery,pilaa,PEE-lah,objects
1f9f9,broom,misb',MEESB,objects
1f54a,dove,paloomaa,pah-LOH-mah,animals
1f3a4,microphone,mikrofonoo,meek-roh-FOH-noh,objects
23f0,alarm,alarmaa,ah-LAHR-mah,objects
1f333,forest,k'iche',KEE-cheh,places
1f3dc,desert,chaqal ch'och',CHAH-kahl CHOHCH,places
1f309,bridge,kichaam,kee-CHAHM,places
1f338,blossom,kotzij,koh-TSEEH,nature
1f33b,sunflower,kotzij saq'e,koh-TSEEH SAH-keh,nature
1f343,autumn,xaq'ik,shah-KEEK,nature
1f335,cactus,ch'aam,CHAHM,nature
26d3,chain,kadenaa,kah-DEH-nah,tools
1fa93,axe,hachaa,hah-CHAH,tools
1f9fa,basket,chaach,CHAHCH,objects
1f6de,wheel,rueedaa,roo-EH-dah,objects
1fab6,feather,uxaq ch'iich',oo-SHAHK CHEECH,nature
1faa1,needle,puuq',POOK,objects
1f9f5,thread,hiilo,HEE-loh,objects
1f9f2,magnet,iman,ee-MAHN,objects
1f387,sparkler,sulsul,SOOL-sool,tools
1f3aa,circus,sirkoo,SEER-koh,entertainment
1f3f9,arrow,ch'amak,CHAH-mahk,tools
1f550,hour,horaa,OH-rah,time
1f7e5,red,kaq,KAHK,colors
1f7e6,blue,rax,RAHSH,colors
1f7e9,green,rax,RAHSH,colors
1f7e8,yellow,k'an,KAHN,colors
1f7ea,purple,lila,LEE-lah,colors
2b1b,black,q'eq,KEHK,colors
2b1c,white,saq,SAHK,colors
1f9f1,wall,paarey,PAH-rehy,home
1f4de,telephone,telefonoo,teh-leh-FOH-noh,objects
1f4b3,card,tarhetaa,tahr-HEH-tah,objects
1f4d3,notebook,kwaaderno,KWAH-dehr-noh,objects
1f3c6,trophy,trofeoo,troh-FEH-oh,objects
