emoji,english,translation,phonetic,category
1f9e0,brain,tz'uumal,TSOO-mahl,body
1f48b,kiss,tz'ub',TSOOB,body
1fa78,blood,kik',KEEK,body
2601,cloud,suumal,SOO-mahl,nature
1f30a,sea,nimalaj ha',nee-mah-LAHH HAH,nature
1f32a,wind,iq',EEK,nature
1f308,rainbow,releb'aal,reh-leh-BAHL,nature
1faa8,rock,chich,CHEECH,nature
1f9ca,ice,seb'laj ha',SEHB-lahh HAH,nature
1f42f,tiger,b'alam,BAH-lahm,animals
1f43a,wolf,lobo,LOH-boh,animals
1f98a,fox,xul,SHOOL,animals
1f98c,deer,kej,KEHH,animals
1f986,duck,paato,PAH-toh,animals
1f985,eagle,kot,KOHT,animals
1f989,owl,tukur,too-KOOR,animals
1f422,turtle,aak,AHK,animals
1f42c,dolphin,nimalaj kar,nee-mah-LAHH KAHR,animals
1f433,whale,nimalaj kar,nee-mah-LAHH KAHR,animals
1f98b,butterfly,pepeem,peh-PEHM,animals
1f344,mushroom,oq'ox,oh-KOHSH,plants
1f331,seed,iyaj,ee-YAHH,nature
1fab5,wood,si',SEE,nature
1f350,pear,peraa,peh-RAH,fruit
1f351,peach,durasno,doo-RAHS-noh,fruit
1f352,cherry,seresaa,seh-reh-SAH,fruit
1f349,watermelon,sandiiya,sahn-DEE-yah,fruit
1f9c5,onion,seboyaa,seh-BOH-yah,vegetables
1f356,meat,tib',TEEB,food
1f355,pizza,piitsaa,PEET-sah,food
1f35c,soup,kaldo,KAHL-doh,food
1f370,cake,pastel,pahs-TEHL,food
1f36b,chocolate,chokoolat,choh-KOH-laht,food
1f36c,candy,dulse,DOOL-seh,food
1f36f,honey,kab',KAHB,food
1f9c2,salt,atz'aam,ah-TSAHM,food
1f37a,beer,serwesa,sehr-WEH-sah,drink
1f377,wine,wiino,WEE-noh,drink
1f37c,bottle,limeta,lee-MEH-tah,drink
1f378,glass,waso,WAH-soh,drink
1f9c3,juice,ha' ru lo',HAH ROO LOH,drink
1f3e2,building,nimalaj ochoch,nee-mah-LAHH oh-CHOHCH,places
1f3eb,school,k'ulib'aal,KOO-lee-bahl,places
1f3e5,hospital,hospitaal,ohs-pee-TAHL,places
1f3ea,store,k'ayiil,KAH-yeel,places
26ea,church,much'b'il ha',MOOCH-beel HAH,places
1f697,car,karro,KAH-rroh,transport
1f68c,bus,kamyoon,kahm-YOHN,transport
1f682,train,tren,TREHN,transport
2708,airplane,awyon,ah-WYOHN,transport
26f5,boat,chemaa',cheh-MAH,transport
1f6b2,bicycle,bisikletaa,bee-see-KLEH-tah,transport
1f69a,truck,kamyoon,kahm-YOHN,transport
1fa9f,window,wentan,WEHN-tahn,home
1fa91,chair,xk'ub'aal,shkoo-BAHL,home
1f4fa,television,telewisyoon,teh-leh-wees-YOHN,objects
1f4bb,computer,komputadoor,kohm-poo-tah-DOHR,objects
1f4f1,phone,telefonoo,teh-leh-FOH-noh,objects
1f4f7,camera,kamaraa,kah-MAH-rah,objects
1f56f,candle,kandeel,kahn-DEHL,objects
2709,letter,hu,HOO,objects
1f4b0,money,tumin,too-MEEN,objects
1f4c4,paper,hu,HOO,objects
1f5bc,picture,retratoo,reh-TRAH-toh,objects
1f453,glasses,antewoh,ahn-teh-WOH,clothing
1f455,shirt,kamis,kah-MEES,clothing
1f456,pants,weex,WEHSH,clothing
1f457,dress,koortee,KOHR-teh,clothing
1f45e,shoe,xajab',shah-HAHB,clothing
1f3a9,hat,xanab'al,shah-nah-BAHL,clothing
1f9e5,coat,saako,SAH-koh,clothing
2602,umbrella,payb'aal hab',PAHY-bahl HAHB,clothing
1f392,bag,moraal,moh-RAHL,clothing
1f48d,ring,aniyoo,ah-nee-YOH,clothing
1f454,tie,korbata,kohr-BAH-tah,clothing
