emoji,english,translation,phonetic,category
1f410,goat,cabra,KAH-brah,animals
1f427,penguin,pingüino,peen-GWEE-noh,animals
1f988,shark,tiburón,tee-boo-ROHN,animals
1f992,giraffe,jirafa,hee-RAH-fah,animals
1f993,zebra,cebra,SEH-brah,animals
1f998,kangaroo,canguro,kahn-GOO-roh,animals
1f40c,snail,caracol,kah-rah-KOHL,animals
1f419,octopus,pulpo,POOL-poh,animals
1f980,crab,cangrejo,kahn-GREH-hoh,animals
1f40a,crocodile,cocodrilo,koh-koh-DREE-loh,animals
1f98d,gorilla,gorila,goh-REE-lah,animals
1f984,unicorn,unicornio,oo-nee-KOHR-nee-oh,animals
1f577,spider,araña,ah-RAH-nyah,animals
1f46e,police,policía,poh-lee-SEE-ah,people
1f934,prince,príncipe,PREEN-see-peh,people
1f478,princess,princesa,preen-SEH-sah,people
1f3c0,basketball,baloncesto,bah-lohn-SEHS-toh,entertainment
1f3be,tennis,tenis,TEH-nees,entertainment
26be,baseball,béisbol,BAYS-bohl,entertainment
1f94a,boxing,boxeo,bohk-SEH-oh,entertainment
1f354,hamburger,hamburguesa,ahm-boor-GEH-sah,food
1f368,ice cream,helado,eh-LAH-doh,food
1f36a,cookie,galleta,gah-YEH-tah,food
1f373,cooking,cocinar,koh-see-NAHR,food
1f969,steak,bistec,bees-TEHK,food
1f9c4,garlic,ajo,AH-hoh,vegetables
1f965,coconut,coco,KOH-koh,fruit
1f336,pepper,chile,CHEE-leh,vegetables
1f964,straw,popote,poh-POH-teh,drink
1f35a,bowl,tazón,tah-SOHN,food
1fa9e,mirror,espejo,ehs-PEH-hoh,objects
1f451,crown,corona,koh-ROH-nah,clothing
1f6d2,cart,carrito,kah-RREE-toh,transport
26a1,lightning,rayo,RAH-yoh,nature
1f9e3,scarf,bufanda,boo-FAHN-dah,clothing
1f9e4,gloves,guantes,GWAHN-tehs,clothing
1f9b4,bone,hueso,WEH-soh,body
1f388,balloon,globo,GLOH-boh,objects
1f386,fireworks,fuegos artificiales,FWEH-gohs ar-tee-fee-see-AH-lehs,tools
1f50b,battery,pila,PEE-lah,objects
1f9f9,broom,escoba,ehs-KOH-bah,objects
1f54a,dove,paloma,pah-LOH-mah,animals
1f3a4,microphone,micrófono,mee-KROH-foh-noh,objects
23f0,alarm,alarma,ah-LAHR-mah,objects
1f333,forest,bosque,BOHS-keh,places
1f3dc,desert,desierto,deh-see-EHR-toh,places
1f309,bridge,puente,PWEHN-teh,places
1f338,blossom,flor de cerezo,FLOHR deh seh-REH-soh,nature
1f33b,sunflower,girasol,hee-rah-SOHL,nature
1f343,autumn,otoño,oh-TOH-nyoh,nature
1f335,cactus,cactus,KAHK-toos,nature
26d3,chain,cadena,kah-DEH-nah,tools
1fa93,axe,hacha,AH-chah,tools
1f9fa,basket,canasta,kah-NAHS-tah,objects
1f6de,wheel,rueda,RWEH-dah,objects
1fab6,feather,pluma,PLOO-mah,nature
1faa1,needle,aguja,ah-GOO-hah,objects
1f9f5,thread,hilo,EE-loh,objects
1f9f2,magnet,imán,ee-MAHN,objects
1f387,sparkler,bengala,behn-GAH-lah,tools
1f3aa,circus,circo,SEER-koh,entertainment
1f3f9,arrow,flecha,FLEH-chah,tools
1f550,hour,hora,OH-rah,time
1f7e5,red,rojo,ROH-hoh,colors
1f7e6,blue,azul,ah-SOOL,colors
1f7e9,green,verde,BEHR-deh,colors
1f7e8,yellow,amarillo,ah-mah-REE-yoh,colors
1f7ea,purple,morado,moh-RAH-doh,colors
2b1b,black,negro,NEH-groh,colors
2b1c,white,blanco,BLAHN-koh,colors
1f9f1,wall,pared,pah-REHD,home
1f4de,telephone,teléfono,teh-LEH-foh-noh,objects
1f4b3,card,tarjeta,tahr-HEH-tah,objects
1f4d3,notebook,cuaderno,kwah-DEHR-noh,objects
1f3c6,trophy,trofeo,troh-FEH-oh,objects
