emoji,english,translation,phonetic,category
1f9e0,brain,cerebro,seh-REH-broh,body
1f48b,kiss,beso,BEH-soh,body
1fa78,blood,sangre,SAHN-greh,body
2601,cloud,nube,NOO-beh,nature
1f30a,sea,mar,mahr,nature
1f32a,wind,viento,bee-EHN-toh,nature
1f308,rainbow,arcoíris,ar-koh-EE-rees,nature
1faa8,rock,piedra,pee-EH-drah,nature
1f9ca,ice,hielo,YEH-loh,nature
1f42f,tiger,tigre,TEE-greh,animals
1f43a,wolf,lobo,LOH-boh,animals
1f98a,fox,zorro,SOH-rroh,animals
1f98c,deer,ciervo,see-EHR-boh,animals
1f986,duck,pato,PAH-toh,animals
1f985,eagle,águila,AH-gee-lah,animals
1f989,owl,búho,BOO-oh,animals
1f422,turtle,tortuga,tor-TOO-gah,animals
1f42c,dolphin,delfín,dehl-FEEN,animals
1f433,whale,ballena,bah-YEH-nah,animals
1f98b,butterfly,mariposa,mah-ree-POH-sah,animals
1f344,mushroom,hongo,OHN-goh,plants
1f331,seed,semilla,seh-MEE-yah,nature
1fab5,wood,madera,mah-DEH-rah,nature
1f350,pear,pera,PEH-rah,fruit
1f351,peach,melocotón,meh-loh-koh-TOHN,fruit
1f352,cherry,cereza,seh-REH-sah,fruit
1f349,watermelon,sandía,sahn-DEE-ah,fruit
1f9c5,onion,cebolla,seh-BOH-yah,vegetables
1f356,meat,carne,KAR-neh,food
1f355,pizza,pizza,PEE-tsah,food
1f35c,soup,sopa,SOH-pah,food
1f370,cake,pastel,pahs-TEHL,food
1f36b,chocolate,chocolate,choh-koh-LAH-teh,food
1f36c,candy,caramelo,kah-rah-MEH-loh,food
1f36f,honey,miel,mee-EHL,food
1f9c2,salt,sal,sahl,food
1f37a,beer,cerveza,sehr-BEH-sah,drink
1f377,wine,vino,BEE-noh,drink
1f37c,bottle,botella,boh-TEH-yah,drink
1f378,glass,vaso,BAH-soh,drink
1f9c3,juice,jugo,HOO-goh,drink
1f3e2,building,edificio,eh-dee-FEE-see-oh,places
1f3eb,school,escuela,ehs-KWEH-lah,places
1f3e5,hospital,hospital,ohs-pee-TAHL,places
1f3ea,store,tienda,tee-EHN-dah,places
26ea,church,iglesia,ee-GLEH-see-ah,places
1f697,car,carro,KAH-rroh,transport
1f68c,bus,autobús,ow-toh-BOOS,transport
1f682,train,tren,trehn,transport
2708,airplane,avión,ah-bee-OHN,transport
26f5,boat,barco,BAR-koh,transport
1f6b2,bicycle,bicicleta,bee-see-KLEH-tah,transport
1f69a,truck,camión,kah-mee-OHN,transport
1fa9f,window,ventana,behn-TAH-nah,home
1fa91,chair,silla,SEE-yah,home
1f4fa,television,televisión,teh-leh-bee-see-OHN,objects
1f4bb,computer,computadora,kohm-poo-tah-DOH-rah,objects
1f4f1,phone,teléfono,teh-LEH-foh-noh,objects
1f4f7,camera,cámara,KAH-mah-rah,objects
1f56f,candle,vela,BEH-lah,objects
2709,letter,carta,KAR-tah,objects
1f4b0,money,dinero,dee-NEH-roh,objects
1f4c4,paper,papel,pah-PEHL,objects
1f5bc,picture,cuadro,KWAH-droh,objects
1f453,glasses,gafas,GAH-fahs,clothing
1f455,shirt,camisa,kah-MEE-sah,clothing
1f456,pants,pantalón,pahn-tah-LOHN,clothing
1f457,dress,vestido,behs-TEE-doh,clothing
1f45e,shoe,zapato,sah-PAH-toh,clothing
1f3a9,hat,sombrero,sohm-BREH-roh,clothing
1f9e5,coat,abrigo,ah-BREE-goh,clothing
2602,umbrella,paraguas,pah-RAH-gwahs,clothing
1f392,bag,bolsa,BOHL-sah,clothing
1f48d,ring,anillo,ah-NEE-yoh,clothing
1f454,tie,corbata,kohr-BAH-tah,clothing
