emoji,english,translation,phonetic,category
2b50,zero,cero,SEH-roh,numbers
1f522,one,uno,OO-noh,numbers
1f4dd,two,dos,DOHS,numbers
270f,three,tres,TREHS,numbers
1f3af,four,cuatro,KWAH-troh,numbers
1f4ca,five,cinco,SEEN-koh,numbers
1f4c8,six,seis,SAYS,numbers
2b50,seven,siete,see-EH-teh,numbers
1f522,eight,ocho,OH-choh,numbers
1f4dd,nine,nueve,NWEH-beh,numbers
270f,ten,diez,dee-EHS,numbers
1f3af,eleven,once,OHN-seh,numbers
1f4ca,twelve,doce,DOH-seh,numbers
1f4c8,thirteen,trece,TREH-seh,numbers
2b50,fourteen,catorce,kah-TOHR-seh,numbers
1f522,fifteen,quince,KEEN-seh,numbers
1f4dd,sixteen,dieciséis,dee-eh-see-SAYS,numbers
270f,seventeen,diecisiete,dee-eh-see-see-EH-teh,numbers
1f3af,eighteen,dieciocho,dee-eh-see-OH-choh,numbers
1f4ca,nineteen,diecinueve,dee-eh-see-NWEH-beh,numbers
1f4c8,twenty,veinte,BAYN-teh,numbers
2b50,thirty,treinta,TRAYN-tah,numbers
1f522,forty,cuarenta,kwah-REHN-tah,numbers
1f4dd,fifty,cincuenta,seen-KWEHN-tah,numbers
270f,sixty,sesenta,seh-SEHN-tah,numbers
1f3af,seventy,setenta,seh-TEHN-tah,numbers
1f4ca,eighty,ochenta,oh-CHEHN-tah,numbers
1f4c8,ninety,noventa,noh-BEHN-tah,numbers
1f4af,hundred,cien,see-EHN,numbers
2b50,two hundred,doscientos,dohs-see-EHN-tohs,numbers
1f522,five hundred,quinientos,kee-nee-EHN-tohs,numbers
1f4dd,thousand,mil,MEEL,numbers
1f947,first,primero,pree-MEH-roh,numbers
1f948,second,segundo,seh-GOON-doh,numbers
1f949,third,tercero,tehr-SEH-roh,numbers
1f3c6,fourth,cuarto,KWAHR-toh,numbers
2b50,fifth,quinto,KEEN-toh,numbers
1f522,sixth,sexto,SEHKS-toh,numbers
1f4dd,seventh,séptimo,SEHP-tee-moh,numbers
270f,eighth,octavo,ohk-TAH-boh,numbers
1f3af,ninth,noveno,noh-BEH-noh,numbers
1f4ca,tenth,décimo,DEH-see-moh,numbers
1f4c8,pair,par,PAHR,numbers
2b50,dozen,docena,doh-SEH-nah,numbers
1f522,half,mitad,mee-TAHD,numbers
1f4dd,quarter,cuarto,KWAHR-toh,numbers
270f,double,doble,DOH-bleh,numbers
1f3af,triple,triple,TREE-pleh,numbers
1f4ca,million,millón,mee-YOHN,numbers
1f4c8,billion,mil millones,meel mee-YOH-nehs,numbers
270f,plus,más,MAHS,numbers
1f3af,minus,menos,MEH-nohs,numbers
1f4ca,equals,igual,ee-GWAHL,numbers
1f4c8,percent,por ciento,pohr see-EHN-toh,numbers
1f4b5,price,precio,PREH-see-oh,numbers
1f4b0,total,total,toh-TAHL,numbers
1f522,count,cuenta,KWEHN-tah,numbers
1f4dd,number,número,NOO-meh-roh,numbers
270f,amount,cantidad,kahn-tee-DAHD,numbers
231a,hour,hora,OH-rah,numbers
23f0,minute,minuto,mee-NOO-toh,numbers
1f4c5,second of time,segundo,seh-GOON-doh,numbers
2b50,once,una vez,OO-nah BEHS,numbers
1f522,twice,dos veces,DOHS BEH-sehs,numbers
1f4dd,many,muchos,MOO-chohs,numbers
270f,few,pocos,POH-kohs,numbers
1f3af,all,todos,TOH-dohs,numbers
1f4ca,none,ninguno,neen-GOO-noh,numbers
1f4c8,some,algunos,ahl-GOO-nohs,numbers
2b50,every,cada,KAH-dah,numbers
1f522,both,ambos,AHM-bohs,numbers
1f4dd,last,último,OOL-tee-moh,numbers
1f3af,next,siguiente,see-gee-EHN-teh,numbers
1f4ca,only,solo,SOH-loh,numbers
1f4c8,enough,suficiente,soo-fee-see-EHN-teh,numbers
