emoji,english,translation,phonetic,category
1f476,baby,sanggol,sahng-GOHL,people
1f466,boy,batang lalaki,bah-TAHNG lah-LAH-kee,people
1f467,girl,batang babae,bah-TAHNG bah-BAH-eh,people
1f468,man,lalaki,lah-LAH-kee,people
1f469,woman,babae,bah-BAH-eh,people
1f9d1,person,tao,TAH-oh,people
1f9d2,child,bata,bah-TAH,people
1f46a,family,pamilya,pah-MEEL-yah,people
270b,hand,kamay,kah-MAY,body
1f4aa,arm,braso,BRAH-soh,body
1f9b5,leg,binti,been-TEE,body
1f9b6,foot,paa,pah-AH,body
1f442,ear,tainga,tah-EE-ngah,body
1f443,nose,ilong,ee-LOHNG,body
1f440,eye,mata,mah-TAH,body
1f444,mouth,bibig,bee-BEEG,body
1f445,tongue,dila,dee-LAH,body
1f9b7,tooth,ngipin,ngee-PEEN,body
2764,heart,puso,poo-SOH,emotions
1f4a7,water,tubig,too-BEEG,nature
1f525,fire,apoy,ah-POY,nature
2b50,star,bituin,bee-too-EEN,nature
2600,sun,araw,AH-rahw,nature
1f319,moon,buwan,BOO-wahn,nature
1f30d,earth,lupa,loo-PAH,nature
1f327,rain,ulan,oo-LAHN,nature
2744,snow,niyebe,nee-YEH-beh,nature
1f436,dog,aso,AH-soh,animals
1f431,cat,pusa,poo-SAH,animals
1f42d,mouse,daga,dah-GAH,animals
1f430,rabbit,kuneho,koo-NEH-hoh,animals
1f43b,bear,oso,OH-soh,animals
1f437,pig,baboy,bah-BOY,animals
1f42e,cow,baka,bah-KAH,animals
1f434,horse,kabayo,kah-BAH-yoh,animals
1f411,sheep,tupa,too-PAH,animals
1f412,monkey,unggoy,oong-GOY,animals
1f418,elephant,elepante,eh-leh-PAHN-teh,animals
1f981,lion,leon,leh-OHN,animals
1f426,bird,ibon,ee-BOHN,animals
1f414,chicken,manok,mah-NOHK,animals
1f420,fish,isda,ees-DAH,animals
1f40d,snake,ahas,ah-HAHS,animals
1f438,frog,palaka,pah-lah-KAH,animals
1f41d,bee,bubuyog,boo-boo-YOHG,animals
1f41c,ant,langgam,lahng-GAHM,animals
1f332,tree,puno,poo-NOH,plants
1f33a,flower,bulaklak,boo-lahk-LAHK,plants
1f33f,plant,halaman,hah-lah-MAHN,plants
1f340,leaf,dahon,dah-HOHN,plants
1f339,rose,rosas,ROH-sahs,plants
1f34e,apple,mansanas,mahn-SAH-nahs,fruit
1f34c,banana,saging,sah-GEENG,fruit
1f34a,orange,dalandan,dah-lahn-DAHN,fruit
1f34b,lemon,limon,lee-MOHN,fruit
1f347,grape,ubas,OO-bahs,fruit
1f353,strawberry,presa,PREH-sah,fruit
1f345,tomato,kamatis,kah-mah-TEES,vegetables
1f954,potato,patatas,pah-TAH-tahs,vegetables
1f955,carrot,karot,kah-ROHT,vegetables
1f33d,corn,mais,mah-EES,vegetables
1f35e,bread,tinapay,tee-nah-PAY,food
1f9c0,cheese,keso,KEH-soh,food
1f95a,egg,itlog,eet-LOHG,food
1f95b,milk,gatas,gah-TAHS,drink
1f33e,rice,kanin,kah-NEEN,food
1f375,tea,tsaa,TSAH-ah,drink
2615,coffee,kape,kah-PEH,drink
1f3e0,house,bahay,bah-HAY,places
1f6aa,door,pinto,peen-TOH,home
1f6cf,bed,kama,kah-MAH,home
1f4a1,light,ilaw,ee-LAHW,home
1f4d6,book,aklat,ahk-LAHT,objects
1f511,key,susi,soo-SEE,objects
26bd,ball,bola,BOH-lah,objects
