emoji,english,translation,phonetic,category
1f410,goat,kambing,kahm-BEENG,animals
1f427,penguin,penguin,PEHNG-ween,animals
1f988,shark,pating,pah-TEENG,animals
1f992,giraffe,dyirap,DYEE-rahp,animals
1f993,zebra,sebra,SEH-brah,animals
1f998,kangaroo,kanggaru,kahng-GAH-roo,animals
1f40c,snail,kuhol,KOO-hohl,animals
1f419,octopus,pugita,poo-GEE-tah,animals
1f980,crab,alimango,ah-lee-MAHNG-oh,animals
1f40a,crocodile,buwaya,boo-WAH-yah,animals
1f98d,gorilla,gorila,goh-REE-lah,animals
1f984,unicorn,unikornyo,oo-nee-KOHR-nyoh,animals
1f577,spider,gagamba,gah-gahm-BAH,animals
1f46e,police,pulis,poo-LEES,people
1f934,prince,prinsipe,preen-SEE-peh,people
1f478,princess,prinsesa,preen-SEH-sah,people
1f3c0,basketball,basketbol,bahs-keht-BOHL,entertainment
1f3be,tennis,tenis,TEH-nees,entertainment
26be,baseball,beysbol,BEYS-bohl,entertainment
1f94a,boxing,boksing,BOHK-seeng,entertainment
1f354,hamburger,hamburger,HAHM-bur-gehr,food
1f368,ice cream,sorbetes,sohr-BEH-tehs,food
1f36a,cookie,biskwit,bees-KWEET,food
1f373,cooking,pagluluto,pahg-loo-LOO-toh,food
1f969,steak,bistek,bees-TEHK,food
1f9c4,garlic,bawang,BAH-wahng,vegetables
1f965,coconut,niyog,nee-YOHG,fruit
1f336,pepper,sili,SEE-lee,vegetables
1f964,straw,straw,STRAW,drink
1f35a,bowl,mangkok,mahng-KOHK,food
1fa9e,mirror,salamin,sah-lah-MEEN,objects
1f451,crown,korona,koh-ROH-nah,clothing
1f6d2,cart,kariton,kah-ree-TOHN,transport
26a1,lightning,kidlat,keed-LAHT,nature
1f9e3,scarf,balabal,bah-lah-BAHL,clothing
1f9e4,gloves,gwantes,GWAHN-tehs,clothing
1f9b4,bone,buto,BOO-toh,body
1f388,balloon,lobo,LOH-boh,objects
1f386,fireworks,paputok,pah-poo-TOHK,tools
1f50b,battery,baterya,bah-TEHR-yah,objects
1f9f9,broom,walis,WAH-lees,objects
1f54a,dove,kalapati,kah-lah-PAH-tee,animals
1f3a4,microphone,mikropono,meek-roh-POH-noh,objects
23f0,alarm,alarma,ah-LAHR-mah,objects
1f333,forest,gubat,goo-BAHT,places
1f3dc,desert,disyerto,dees-YEHR-toh,places
1f309,bridge,tulay,too-LAY,places
1f338,blossom,bulaklak ng seresa,boo-lahk-LAHK nahng seh-REH-sah,nature
1f33b,sunflower,mirasol,mee-rah-SOHL,nature
1f343,autumn,taglagas,tahg-LAH-gahs,nature
1f335,cactus,kaktus,KAHK-toos,nature
26d3,chain,kadena,kah-DEH-nah,tools
1fa93,axe,palakol,pah-lah-KOHL,tools
1f9fa,basket,basket,BAHS-keht,objects
1f6de,wheel,gulong,goo-LOHNG,objects
1fab6,feather,balahibo,bah-lah-HEE-boh,nature
1faa1,needle,karayom,kah-RAH-yohm,objects
1f9f5,thread,sinulid,see-noo-LEED,objects
1f9f2,magnet,batubalani,bah-too-bah-LAH-nee,objects
1f387,sparkler,lusis,loo-SEES,tools
1f3aa,circus,sirko,SEER-koh,entertainment
1f3f9,arrow,palaso,pah-LAH-soh,tools
1f550,hour,oras,OH-rahs,time
1f7e5,red,pula,poo-LAH,colors
1f7e6,blue,asul,ah-SOOL,colors
1f7e9,green,berde,BEHR-deh,colors
1f7e8,yellow,dilaw,dee-LAHW,colors
1f7ea,purple,lila,LEE-lah,colors
2b1b,black,itim,ee-TEEM,colors
2b1c,white,puti,poo-TEE,colors
1f9f1,wall,pader,pah-DEHR,home
1f4de,telephone,telepono,teh-leh-POH-noh,objects
1f4b3,card,kard,KAHRD,objects
1f4d3,notebook,kuwaderno,koo-wah-DEHR-noh,objects
1f3c6,trophy,tropeo,troh-PEH-oh,objects
