emoji,english,translation,phonetic,category
1f9e0,brain,utak,oo-TAHK,body
1f48b,kiss,halik,hah-LEEK,body
1fa78,blood,dugo,doo-GOH,body
2601,cloud,ulap,oo-LAHP,nature
1f30a,sea,dagat,dah-GAHT,nature
1f32a,wind,hangin,hah-NGEEN,nature
1f308,rainbow,bahaghari,bah-hahg-HAH-ree,nature
1faa8,rock,bato,bah-TOH,nature
1f9ca,ice,yelo,YEH-loh,nature
1f42f,tiger,tigre,TEEG-reh,animals
1f43a,wolf,lobo,LOH-boh,animals
1f98a,fox,soro,SOH-roh,animals
1f98c,deer,usa,oo-SAH,animals
1f986,duck,pato,PAH-toh,animals
1f985,eagle,agila,ah-GEE-lah,animals
1f989,owl,kuwago,koo-WAH-goh,animals
1f422,turtle,pagong,pah-GOHNG,animals
1f42c,dolphin,dolpin,dohl-PEEN,animals
1f433,whale,balyena,bahl-YEH-nah,animals
1f98b,butterfly,paruparo,pah-roo-PAH-roh,animals
1f344,mushroom,kabute,kah-BOO-teh,plants
1f331,seed,binhi,BEEN-hee,nature
1fab5,wood,kahoy,kah-HOY,nature
1f350,pear,peras,PEH-rahs,fruit
1f351,peach,melokoton,meh-loh-koh-TOHN,fruit
1f352,cherry,seresa,seh-REH-sah,fruit
1f349,watermelon,pakwan,pahk-WAHN,fruit
1f9c5,onion,sibuyas,see-BOO-yahs,vegetables
1f356,meat,karne,KAHR-neh,food
1f355,pizza,pitsa,PEET-sah,food
1f35c,soup,sabaw,sah-BAHW,food
1f370,cake,keyk,KEYK,food
1f36b,chocolate,tsokolate,tsoh-koh-LAH-teh,food
1f36c,candy,kendi,KEHN-dee,food
1f36f,honey,pulot,poo-LOHT,food
1f9c2,salt,asin,ah-SEEN,food
1f37a,beer,serbesa,sehr-BEH-sah,drink
1f377,wine,alak,AH-lahk,drink
1f37c,bottle,bote,BOH-teh,drink
1f378,glass,baso,BAH-soh,drink
1f9c3,juice,katas,kah-TAHS,drink
1f3e2,building,gusali,goo-SAH-lee,places
1f3eb,school,paaralan,pah-ah-RAH-lahn,places
1f3e5,hospital,ospital,ohs-pee-TAHL,places
1f3ea,store,tindahan,teen-DAH-hahn,places
26ea,church,simbahan,seem-BAH-hahn,places
1f697,car,kotse,KOHT-seh,transport
1f68c,bus,bus,BAHS,transport
1f682,train,tren,TREHN,transport
2708,airplane,eroplano,eh-roh-PLAH-noh,transport
26f5,boat,bangka,BAHNG-kah,transport
1f6b2,bicycle,bisikleta,bee-seek-LEH-tah,transport
1f69a,truck,trak,TRAHK,transport
1fa9f,window,bintana,been-TAH-nah,home
1fa91,chair,silya,SEEL-yah,home
1f4fa,television,telebisyon,teh-leh-bees-YOHN,objects
1f4bb,computer,kompyuter,kohm-PYOO-tehr,objects
1f4f1,phone,telepono,teh-leh-POH-noh,objects
1f4f7,camera,kamera,kah-MEH-rah,objects
1f56f,candle,kandila,kahn-DEE-lah,objects
2709,letter,liham,lee-HAHM,objects
1f4b0,money,pera,PEH-rah,objects
1f4c4,paper,papel,pah-PEHL,objects
1f5bc,picture,larawan,lah-RAH-wahn,objects
1f453,glasses,salamin,sah-lah-MEEN,clothing
1f455,shirt,kamiseta,kah-mee-SEH-tah,clothing
1f456,pants,pantalon,pahn-tah-LOHN,clothing
1f457,dress,bestida,behs-TEE-dah,clothing
1f45e,shoe,sapatos,sah-PAH-tohs,clothing
1f3a9,hat,sombrero,sohm-BREH-roh,clothing
1f9e5,coat,dyaket,DYAH-keht,clothing
2602,umbrella,payong,PAH-yohng,clothing
1f392,bag,bag,BAHG,clothing
1f48d,ring,singsing,seeng-SEENG,clothing
1f454,tie,kurbata,koor-BAH-tah,clothing
