emoji,english,translation,phonetic,category
2b50,zero,sero,SEH-roh,numbers
1f522,one,isa,ee-SAH,numbers
1f4dd,two,dalawa,dah-lah-WAH,numbers
270f,three,tatlo,taht-LOH,numbers
1f3af,four,apat,ah-PAHT,numbers
1f4ca,five,lima,lee-MAH,numbers
1f4c8,six,anim,ah-NEEM,numbers
2b50,seven,pito,pee-TOH,numbers
1f522,eight,walo,wah-LOH,numbers
1f4dd,nine,siyam,see-YAHM,numbers
270f,ten,sampu,sahm-POO,numbers
1f3af,eleven,labing-isa,lah-beeng ee-SAH,numbers
1f4ca,twelve,labindalawa,lah-been-dah-lah-WAH,numbers
1f4c8,thirteen,labintatlo,lah-been-taht-LOH,numbers
2b50,fourteen,labing-apat,lah-beeng ah-PAHT,numbers
1f522,fifteen,labinlima,lah-been-lee-MAH,numbers
1f4dd,sixteen,labing-anim,lah-beeng ah-NEEM,numbers
270f,seventeen,labimpito,lah-beem-pee-TOH,numbers
1f3af,eighteen,labingwalo,lah-beeng-wah-LOH,numbers
1f4ca,nineteen,labinsiyam,lah-been-see-YAHM,numbers
1f4c8,twenty,dalawampu,dah-lah-wahm-POO,numbers
2b50,thirty,tatlumpu,taht-loom-POO,numbers
1f522,forty,apatnapu,ah-paht-nah-POO,numbers
1f4dd,fifty,limampu,lee-mahm-POO,numbers
270f,sixty,animnapu,ah-neem-nah-POO,numbers
1f3af,seventy,pitumpu,pee-toom-POO,numbers
1f4ca,eighty,walumpu,wah-loom-POO,numbers
1f4c8,ninety,siyamnapu,see-yahm-nah-POO,numbers
1f4af,hundred,isang daan,ee-SAHNG dah-AHN,numbers
2b50,two hundred,dalawang daan,dah-lah-WAHNG dah-AHN,numbers
1f522,five hundred,limang daan,lee-MAHNG dah-AHN,numbers
1f4dd,thousand,isang libo,ee-SAHNG LEE-boh,numbers
1f947,first,una,OO-nah,numbers
1f948,second,ikalawa,ee-kah-lah-WAH,numbers
1f949,third,ikatlo,ee-kaht-LOH,numbers
1f3c6,fourth,ika-apat,ee-kah-ah-PAHT,numbers
2b50,fifth,ikalima,ee-kah-lee-MAH,numbers
1f522,sixth,ika-anim,ee-kah-ah-NEEM,numbers
1f4dd,seventh,ikapito,ee-kah-pee-TOH,numbers
270f,eighth,ikawalo,ee-kah-wah-LOH,numbers
1f3af,ninth,ikasiyam,ee-kah-see-YAHM,numbers
1f4ca,tenth,ikasampu,ee-kah-sahm-POO,numbers
1f4c8,pair,pares,PAH-rehs,numbers
2b50,dozen,dosena,doh-SEH-nah,numbers
1f522,half,kalahati,kah-lah-HAH-tee,numbers
1f4dd,quarter,kapat,kah-PAHT,numbers
270f,double,doble,DOH-bleh,numbers
1f3af,triple,triple,TREE-pleh,numbers
1f4ca,million,milyon,meel-YOHN,numbers
1f4c8,billion,bilyon,beel-YOHN,numbers
270f,plus,dagdag,dahg-DAHG,numbers
1f3af,minus,bawas,BAH-wahs,numbers
1f4ca,equals,katumbas,kah-toom-BAHS,numbers
1f4c8,percent,porsyento,pohr-SYEHN-toh,numbers
1f4b5,price,presyo,PREHS-yoh,numbers
1f4b0,total,kabuuan,kah-boo-AH-ahn,numbers
1f522,count,bilang,BEE-lahng,numbers
1f4dd,number,numero,NOO-meh-roh,numbers
270f,amount,halaga,hah-lah-GAH,numbers
231a,hour,oras,OH-rahs,numbers
23f0,minute,minuto,mee-NOO-toh,numbers
1f4c5,second of time,segundo,seh-GOON-doh,numbers
2b50,once,isang beses,ee-SAHNG BEH-sehs,numbers
1f522,twice,dalawang beses,dah-lah-WAHNG BEH-sehs,numbers
1f4dd,many,marami,mah-RAH-mee,numbers
270f,few,kaunti,kah-OON-tee,numbers
1f3af,all,lahat,lah-HAHT,numbers
1f4ca,none,wala,wah-LAH,numbers
1f4c8,some,ilan,ee-LAHN,numbers
2b50,every,bawat,BAH-waht,numbers
1f522,both,pareho,pah-REH-hoh,numbers
1f4dd,last,huli,hoo-LEE,numbers
1f3af,next,susunod,soo-soo-NOHD,numbers
1f4ca,only,lamang,lah-MAHNG,numbers
1f4c8,enough,sapat,sah-PAHT,numbers
