emoji,english,translation,phonetic,category
1f476,baby,ᎤᏍᏗ ᎠᏰᏟ,OOS-dee ah-YAY-tslee,people
1f466,boy,ᎠᏧᏣ,ah-CHOO-tsah,people
1f467,girl,ᎠᎨᏯ,ah-GAY-yah,people
1f468,man,ᎠᏍᎦᏯ,ah-SGAH-yah,people
1f469,woman,ᎠᎨᏴ,ah-GAY-yuh,people
1f9d1,person,ᏴᏫ,yuh-wee,people
1f9d2,child,ᎠᏰᏟ,ah-YAY-tslee,people
1f46a,family,ᏏᏓᏁᎸ,see-dah-NAY-luh,people
270b,hand,ᎤᏰᏙᏗ,oo-YAY-doh-dee,body
1f4aa,arm,ᎦᏃ,gah-NO,body
1f9b5,leg,ᎦᎳᏍᎩ,gah-LAHS-gee,body
1f9b6,foot,ᎤᎳᏍᎦ,oo-LAHS-gah,body
1f442,ear,ᎦᎸᏅ,gah-LUH-nuh,body
1f443,nose,ᎦᏴᏌᏓ,gah-YUH-sah-dah,body
1f440,eye,ᎠᎦᏘ,ah-gah-TEE,body
1f444,mouth,ᎠᎰᎵ,ah-HAH-lee,body
1f445,tongue,ᎦᏅᎩ,gah-NUH-gee,body
1f9b7,tooth,ᎦᏅᏓ,gah-NUH-dah,body
2764,heart,ᎤᎾᏓᏅᏘ,oo-nah-DAH-nuh-tee,emotions
1f4a7,water,ᎠᎹ,ah-MAH,nature
1f525,fire,ᎠᏥᎳ,ah-TSEE-lah,nature
2b50,star,ᏃᏈᏍᎩ,noh-KWEE-sgee,nature
2600,sun,ᏅᏓ,nuh-DAH,nature
1f319,moon,ᏅᏓ ᏒᏃᏱ,nuh-DAH suh-NOH-yee,nature
1f30d,earth,ᎡᎶᎯ,ay-LOH-hee,nature
1f327,rain,ᎠᎦᏍᎬ,ah-gah-SGUH,nature
2744,snow,ᎤᏄᏘ,oo-NAH-tee,nature
1f436,dog,ᎩᏟ,GEE-tslee,animals
1f431,cat,ᏪᏌ,WAY-sah,animals
1f42d,mouse,ᏥᏍᏚ,TSEES-doo,animals
1f430,rabbit,ᏥᏍᏚ ᎤᏔᎾ,TSEES-doo oo-TAH-nah,animals
1f43b,bear,ᏲᎾ,YOH-nah,animals
1f437,pig,ᏏᏆ,see-KWAH,animals
1f42e,cow,ᏩᎦ,WAH-gah,animals
1f434,horse,ᏐᎦᏟ,SOH-gwah-lee,animals
1f411,sheep,ᎤᏅᏗ ᎠᏫ,oo-NAH-dee ah-WEE,animals
1f412,monkey,ᎤᏪᎭ ᏥᏍᏚ,oo-WAY-hah TSEES-doo,animals
1f418,elephant,ᎧᎹᎹ,kah-MAH-mah,animals
1f981,lion,ᏢᏓᏏ,tluh-DAH-see,animals
1f426,bird,ᏥᏍᏆ,TSEES-kwah,animals
1f414,chicken,ᏣᏔᎦ,tsah-TAH-gah,animals
1f420,fish,ᎠᏣᏗ,ah-TSAH-dee,animals
1f40d,snake,ᎢᎾᏓ,ee-NAH-dah,animals
1f438,frog,ᏩᎵᎦ,wah-LEE-gah,animals
1f41d,bee,ᏩᏚᎵᏏ,wah-DOO-lee-see,animals
1f41c,ant,ᏙᏍᎨᎵ,doh-SGAY-lee,animals
1f332,tree,ᏡᏙ,tluh-DOH,plants
1f33a,flower,ᎤᏥᎸᏍ,oo-tsee-LUHS,plants
1f33f,plant,ᎢᏤᏱ,ee-TSAY-yee,plants
1f340,leaf,ᎤᎦ,oo-GAH,plants
1f339,rose,ᎤᏥᎸᏍ ᎩᎦᎨ,oo-tsee-LUHS gee-GAH-gay,plants
1f34e,apple,ᏒᎦᏝ,suh-GAH-tlah,fruit
1f34c,banana,ᏆᎾᎾ,kwah-NAH-nah,fruit
1f34a,orange,ᎠᎵᏍᎪᎢ,ah-lees-GOH-ee,fruit
1f34b,lemon,ᎠᎵᏍᎪᎢ ᎤᏛᏅ,ah-lees-GOH-ee oo-DAHN-uh,fruit
1f347,grape,ᎡᎳᏬᏗ,ay-lah-WOH-dee,fruit
1f353,strawberry,ᎠᏂ,ah-NEE,fruit
1f345,tomato,ᏣᎹᏟ,tsah-MAH-tslee,vegetables
1f954,potato,ᏅᎾ,nuh-NAH,vegetables
1f955,carrot,ᏓᎶᎾᎨ,dah-LOH-nah-gay,vegetables
1f33d,corn,ᏎᎷ,SAY-loo,vegetables
1f35e,bread,ᎦᏚ,gah-DOO,food
1f9c0,cheese,ᎤᎾᏍᏓ ᎤᏅᏗ,oo-NAHS-dah oo-NAH-dee,food
1f95a,egg,ᎤᏪᏥ,oo-WAY-tsee,food
1f95b,milk,ᎤᏅᏗ,oo-NAH-dee,drink
1f33e,rice,ᎠᎵᏏ,ah-LEE-see,food
1f375,tea,ᎤᎦᎹ ᏗᎦᎵᏍᏙᏗ,oo-gah-MAH dee-gah-lees-DOH-dee,drink
2615,coffee,ᎧᏫ,kah-WEE,drink
1f3e0,house,ᎦᏁᎸ,gah-NAY-luh,places
1f6aa,door,ᎠᏍᏚᏛ,ah-SDOO-duh,home
1f6cf,bed,ᎦᏂᏟ,gah-NEE-tslee,home
1f4a1,light,ᎤᏍᏓᎵ,oo-SDAH-lee,home
1f4d6,book,ᎪᏪᎵ,goh-WAY-lee,objects
1f511,key,ᏗᏯᏍᏚᏛ,dee-yah-SDOO-duh,objects
26bd,ball,ᏍᏆᎳᎦ,SKWAH-lah-gah,objects
