emoji,english,translation,phonetic,category
1f410,goat,ugisv awi,oo-GEE-suh ah-WEE,animals
1f427,penguin,kwinvwa,KWEE-nuh-wah,animals
1f988,shark,utana atsadi,oo-TAH-nah ah-TSAH-dee,animals
1f992,giraffe,usdoni utana,oos-DOH-nee oo-TAH-nah,animals
1f993,zebra,sogwali ulisdalv,SOH-gwah-lee oo-lees-DAH-luh,animals
1f998,kangaroo,kanigulu,kah-nee-GOO-loo,animals
1f40c,snail,uiyo usdi,oo-ee-YOH oos-DEE,animals
1f419,octopus,tsunela atsadi,tsoo-NAY-lah ah-TSAH-dee,animals
1f980,crab,tsuga,TSOO-gah,animals
1f40a,crocodile,tsulasgi,tsoo-LAHS-gee,animals
1f98d,gorilla,utana tsisdu,oo-TAH-nah TSEES-doo,animals
1f984,unicorn,sukwalaga sogwali,soo-KWAH-lah-gah SOH-gwah-lee,animals
1f577,spider,kananesgi,kah-nah-NAY-sgee,animals
1f46e,police,didanilvgi,dee-dah-nee-LUH-gee,people
1f934,prince,usdi ugi,oos-DEE oo-GEE,people
1f478,princess,usdi ageyah ugi,oos-DEE ah-GAY-yah oo-GEE,people
1f3c0,basketball,anaskwalaga,ah-nah-SKWAH-lah-gah,entertainment
1f3be,tennis,tenisi,TAY-nee-see,entertainment
26be,baseball,skwalaga sohi,SKWAH-lah-gah SOH-ee,entertainment
1f94a,boxing,didadisdanv,dee-dah-DEES-dah-nuh,entertainment
1f354,hamburger,hawiya gadu,hah-WEE-yah gah-DOO,food
1f368,ice cream,nvtisi unadi,nuh-TEE-see oo-NAH-dee,food
1f36a,cookie,gadu uginv,gah-DOO oo-GEE-nuh,food
1f373,cooking,alisdodihah,ah-lees-DOH-dee-hah,food
1f969,steak,hawiya elah,hah-WEE-yah ay-LAH,food
1f9c4,garlic,tsukana,tsoo-KAH-nah,vegetables
1f965,coconut,gogo uwasv,goh-GOH oo-WAH-suh,fruit
1f336,pepper,udanv selu,oo-DAHN-uh SAY-loo,vegetables
1f964,straw,ganidadi,gah-NEE-dah-dee,drink
1f35a,bowl,saladi,sah-LAH-dee,food
1fa9e,mirror,adadodi,ah-dah-DOH-dee,objects
1f451,crown,alisgala,ah-lees-GAH-lah,clothing
1f6d2,cart,anadalolesdi,ah-nah-dah-LOH-lay-sdee,transport
26a1,lightning,anagalisgi,ah-nah-gah-LEES-gee,nature
1f9e3,scarf,alisvhah usdi,ah-lee-SOO-hah oos-DEE,clothing
1f9e4,gloves,aliyedv,ah-lee-YAY-duh,clothing
1f9b4,bone,gola,goh-LAH,body
1f388,balloon,unolv skwalaga,oo-NOH-luh SKWAH-lah-gah,objects
1f386,fireworks,anidosgi atsila,ah-nee-DOH-sgee ah-TSEE-lah,tools
1f50b,battery,gadosdodi,gah-doh-SDOH-dee,objects
1f9f9,broom,ayilisdi,ah-YEE-lee-sdee,objects
1f54a,dove,woyi,WOH-yee,animals
1f3a4,microphone,dikanedi,dee-kah-NAY-dee,objects
23f0,alarm,atseyasdi,ah-TSAY-yah-sdee,objects
1f333,forest,tludo utana,tluh-DOH oo-TAH-nah,places
1f3dc,desert,udanah elohi,oo-DAHN-ah ay-LOH-hee,places
1f309,bridge,ada nvnohi,ah-DAH nuh-NOH-hee,places
1f338,blossom,utsilvsv usdi,oo-tsee-LUHS oos-DEE,nature
1f33b,sunflower,nvda utsilvsv,nuh-DAH oo-tsee-LUHS,nature
1f343,autumn,ulagodi,oo-LAH-goh-dee,nature
1f335,cactus,nvya itseyi,nuh-YAH ee-TSAY-yee,nature
26d3,chain,adalinedi,ah-dah-LEE-nay-dee,tools
1fa93,axe,galvladi,gah-LUH-lah-dee,tools
1f9fa,basket,talutsa,tah-LOO-tsah,objects
1f6de,wheel,ganvstanv,gah-NUH-stah-nuh,objects
1fab6,feather,uginv,oo-GEE-nuh,nature
1faa1,needle,disdodi,dee-SDOH-dee,objects
1f9f5,thread,asdoda,ah-SDOH-dah,objects
1f9f2,magnet,tsutana nvya,tsoo-TAH-nah nuh-YAH,objects
1f387,sparkler,ganvsgi atsila,gah-NUHS-gee ah-TSEE-lah,tools
1f3aa,circus,alisginedi,ah-lees-GEE-nay-dee,entertainment
1f3f9,arrow,gutla,goo-TLAH,tools
1f550,hour,svi,suh-EE,time
1f7e5,red,gigagei,gee-GAH-gay,colors
1f7e6,blue,sagoni,sah-GOH-nee,colors
1f7e9,green,itse iyah,ee-TSAY ee-YAH,colors
1f7e8,yellow,dalonigei,dah-LOH-nee-gay,colors
1f7ea,purple,gagesdoh,gah-GAY-sdoh,colors
2b1b,black,gvnageni,guh-NAH-gay-nee,colors
2b1c,white,unega,oo-NAY-gah,colors
1f9f1,wall,ganelvdi,gah-NAY-luh-dee,home
1f4de,telephone,didalehnisgi utana,dee-dah-LAY-nee-sgee oo-TAH-nah,objects
1f4b3,card,nvya goweli,nuh-YAH goh-WAY-lee,objects
1f4d3,notebook,goweli usdi,goh-WAY-lee oos-DEE,objects
1f3c6,trophy,sgadugi,SGAH-doo-gee,objects
