emoji,english,translation,phonetic,category
1f9e0,brain,ᎠᏑᏫᏓ,ah-SOO-wee-dah,body
1f48b,kiss,ᎠᏓᏨᏍᎦ,ah-dah-TSUH-sgah,body
1fa78,blood,ᎩᎦ,GEE-gah,body
2601,cloud,ᎤᎶᎩᎸ,oo-LOH-gee-luh,nature
1f30a,sea,ᎠᎹ ᎤᏔᎾ,ah-MAH oo-TAH-nah,nature
1f32a,wind,ᎤᏃᎸ,oo-NOH-luh,nature
1f308,rainbow,ᎤᏄᎪᏤ,oo-noo-GOH-tsay,nature
1faa8,rock,ᏅᏯ,nuh-YAH,nature
1f9ca,ice,ᏅᏘᏏ,nuh-TEE-see,nature
1f42f,tiger,ᏢᏓᏏ ᎤᏟᏅ,tluh-DAH-see oo-TSLEE-nuh,animals
1f43a,wolf,ᏩᏯ,WAH-yah,animals
1f98a,fox,ᏧᎳ,TSOO-lah,animals
1f98c,deer,ᎠᏫ ᎡᏆ,ah-WEE ay-KWAH,animals
1f986,duck,ᎧᏬᏄ,kah-WOH-noo,animals
1f985,eagle,ᎩᎩᎠ,GWAH-lee-ee,animals
1f989,owl,ᎤᎫᎫ,oo-GOO-goo,animals
1f422,turtle,ᏓᎩᏏ,dah-GEE-see,animals
1f42c,dolphin,ᏣᏟᏅ ᎠᏣᏗ,tsah-TSLEE-nuh ah-TSAH-dee,animals
1f433,whale,ᏣᏟᏅ ᎠᏣᏗ ᎤᏔᎾ,tsah-TSLEE-nuh ah-TSAH-dee oo-TAH-nah,animals
1f98b,butterfly,ᎧᎹᎹ,kah-MAH-mah,animals
1f344,mushroom,ᎤᎪᏛ,oo-GOH-duh,plants
1f331,seed,ᎤᎾᎢ,oo-NAH-ee,nature
1fab5,wood,ᎠᏓ,ah-DAH,nature
1f350,pear,ᎤᏙᏅᎦ ᎤᏩᏒ,oo-DOH-nuh-gah oo-WAH-suh,fruit
1f351,peach,ᏆᏂ,KWAH-nee,fruit
1f352,cherry,ᎩᏟ ᎤᏩᏒ,GEE-tslee oo-WAH-suh,fruit
1f349,watermelon,ᎠᎹ ᎤᏩᏒ,ah-MAH oo-WAH-suh,fruit
1f9c5,onion,ᏍᎦᎵᏳ,SGAH-lee-yoo,vegetables
1f356,meat,ᎭᏫᏯ,hah-WEE-yah,food
1f355,pizza,ᏈᏌ,KWEE-sah,food
1f35c,soup,ᎤᎦᎹ,oo-gah-MAH,food
1f370,cake,ᎦᏚ ᎤᎩᏍᏙᏗ,gah-DOO oo-gee-SDOH-dee,food
1f36b,chocolate,ᎧᎧᎳᏗ,kah-kah-LAH-dee,food
1f36c,candy,ᎧᎵᏍᏔᏗ,kah-lees-TAH-dee,food
1f36f,honey,ᏩᏚᎵᏏ ᎤᎦᎹ,wah-DOO-lee-see oo-gah-MAH,food
1f9c2,salt,ᎠᎹ,ah-MAH,food
1f37a,beer,ᎠᏁᏍᎦ,ah-NAY-sgah,drink
1f377,wine,ᎠᏁᏍᎦ ᎩᎦᎨ,ah-NAY-sgah gee-GAH-gay,drink
1f37c,bottle,ᏒᏙᏗ,suh-DOH-dee,drink
1f378,glass,ᎠᏕᏯ,ah-DAY-yah,drink
1f9c3,juice,ᎤᏩᏒ ᎤᎦᎹ,oo-WAH-suh oo-gah-MAH,drink
1f3e2,building,ᎠᏓᏁᎸ,ah-dah-NAY-luh,places
1f3eb,school,ᏗᏕᏲᎲᏍᎩ,dee-day-YOH-huh-sgee,places
1f3e5,hospital,ᏗᏅᏪᎵᏍᎩ,dee-nuh-WAY-lee-sgee,places
1f3ea,store,ᎠᏓᎾᏬᏍᏗ,ah-dah-NAH-woh-sdee,places
26ea,church,ᏗᎦᎵᏍᎬᏂᏓᏍᏗ,dee-gah-lees-GUH-nee-dah-sdee,places
1f697,car,ᏓᏰᏟ,dah-YAY-tslee,transport
1f68c,bus,ᏓᏰᏟ ᎤᏔᎾ,dah-YAY-tslee oo-TAH-nah,transport
1f682,train,ᏧᏧ,TSOO-tsoo,transport
2708,airplane,ᎦᏅᎯᏓ,gah-NUH-hee-dah,transport
26f5,boat,ᏥᏳ,TSEE-yoo,transport
1f6b2,bicycle,ᏔᎷᎩᏍᎩ,tah-LOO-gee-sgee,transport
1f69a,truck,ᎤᎾᏕᏂ ᏓᏰᏟ,oo-nah-DAY-nee dah-YAY-tslee,transport
1fa9f,window,ᏗᎾᏓᏗᎦᎳᏫᏗ,dee-nah-dah-dee-gah-LAH-wee-dee,home
1fa91,chair,ᎦᏍᎩᎸ,gah-SGEE-luh,home
1f4fa,television,ᏗᎧᏃᏗ,dee-kah-NOH-dee,objects
1f4bb,computer,ᏗᏎᏍᏗ,dee-SAY-sdee,objects
1f4f1,phone,ᏗᏓᎴᏂᏍᎩ,dee-dah-LAY-nee-sgee,objects
1f4f7,camera,ᏗᏓᏟᏂᏍᎩ,dee-dah-TLEE-nee-sgee,objects
1f56f,candle,ᎦᎸᎳᏗ ᎠᏥᎳ,gah-LUH-lah-dee ah-TSEE-lah,objects
2709,letter,ᎪᏪᎵ ᎤᏤᎵ,goh-WAY-lee oo-TSAY-lee,objects
1f4b0,money,ᎠᏕᎳ,ah-DAY-lah,objects
1f4c4,paper,ᎪᏪᎵ,goh-WAY-lee,objects
1f5bc,picture,ᏗᏓᏟᏂᏍᎬ,dee-dah-TLEE-nee-SGUH,objects
1f453,glasses,ᏗᏂᏰᏍᏗ,dee-nee-YAY-sdee,clothing
1f455,shirt,ᎠᏄᏬ,ah-NOO-woh,clothing
1f456,pants,ᎠᏑᎳ ᎠᏄᏬ,ah-SOO-lah ah-NOO-woh,clothing
1f457,dress,ᎠᏄᏬ ᎡᏆ,ah-NOO-woh ay-KWAH,clothing
1f45e,shoe,ᎠᎳᏑᎳ,ah-LAH-soo-lah,clothing
1f3a9,hat,ᎠᎵᏒᎤᎿ,ah-lee-SOO-oo-HAH,clothing
1f9e5,coat,ᎠᏈᏍᏗ,ah-KWEE-sdee,clothing
2602,umbrella,ᎠᎦᏍᎬᏗ,ah-gah-SGUH-dee,clothing
1f392,bag,ᎠᏔᎴᏒ,ah-TAH-LAY-suh,clothing
1f48d,ring,ᏗᏰᏍᏗ ᎤᏤᎵ,dee-YAY-sdee oo-TSAY-lee,clothing
1f454,tie,ᎠᏓᏅᏁᏗ,ah-dah-NUH-nay-dee,clothing
