emoji,english,translation,phonetic,category
2b50,zero,ᏝᏏᏙᎢ,tlah-see-DOH-ee,numbers
1f522,one,ᏌᏊᏂ,sah-KWOO-nee,numbers
1f4dd,two,ᏔᎵ,TAH-lee,numbers
270f,three,ᏦᎢ,TSOH-ee,numbers
1f3af,four,ᏅᎩ,NUH-gee,numbers
1f4ca,five,ᎯᏍᎩ,HEE-sgee,numbers
1f4c8,six,ᏑᏓᎵ,soo-DAH-lee,numbers
2b50,seven,ᎦᎵᏉᎩ,gah-lee-KWOH-gee,numbers
1f522,eight,ᏧᏁᎳ,tsoo-NAY-lah,numbers
1f4dd,nine,ᏐᏁᎳ,soh-NAY-lah,numbers
270f,ten,ᏍᎪᎯ,SGOH-hee,numbers
1f3af,eleven,ᏌᏚᏗ,sah-DOO-dee,numbers
1f4ca,twelve,ᏔᎵᏚ,tah-LEE-doo,numbers
1f4c8,thirteen,ᏦᎦᏚ,tsoh-GAH-doo,numbers
2b50,fourteen,ᏅᎩᏚ,nuh-GEE-doo,numbers
1f522,fifteen,ᎯᏍᎦᏚ,hee-SGAH-doo,numbers
1f4dd,sixteen,ᏓᎳᏚ,dah-LAH-doo,numbers
270f,seventeen,ᎦᎵᏉᎩᏚ,gah-lee-KWOH-gee-doo,numbers
1f3af,eighteen,ᏁᎳᏚ,nay-LAH-doo,numbers
1f4ca,nineteen,ᏐᏁᎳᏚ,soh-nay-LAH-doo,numbers
1f4c8,twenty,ᏔᎵᏍᎪ,tah-LEE-sgoh,numbers
2b50,thirty,ᏦᎢᏍᎪ,tsoh-EE-sgoh,numbers
1f522,forty,ᏅᎩᏍᎪ,nuh-GEE-sgoh,numbers
1f4dd,fifty,ᎯᏍᎩᏍᎪ,hee-SGEE-sgoh,numbers
270f,sixty,ᏑᏓᎵᏍᎪ,soo-dah-LEE-sgoh,numbers
1f3af,seventy,ᎦᎵᏉᎩᏍᎪ,gah-lee-KWOH-gee-sgoh,numbers
1f4ca,eighty,ᏧᏁᎳᏍᎪ,tsoo-nay-LAH-sgoh,numbers
1f4c8,ninety,ᏐᏁᎳᏍᎪ,soh-nay-LAH-sgoh,numbers
1f4af,hundred,ᏍᎪᎯᏥᏆ,sgoh-hee-tsee-KWAH,numbers
2b50,two hundred,ᏔᎵ ᏍᎪᎯᏥᏆ,tah-LEE sgoh-hee-tsee-KWAH,numbers
1f522,five hundred,ᎯᏍᎩ ᏍᎪᎯᏥᏆ,hee-SGEE sgoh-hee-tsee-KWAH,numbers
1f4dd,thousand,ᎢᏯᎦᏴᎵ,ee-yah-gah-YUH-lee,numbers
1f947,first,ᎢᎬᏱᎢ,ee-guh-YEE-ee,numbers
1f948,second,ᏔᎵᏁᎢ,tah-lee-NAY-ee,numbers
1f949,third,ᏦᎢᏁᎢ,tsoh-ee-NAY-ee,numbers
1f3c6,fourth,ᏅᎩᏁᎢ,nuh-gee-NAY-ee,numbers
2b50,fifth,ᎯᏍᎩᏁᎢ,hee-sgee-NAY-ee,numbers
1f522,sixth,ᏑᏓᎵᏁᎢ,soo-dah-lee-NAY-ee,numbers
1f4dd,seventh,ᎦᎵᏉᎩᏁᎢ,gah-lee-kwoh-gee-NAY-ee,numbers
270f,eighth,ᏧᏁᎳᏁᎢ,tsoo-nay-lah-NAY-ee,numbers
1f3af,ninth,ᏐᏁᎳᏁᎢ,soh-nay-lah-NAY-ee,numbers
1f4ca,tenth,ᏍᎪᎯᏁᎢ,sgoh-hee-NAY-ee,numbers
1f4c8,pair,ᏔᎵ ᎢᏧᎳᎭ,tah-LEE ee-tsoo-LAH-hah,numbers
2b50,dozen,ᎢᏯᏔᎳᏚ,ee-yah-tah-LAH-doo,numbers
1f522,half,ᎢᏯᎦᏘ,ee-yah-GAH-tee,numbers
1f4dd,quarter,ᏅᎩ ᎢᏧᎳᎭ,nuh-GEE ee-tsoo-LAH-hah,numbers
270f,double,ᏔᎵ ᎢᏳᏍᏗ,tah-LEE ee-YOOS-dee,numbers
1f3af,triple,ᏦᎢ ᎢᏳᏍᏗ,tsoh-EE ee-YOOS-dee,numbers
1f4ca,million,ᎢᏳᎾᏍᏗ ᎢᏯᎦᏴᎵ,ee-yoo-nah-SDEE ee-yah-gah-YUH-lee,numbers
1f4c8,billion,ᎢᏯᎦᏴᎵ ᎢᏯᎦᏴᎵ,ee-yah-gah-YUH-lee ee-yah-gah-YUH-lee,numbers
270f,plus,ᎠᏓᏅᏍᏗ,ah-dah-NUH-sdee,numbers
1f3af,minus,ᎠᏓᏁᎸᎢ,ah-dah-nay-LUH-ee,numbers
1f4ca,equals,ᎤᏓᎸᎢ,oo-dah-LUH-ee,numbers
1f4c8,percent,ᏍᎪᎯᏥᏆ ᎢᏧᎳᎭ,sgoh-hee-tsee-KWAH ee-tsoo-LAH-hah,numbers
1f4b5,price,ᎠᏓᎨᎵ,ah-dah-GAY-lee,numbers
1f4b0,total,ᏂᎦᏅᎯ,nee-gah-NUH-hee,numbers
1f522,count,ᎠᏍᏆᏂᏍᏗ,ah-skwah-NEE-sdee,numbers
