emoji,english,translation,phonetic,category
1f476,baby,bachcha,BAH-chah,people
1f466,boy,ladkaa,LAR-kah,people
1f467,girl,ladkee,LAR-kee,people
1f468,man,aadmee,AAD-mee,people
1f469,woman,aurat,AW-rat,people
1f9d1,person,shakhs,SHAKHS,people
1f9d2,child,bachcha,BAH-chah,people
1f46a,family,khaandaan,KHAAN-daan,people
270b,hand,haath,HAATH,body
1f4aa,arm,baazoo,BAA-zoo,body
1f9b5,leg,taang,TAANG,body
1f9b6,foot,paaon,PAA-on,body
1f442,ear,kaan,KAAN,body
1f443,nose,naak,NAAK,body
1f440,eye,aankh,AANKH,body
1f444,mouth,munh,MUNH,body
1f445,tongue,zabaan,ZU-baan,body
1f9b7,tooth,daant,DAANT,body
2764,heart,dil,DIL,emotions
1f4a7,water,paanee,PAH-nee,nature
1f525,fire,aag,AAG,nature
2b50,star,sitaarah,SI-taa-rah,nature
2600,sun,sooraj,SOO-raj,nature
1f319,moon,chaand,CHAAND,nature
1f30d,earth,zameen,ZA-meen,nature
1f327,rain,baarish,BAA-rish,nature
2744,snow,barf,BARF,nature
1f436,dog,kuttaa,KUT-tah,animals
1f431,cat,billee,BIL-lee,animals
1f42d,mouse,choohaa,CHOO-hah,animals
1f430,rabbit,khargosh,KHAR-gosh,animals
1f43b,bear,reechh,REECHH,animals
1f437,pig,soor,SOOR,animals
1f42e,cow,gaaye,GAA-ay,animals
1f434,horse,ghodaa,GHO-rah,animals
1f411,sheep,bhaid,BHAIR,animals
1f412,monkey,bandar,BUN-dar,animals
1f418,elephant,haathee,HAA-thee,animals
1f981,lion,sher,SHER,animals
1f426,bird,parindah,PARIN-dah,animals
1f414,chicken,murghee,MUR-ghee,animals
1f420,fish,machhlee,MACHH-lee,animals
1f40d,snake,saanp,SAANP,animals
1f438,frog,maindak,MAIN-dak,animals
1f41d,bee,shahad kee makhee,SHA-had kee MAKH-ee,animals
1f41c,ant,cheeonTee,CHEE-on-tee,animals
1f332,tree,darakht,DA-rakht,plants
1f33a,flower,phool,PHOOL,plants
1f33f,plant,podaa,POH-dah,plants
1f340,leaf,pattaa,PAT-tah,plants
1f339,rose,gulaab,GU-laab,plants
1f34e,apple,seb,SAYB,fruit
1f34c,banana,kelaa,KAY-lah,fruit
1f34a,orange,maaltaa,MAAL-tah,fruit
1f34b,lemon,lemoon,LAY-moon,fruit
1f347,grape,angoor,AN-goor,fruit
1f353,strawberry,straabairee,STRAW-bay-ree,fruit
1f345,tomato,tamaatar,TA-maa-tar,vegetables
1f954,potato,aaloo,AA-loo,vegetables
1f955,carrot,gaajar,GAA-jar,vegetables
1f33d,corn,makaee,MA-ka-ee,vegetables
1f35e,bread,roTee,ROH-tee,food
1f9c0,cheese,paneer,PA-neer,food
1f95a,egg,andaa,AN-dah,food
1f95b,milk,doodh,DOODH,drink
1f33e,rice,chaaval,CHAA-wal,food
1f375,tea,chaaye,CHAA-ay,drink
2615,coffee,kaafee,KAA-fee,drink
1f3e0,house,ghar,GHAR,places
1f6aa,door,darvaazah,DAR-waa-zah,home
1f6cf,bed,bistar,BIS-tar,home
1f4a1,light,roshnee,ROH-shni,home
1f4d6,book,kitaab,KI-taab,objects
1f511,key,chaabee,CHAA-bee,objects
26bd,ball,gaind,GAYND,objects
