emoji,english,translation,phonetic,category
1f410,goat,bakree,BAK-ree,animals
1f427,penguin,painguin,PAYN-goo-in,animals
1f988,shark,shaark,SHAARK,animals
1f992,giraffe,zaraafah,ZA-raa-fah,animals
1f993,zebra,zaibraa,ZAY-brah,animals
1f998,kangaroo,kaingaroo,KAYN-ga-roo,animals
1f40c,snail,ghongaa,GHON-gah,animals
1f419,octopus,aakTopas,AAK-toh-pus,animals
1f980,crab,kaikdaa,KAY-krah,animals
1f40a,crocodile,magarmachh,MA-gar-MACHH,animals
1f98d,gorilla,gorillaa,GOH-ril-lah,animals
1f984,unicorn,tak shaakh,TAK-shaakh,animals
1f577,spider,makdee,MA-kree,animals
1f46e,police,polees,POH-lees,people
1f934,prince,shahzaadah,SHEH-zaa-dah,people
1f478,princess,shahzaadee,SHEH-zaa-dee,people
1f3c0,basketball,baaskaT baal,BAAS-kat BAAL,entertainment
1f3be,tennis,Tainis,TAY-nis,entertainment
26be,baseball,bais baal,BAYS BAAL,entertainment
1f94a,boxing,mukke baazee,MUK-kay BAA-zee,entertainment
1f354,hamburger,bargar,BAR-gar,food
1f368,ice cream,aa'ees kreem,AA-ees KREEM,food
1f36a,cookie,biskaT,BIS-kut,food
1f373,cooking,khaanaa pakaanaa,KHAA-nah PA-kaa-nah,food
1f969,steak,sTaik,STAYK,food
1f9c4,garlic,lehsan,LEH-sun,vegetables
1f965,coconut,naareel,NAA-ree-ul,fruit
1f336,pepper,mirch,MIRCH,vegetables
1f964,straw,sTraa,STRAW,drink
1f35a,bowl,piyaalah,PEE-aa-lah,food
1fa9e,mirror,aa'eenah,AA-ee-nah,objects
1f451,crown,taaj,TAAJ,clothing
1f6d2,cart,Thailaa,THAY-lah,transport
26a1,lightning,bijlee,BIJ-lee,nature
1f9e3,scarf,doopaTTaa,DOO-pat-tah,clothing
1f9e4,gloves,dastaanay,DAS-taa-nay,clothing
1f9b4,bone,haddee,HUD-dee,body
1f388,balloon,ghubaarah,GHU-baa-rah,objects
1f386,fireworks,aatish baazee,AA-tish BAA-zee,tools
1f50b,battery,baiTree,BAY-tree,objects
1f9f9,broom,jhaadoo,JHAA-roo,objects
1f54a,dove,kabootar,KA-boo-tar,animals
1f3a4,microphone,maa'eekrofon,MAA-ee-kroh-fohn,objects
23f0,alarm,alaarm,A-laarm,objects
1f333,forest,jangal,JUN-gal,places
1f3dc,desert,sahraa,SAH-rah,places
1f309,bridge,pul,PUL,places
1f338,blossom,kalee,KA-lee,nature
1f33b,sunflower,sooraj mukhee,SOO-raj MAKH-ee,nature
1f343,autumn,khazaan,KHA-zaan,nature
1f335,cactus,kaikTas,KAK-tus,nature
26d3,chain,zanjeer,ZAN-jeer,tools
1fa93,axe,kulhaadee,KUL-haa-ree,tools
1f9fa,basket,Tokree,TOH-kree,objects
1f6de,wheel,pahiyah,PA-hee-yah,objects
1fab6,feather,pankh,PANKH,nature
1faa1,needle,soo'ee,SOO-ee,objects
1f9f5,thread,dhaagaa,DHAA-gah,objects
1f9f2,magnet,miqnaaTees,MIQ-naa-tees,objects
1f387,sparkler,phuljhadee,PHUL-jha-ree,tools
1f3aa,circus,sarkas,SAR-kas,entertainment
1f3f9,arrow,teer,TEER,tools
1f550,hour,ghanTah,GHUN-tah,time
1f7e5,red,laal,LAAL,colors
1f7e6,blue,neelaa,NEE-lah,colors
1f7e9,green,sabz,SABZ,colors
1f7e8,yellow,peelaa,PEE-lah,colors
1f7ea,purple,jaamunee,JAA-mu-nee,colors
2b1b,black,kaalaa,KAA-lah,colors
2b1c,white,safaid,SA-fayd,colors
1f9f1,wall,deevaar,DEE-waar,home
1f4de,telephone,Tailee fon,TAY-lee FOHN,objects
1f4b3,card,kaarD,KAARD,objects
1f4d3,notebook,kaapee,KAA-pee,objects
1f3c6,trophy,Traafee,TRAW-fee,objects
